year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1991,36,62,0.138,0.4115,2.5340000000000003,0.34699701796242266,140.5,28.8970623,22.399957142857147,54.58
1992,38,63,0.12300000000000001,0.415,2.588,0.41474884580676985,136.4,29.35326385,23.133292857142806,54.894
1993,39,63,0.08800000000000001,0.4185,2.642,0.48250067365111704,132.3,29.80675888,23.86662857142869,55.208999999999996
1994,41,62,0.039,0.42200000000000004,2.696,0.5502525014954927,128.1,30.25484085,24.59996428571435,55.523
1995,42,62,0.115,0.4255,2.75,0.6180043293398398,123.8,31.3,25.33330000000001,55.82899999999999
1996,42,62,0.129,0.429,2.784,0.6857561571842155,119.6,31.12395096,26.066635714285667,56.121
1997,42,62,0.16899999999999998,0.4325,2.818,2.704713115,115.4,31.53956413,26.799971428571553,56.393
1998,39,61,0.149,0.436,2.852,2.181841028,111.3,31.93894386,27.53330714285721,56.648
1999,38,61,0.158,0.4395,2.886,2.71024702,107.4,32.32048416,28.26664285714287,56.891000000000005
2000,41,61,0.16,0.44299999999999995,2.92,0.87005972,103.7,33.7,28.999978571428528,57.131
2001,45,61,0.18100000000000002,0.4457,2.9739999999999998,1.0245152964060082,100.3,31.542382,29.733314285714414,57.382
2002,48,61,0.20600000000000002,0.4484,3.028,1.0922671242503839,97.2,33.39044571,30.466650000000072,57.655
2003,53,61,0.193,0.4511,3.082,0.36380033700000003,94.4,33.7352066,31.19998571428573,57.958999999999996
2004,55,61,0.218,0.4538,3.136,1.2277707799391067,91.8,34.08052444,31.93332142857139,58.292
2005,60,61,0.223,0.4565,3.19,1.8050108459999998,89.5,34.43029404,32.666657142857275,58.652
2006,60,60,0.22399999999999998,0.4592,3.2260000000000004,2.249221904,87.4,33.9,33.4,59.028
2007,63,60,0.25,0.4619,3.262,3.343279015,85.3,35.15784073,34.1333,59.408
2008,63,60,0.247,0.4646,3.298,0.843944329,83.4,35.537765500000006,34.8667,59.782
2009,65,60,0.23,0.4673,3.3339999999999996,3.083247688,81.5,35.92644501,35.6,60.148
2010,66,59,0.213,0.47,3.37,1.634281747005275,207.0,36.32211685,36.3333,60.511
2011,68,59,0.21899999999999997,0.47700000000000004,3.6153882352941196,5.523737754,77.7,36.72304535,37.0667,60.879
2012,67,59,0.225,0.483,3.6783104072398203,2.885096051,75.9,37.9,37.8,61.26
2013,68,58,0.23,0.48700000000000004,3.741232579185521,4.234052891,74.1,37.53364182,38.53334285714277,61.658
2014,48,58,0.271,0.49,3.8041547511312217,2.810148498,72.3,37.94010925,39.266678571428656,62.068999999999996
2015,60,58,0.278,0.493,3.8670769230769366,1.2112183429999999,70.5,38.30518206720001,40.000014285714315,62.485
2016,58,58.19384615384615,0.278,0.4938246153846153,3.9299990950226373,1.4399078459999999,68.5,38.68928808190765,40.73334999999997,62.896
2017,71.8243243243246,58.011623931623944,0.24410025062656615,0.4971022222222219,3.992921266968338,2.1085445419157907,66.6,39.0733940966154,41.46668571428563,63.29
2018,73.31721194879128,57.82940170940168,0.24753867427188592,0.5003798290598285,4.055843438914039,2.1762963697601663,64.7,39.45750011132304,42.20002142857152,63.66
2019,74.81009957325796,57.64717948717947,0.25097709791720657,0.503657435897436,4.1187656108597395,2.2440481976045135,62.8,39.8416061260308,42.933357142857176,64.20951841028636
2020,76.30298719772418,57.46495726495726,0.25441552156252634,0.5069350427350425,4.18168778280544,2.3118000254488607,41.987796610168516,40.22571214073844,43.666692857142834,64.57271309175928
