year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1981,143.7346153846147,99.46979107848671,14.84161764705891,12.727,0.6547179487179484,10601.0,-7.261777994844806,19.039999999999964,26.0,87.23271233378455,59.47155952380945,68.81082927,8.312768484848561
1982,141.02615384615274,99.3743647656691,14.525147058823563,12.915999999999999,0.6571282051282052,10892.0,-6.9807014895221755,20.782794117646972,25.1,87.67470303646155,57.71441190476207,68.9012439,8.031383290043323
1983,138.3176923076917,99.27893845285149,14.208676470588216,13.052,0.6595384615384621,11323.0,-6.699624984199545,22.52558823529398,24.2,88.11669373913844,55.957264285714245,69.0774878,7.7499980952381975
1984,135.60923076922973,99.18351214003388,13.892205882352982,13.123,0.661948717948718,11552.0,-6.4185484788769145,24.26838235294099,23.2,88.55868444181533,54.20011666666687,69.31734146,7.468612900432959
1985,132.90076923076867,99.08808582721625,13.575735294117635,14.105,0.6643589743589748,11444.0,-6.13747197355417,26.011176470587998,22.3,89.00067514449233,52.442969047619044,69.57478049,7.1872277056278335
1986,130.1923076923067,98.99265951439864,13.259264705882401,14.1,0.6667692307692308,11469.0,-5.85639546823154,27.753970588235006,21.4,89.44266584716922,50.68582142857167,69.7912439,6.905842510822595
1987,127.48384615384566,98.89723320158103,12.942794117647054,14.652999999999999,0.6691794871794876,11763.0,-5.575318962908909,29.496764705882015,20.7,89.88465654984611,48.92867380952384,70.49512195,6.624457316017356
1988,124.7753846153837,98.8018068887634,12.62632352941182,15.020999999999999,0.6715897435897435,11831.0,2.56646327,31.239558823529023,20.1,90.326647252523,47.17152619047647,70.49756098,6.343072121212231
1989,122.06692307692265,98.70638057594579,12.309852941176473,14.682,0.6740000000000004,12292.0,3.873103211,32.98235294117649,19.6,90.7686379552,45.41437857142864,70.53902439,6.061686926406992
1990,119.35846153846069,98.61095426312818,11.99338235294124,13.722000000000001,0.706,11712.0,-4.732089446940904,34.725147058823495,19.4,90.19203949,43.657230952380814,70.09756098,5.780301731601867
1991,116.64999999999873,98.51552795031054,11.676911764705892,12.294,0.7027,10670.0,-4.4510129416182735,36.467941176470504,19.3,90.81760406,41.90008333333344,69.29804878,5.498916536796628
1992,88.0,98.42010163749293,11.360441176470658,11.46,0.6994,9588.0,-4.169936436295643,38.21073529411751,19.4,91.44271851,40.14293571428561,68.77097561,5.217531341991389
1993,93.0,98.32467532467533,11.043970588235311,9.946,0.6961,8224.0,-3.888859930972899,39.95352941176452,19.7,92.06511688,38.38578809523824,68.13073171,4.936146147186264
1994,97.0,98.0,10.727500000000077,8.201,0.6928,6371.0,-3.6077834256502683,41.69632352941153,20.0,92.68211365,36.62864047619041,67.54121951,4.654760952381025
1995,98.0,98.0,9.4,7.662999999999999,0.6895,5636.0,-3.326706920327638,43.43911764705854,20.2,93.29099274,34.87149285714304,66.74195122,5.4
1996,99.0,98.0,9.6,6.9479999999999995,0.6862,5116.0,-3.0456304150050073,45.181911764705546,20.3,93.88904572,33.11434523809521,67.02243902,5.4
1997,99.0,98.0,9.0,6.779,0.6829,5006.0,-2.764553909682263,46.924705882352555,20.1,94.47356415,31.357197619047838,67.57634146,4.7833
1998,98.0,98.0,9.2,6.452999999999999,0.6796,4953.0,-2.4834774043596326,48.66750000000002,19.7,95.04185486,29.60005000000001,68.37487805,4.1667
1999,99.0,98.0,9.4,5.93,0.6763,4988.0,-2.202400899037002,45.8,19.1,95.59230804,27.842902380952637,67.98097561,3.55
2000,99.0,98.0,9.8,5.723,0.6729999999999999,5334.0,5.9,48.68,18.3,96.12771606,26.08575476190481,67.67560976,2.9333
2001,99.0,98.0,10.0,6.224,0.6791,5884.0,9.200000008,51.56,17.5,96.65197754,24.32860714285698,67.83707317,2.3167
2002,99.0,97.0,8.9,6.131,0.6852,6254.0,5.199999971,54.44,16.7,97.16899872,22.571459523809608,68.27560976,1.7
2003,97.0,97.0,8.5,6.412999999999999,0.6913,6903.0,9.40000001,57.32,15.9,97.68267059,20.81431190476178,68.21073171,0.6
2004,99.0,97.0,8.0,6.486000000000001,0.6974,7774.0,12.10000001,60.2,15.2,98.20022583,19.057164285714407,68.18536585,0.6
2005,96.0,97.0,7.1,6.686,0.7035,8073.0,2.699999975,63.08,14.5,98.71648407,17.3,67.95682927,0.3
2006,98.0,97.0,6.9,7.138,0.7096,8746.0,7.300000033,65.96,13.9,99.20568848,15.5429,68.07756098,0.1
2007,98.0,97.0,6.3,7.256,0.7157,9520.0,7.900000766000001,68.84,13.4,99.8,13.7857,68.22219512,0.1
2008,90.0,97.0,5.9,7.053,0.7218,9782.0,2.299999991,71.72,12.9,99.85758972,12.0286,68.25146341,0.1
2009,71.0,97.0,5.4,6.026,0.7279,8342.0,0.6083641541896441,74.6,12.3,99.96763611,10.2714,69.19,0.1
2010,52.0,97.0,5.2,6.409,0.7340000000000001,8719.0,4.200000018,73.3,11.7,99.99658203,8.5143,70.26536585,0.1
2011,50.0,97.0,5.347500000000082,6.735,0.7390000000000001,9228.0,5.465531905,72.0,11.2,100.0,6.7571,70.80926829,0.1
2012,76.0,97.0,5.0310294117647345,6.695,0.7440000000000001,9273.0,0.238681306,70.7,10.7,100.0,5.0,70.94414634,0.1
2013,76.0,96.0,4.714558823529501,6.558,0.746,9292.0,1.7326701754802798,69.4,10.2,100.0,3.242835714285775,71.1595122,0.1
2014,23.0,96.0,4.3980882352941535,5.707999999999999,0.748,8769.0,2.0137466808029103,68.1,9.8,100.0,1.485688095237947,71.18658537,0.1
2015,23.0,96.0,4.081617647058806,4.995,0.743,8003.0,2.294823186125541,78.29499999999962,9.5,102.26039622479993,-0.2714595238094262,71.1895122,0.1
2016,19.0,96.12987012987011,3.7651470588235725,5.365,0.7390769230769232,8239.0,2.307601934,80.03779411764708,9.2,102.70238692747694,-2.028607142857254,71.47634146,-1.5357133333332058
2017,46.22999999999956,96.0344438170525,3.448676470588225,7.184096491228075,0.74148717948718,8481.0,2.8569761967709155,81.78058823529409,8.9,103.14437763015383,-3.7857547619046272,71.78097561,-1.8170985281384446
2018,43.5215384615376,95.9390175042349,3.1322058823529915,7.115937689050213,0.743897435897436,8777.0,3.138052702093546,83.5233823529411,8.6,103.58636833283072,-5.542902380952455,71.58268293,-2.0984837229436835
2019,40.81307692307564,95.84359119141726,2.815735294117644,7.047778886872351,0.7463076923076928,9037.0,3.4191292074161765,85.2661764705881,8.4,104.02835903550772,-7.300049999999828,69.4769882824138,-2.3798689177488086
2020,38.10461538461459,95.74816487859965,2.4992647058824105,6.9796200846944885,0.7487179487179487,7291.461538461532,3.7002057127389207,87.00897058823512,7.101020408163208,104.47034973818461,-9.057197619047656,69.48090794142081,-2.6612541125540474
