year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1984,30,100.0,4.558,0.7121176068376069,15818,5.358,8.757894384,96.64124452214458,14.8,100.0,75.54,0.09999999999999999
1985,61,100.0,4.405,0.7171777777777777,16371,5.43,4.882540772,96.19672284382295,13.4,100.0,75.718,0.09999999999999999
1986,91,100.0,4.97,0.7222379487179484,16924,5.478,3.70395029,95.75220116550122,12.3,100.0,75.893,0.09999999999999999
1987,93,100.0,5.695,0.727298119658121,17860,5.526,7.065250812,95.3076794871796,11.5,100.0,76.064,0.09999999999999999
1988,90,100.0,5.608,0.7323582905982917,19196,5.574,8.646777846,94.86315780885786,11.3,100.0,76.23100000000001,0.09999999999999999
1989,93,100.0,5.779,0.7374184615384625,20542,5.622000000000001,7.947425531,94.41863613053624,11.3,100.0,76.39399999999999,0.09999999999999999
1990,93,100,6.027,0.733,21794,5.67,7.403999506,93.97411445221451,11.2,100,76.554,0.09999999999999999
1991,94,100,6.525,0.7397,21394,5.656000000000001,0.739501448,93.52959277389289,11.0,100,76.712,0.09999999999999999
1992,94,100,6.845,0.7464,22784,5.642,9.399998832,93.08507109557115,10.7,100,76.866,0.09999999999999999
1993,95,100,6.997999999999999,0.7531,22396,5.627999999999999,0.700000292,92.64054941724953,10.1,100,77.017,0.09999999999999999
1994,95,100,7.144,0.7598,23232,5.614,5.899998774,92.1960277389278,9.6,100,77.166,0.09999999999999999
1995,96,100,6.8389999999999995,0.7665,25078,5.6,8.468188507999999,91.75150606060618,9.0,100,77.312,0.09999999999999999
1996,98,100,7.053,0.7732,24990,5.626,1.3330134359999999,91.30698438228444,8.5,100,77.456,0.09999999999999999
1997,98,100,7.058,0.7799,25289,5.652,2.56560816,90.86246270396282,8.0,100,77.598,0.09999999999999999
1998,98,100,7.2410000000000005,0.7866,26507,5.678,5.23555375,90.41794102564108,7.5,100,77.738,0.09999999999999999
1999,97,100,7.397,0.7933,27522,5.704,4.8285483639999995,89.97341934731946,7.0,100,77.875,0.09999999999999999
2000,97,100,7.527,0.8,28856,5.73,5.724401737999999,89.52889766899773,6.6,100,78.009,0.09999999999999999
2001,97,100,7.257999999999999,0.8047,29674,5.664,3.60066503,89.08437599067611,6.2,100,78.139,0.09999999999999999
2002,98,100,7.329,0.8094,30428,5.598,3.399104373,88.63985431235437,5.9,100,78.264,0.09999999999999999
2003,98,100,7.599,0.8141,30850,5.532,2.475869511,88.19533263403275,5.5,100,78.385,0.09999999999999999
2004,98,100,7.7,0.8188,31970,5.466,4.570303485,87.75081095571102,5.2,100,78.506,0.1
2005,98,100,7.746,0.8235,33042,5.4,3.724317726,87.3062892773894,4.9,100,78.63,0.1
2006,97,100,7.795,0.8282,34027,5.51,4.51018332,86.86176759906766,4.6,100,78.764,0.1
2007,97,100,7.952999999999999,0.8329,35008,5.62,4.820710541,86.41724592074604,4.3,100,78.91,0.1
2008,97,100,7.97,0.8376,35385,5.73,3.863966058,85.9727242424243,4.0,100,79.071,0.1
2009,99,100,7.622000000000001,0.8423,33754,5.84,1.124296192197903,87.0,3.8,100,79.245,0.1
2010,99,100,7.19,0.847,33321,5.95,1.317777804,85.94,3.5,100,79.43,0.1
2011,99,100,6.845,0.85,32613,5.999772549019603,0.321196,84.88,3.3,100,79.62100000000001,0.09999999999999999
2012,99,100,6.308,0.8490000000000001,31195,6.030276621417791,0.3019958537895491,83.82,3.2,100,79.812,0.09999999999999999
2013,99,100,5.6739999999999995,0.85,29455,6.060780693815985,0.027895740986764395,82.76,3.0,100,79.999,0.09999999999999999
2014,99,100,5.971,0.8540000000000001,29390,6.091284766214173,-0.24620437181602028,81.7,2.9,100,80.178,0.09999999999999999
2015,97,100,5.909,0.856,30138,6.1217888386123605,1.6792737290000002,81.7333,2.7,100.0,80.35,0.09999999999999999
2016,97,100.0,6.042000000000001,0.874043076923078,31444,6.152292911010555,2.834512241,81.7667,2.6,100.0,80.513,0.09999999999999999
2017,113.50900900900888,100.0,8.418189849624042,0.8791032478632488,32545,6.182796983408743,-1.0685047102243743,81.8,2.5,100.0,80.672,0.09999999999999999
2018,114.88715030820276,100.0,8.530327067669162,0.8841634188034195,33601,6.21330105580693,-1.342604823027159,81.8333,2.4,100.0,80.828,0.09999999999999999
2019,116.26529160739665,100.0,8.642464285714283,0.8892235897435903,34459,6.243805128205125,-1.6167049358299437,81.8667,2.3,100.0,81.3681320864992,0.09999999999999999
2020,117.64343290659053,100.0,8.754601503759375,0.894283760683761,37566.17853107327,6.274309200603312,-1.8908050486327284,81.9,-3.376020408163413,100.0,81.54813874926947,0.09999999999999999
