year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
2003,93.0,100,1.0,6.125,0.9012,53358,5.49,0.04970814900000001,93.46,5.3,100,80.53658537
2004,93.0,100,1.1,6.157,0.9056,54463,5.5,2.842948357,93.4667,5.2,100,81.08780488
2005,94.0,100,1.0,6.181,0.91,55801,5.51,3.038305348,93.4733,5.1,100,81.23658537
2006,94.0,100,0.8,6.066,0.9144,57664,5.587999999999999,4.012785508,93.48,4.9,100,81.4902439
2007,94.0,100,0.7,5.739,0.9188,59501,5.666,4.140348369,93.4867,4.8,100,81.74146341
2008,95.0,100,0.7,5.847,0.9232,60016,5.744,2.277240085,93.4933,4.7,100,81.99268293
2009,95.0,100,0.7,5.627000000000001,0.9276,57953,5.822,1.751917301896997,93.5,4.6,100,82.04390244
2010,95.0,100,0.7,5.752000000000001,0.932,59052,5.9,2.9538167680000003,93.4545,4.6,100,82.24634146
2011,96.0,100,0.6700000000000017,5.169,0.932,59411,5.904,1.804553915,93.4091,4.5,100,82.69512195
2012,96.0,100,0.6311764705882297,5.2620000000000005,0.934,59375,5.9079999999999995,1.0481026359999999,93.3636,4.4,100,82.69756098
2013,96.0,100,0.5923529411764719,5.312,0.9359999999999999,59783,5.912000000000001,1.78057952,93.3182,4.4,100,82.79756098
2014,96.0,100,0.5535294117646998,4.772,0.938,60504,5.916,1.996886159,93.2727,4.4,100,83.19756098
2015,97.0,100,0.514705882352942,4.658,0.9390000000000001,60617,5.92,0.842236938,93.2273,4.3,100.0,82.89756098
2016,97.0,100.0,0.47588235294117,4.504,0.9553169230769232,60919,5.922000000000001,1.2874508279999999,93.1818,4.2,100.0,83.60243902
2017,97.05161290322576,100.0,0.43705882352941217,5.930978070175438,0.9598261538461532,61329,5.9239999999999995,1.774796319807936,93.1364,4.2,100.0,83.55121951
2018,97.3431451612903,100.0,0.39823529411765435,5.931677253478524,0.964335384615385,62458,5.926,1.7776561970468032,93.0909,4.1,100.0,83.75365854
2019,97.63467741935483,100.0,0.3594117647058823,5.93237643678161,0.9688446153846151,62745,5.928,1.7805160742856714,93.0455,4.0,100.0,84.1530804977674
2020,97.92620967741937,100.0,0.3205882352941245,5.933075620084695,0.9733538461538469,63916.78926553682,5.93,1.7833759515245386,93.0,-0.36836158192090807,100.0,84.37593610922971
