year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1986,86.0,100.0,2.5818181818181927,4.2010000000000005,0.7181692307692309,14547,4.82,3.885190007,13.3,100.0,75.20419512
1987,87.0,100.0,2.5145454545454697,5.206,0.7227230769230779,15039,4.87,4.110514452,12.8,100.0,75.64482927
1988,87.0,100.0,2.447272727272747,5.609,0.7272769230769232,16170,4.92,8.414236296,12.3,100.0,76.06265854
1989,47.0,100.0,2.380000000000024,6.005,0.7318307692307702,17327,4.97,8.179105581,11.8,100.0,76.44526829
1990,63.0,100,2.312727272727301,5.954,0.736,18223,5.02,6.291390957999999,11.4,100,76.78607317
1991,86.0,100,2.245454545454578,5.904,0.7407,19008,5.072,6.256492082,11.0,100,77.08446341
1992,82.0,100,2.178181818181855,6.2589999999999995,0.7454,19695,5.124,4.690932431,10.6,100,77.35080488
1993,83.0,100,2.1109090909091037,7.17,0.7501,20373,5.176,4.480749359,10.2,100,77.5934878
1994,88.0,100,2.043636363636381,6.817,0.7548,21324,5.228,5.651104737000001,9.8,100,77.81753659
1995,92.0,100,1.9763636363636579,6.206,0.7595,22519,5.28,6.342493182999999,9.4,100,77.29024390000001
1996,92.0,100,1.909090909090935,6.385,0.7642,23217,5.3420000000000005,3.777335762,9.0,100,77.34146341
1997,92.0,100,1.841818181818212,6.354,0.7689,24253,5.404,5.256980145,8.6,100,77.73902439
1998,92.0,100,1.774545454545489,6.324,0.7736,25331,5.466,5.125601231,8.2,100,77.58780488
1999,93.0,100,1.7072727272727377,6.551,0.7783,26370,5.528,4.719974882,7.9,100,77.5
2000,94.0,100,1.6400000000000148,6.101,0.7829999999999999,27974,5.59,6.770193911000001,7.6,100,78.34878049
2001,95.0,100,1.5,6.513999999999999,0.7873,27934,5.636,0.608353735,7.3,100,78.84390244
2002,95.0,100,1.5,6.504,0.7916,28553,5.682,2.9828183760000004,7.1,100,78.73902439
2003,94.0,100,1.6,7.167000000000001,0.7959,29088,5.728,2.543768573,7.0,100,78.54634146
2004,89.0,100,1.7,6.815,0.8002,29021,5.774,0.443412531,6.9,100,79.25365854
2005,92.0,100,1.0,6.6370000000000005,0.8045,29928,5.82,3.7836522589999997,6.8,100,79.3
2006,85.0,100,1.0,6.632999999999999,0.8088,30364,5.82,1.828716884,6.8,100,79.43902439
2007,74.0,100,1.0,6.775,0.8131,31465,5.82,3.9864487060000005,6.8,100,79.79268293
2008,72.0,100,1.4,6.745,0.8174,32307,5.82,3.3465127310000002,6.8,100,79.63658537
2009,73.0,100,1.0,6.352,0.8217,31275,5.82,3.2860980286494623,6.8,100,80.24146341
2010,76.0,100,1.0,6.343999999999999,0.826,32224,5.82,3.5426832139999997,6.8,100,81.39756098
2011,96.0,100,0.9000000000000341,6.525,0.821,32516,6.152047058823527,1.3961849219999998,6.8,100,80.74634146
2012,99.0,100,0.8327272727273112,6.702000000000001,0.828,33090,6.207849773755655,2.581489744,6.9,100,80.74634146
2013,99.0,100,0.7654545454545598,5.859,0.847,34110,6.263652488687782,4.511101387,6.9,100,81.74634146
2014,99.0,100,0.6981818181818369,5.827000000000001,0.853,36289,6.31945520361991,8.305633821,7.0,100,82.04634146
2015,97.0,100,0.630909090909114,4.1160000000000005,0.856,39210,6.3752579185520375,7.426946131,7.0,100.0,81.89756098
2016,97.0,100.0,0.563636363636391,4.165,0.8547846153846166,40510,6.431060633484165,5.041457164,7.1,100.0,82.45365854
2017,98.69128787878776,100.0,0.4963636363636681,7.619707393483708,0.8593384615384618,42058,6.486863348416293,2.2638482806985394,7.1,100.0,82.34634146
2018,99.53587344028506,100.0,0.42909090909094516,7.731424466338268,0.8638923076923088,44352,6.54266606334842,2.1360670622046882,7.1,100.0,82.44878049
2019,100.38045900178236,100.0,0.3618181818181938,7.8431415391928,0.8684461538461541,45776,6.598468778280548,2.0082858437107802,7.0,100.0,82.81740535412621
2020,101.22504456327965,100.0,0.2945454545454709,7.95485861204736,0.8730000000000011,40669.63672316377,6.654271493212676,1.880504625216929,-0.611016949152372,100.0,83.05140115889651
