year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2011,81.0,62,0.205,0.5539999999999999,3784,5.907082352941188,5.564624717,77.2,22.76193619,57.126000000000005,63.02
2012,78.0,63,0.249,0.565,3956,5.977309502262472,7.597616969,75.1,23.17436028,58.501999999999995,61.64
2013,79.0,64,0.261,0.57,4038,6.0475366515837266,5.0593763780000005,72.5,23.588533399999996,59.746,60.26
2014,86.0,65,0.28800000000000003,0.5760000000000001,4107,6.11776380090501,4.695826373,69.8,27.9,60.831,58.88
2015,90.0,65,0.27899999999999997,0.579,4107,6.187990950226265,2.91988111,68.5,24.35002704970009,61.736999999999995,57.5
2016,91.0,65.15076923076936,0.275,0.5819815384615392,4139,6.25821809954752,3.3,66.5,24.740701860507784,62.464,63.36016699999982
2017,89.72727272727275,65.82290598290615,-0.0521046365914799,0.5901639316239322,4156,6.328445248868803,5.335415253157777,64.3,25.13137667131548,63.043,64.07033369230771
2018,90.19740259740263,66.49504273504294,-0.07202718001901331,0.5983463247863252,4177,6.398672398190058,5.406353777950926,63.3,25.522051482123175,63.51,64.78050038461538
2019,90.66753246753251,67.16717948717951,-0.09194972344654673,0.6065287179487182,4183,6.4688995475113416,5.477292302744047,61.7,25.91272629293087,54.44208649912332,65.49066707692305
2020,91.13766233766239,67.8393162393163,-0.11187226687408014,0.6147111111111112,3178.420903954803,6.5391266968325965,5.548230827537168,80.24378531073489,26.303401103738565,54.56096282875512,66.20083376923071
