year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1992,45,59,0.071,0.3188,1.0075389992573207,176.6,1.5139870640000002,90.84000000000015,48.266999999999996,84.3
1993,47,59,0.069,0.3182,0.335275685,175.9,2.068795204,87.85999999999967,47.731,82.5273
1994,48,60,0.07,0.3176,4.89994941,175.2,2.618191957,84.88000000000011,47.143,80.7545
1995,53,60,0.069,0.317,7.200045557999999,174.5,3.0,81.89999999999964,46.53,78.9818
1996,48,61,0.067,0.3164,0.8520899840412,173.8,3.68992734,78.92000000000007,45.922,77.2091
1997,43,61,0.071,0.3158,5.299936018,172.9,4.206854343,75.94000000000051,45.353,75.4364
1998,43,62,0.069,0.3152,4.700142379,172.0,4.707546711,72.96000000000004,44.857,73.6636
1999,33,62,0.071,0.3146,3.5999749039999998,170.9,5.19039917,69.98000000000047,44.461000000000006,71.8909
2000,37,63,0.07200000000000001,0.314,0.696640968825065,169.8,6.0,67.0,44.19,70.1182
2001,40,63,0.065,0.3187,4.464739026,168.4,6.114877224,64.02,44.06100000000001,68.3455
2002,44,63,0.064,0.3234,3.616542192,167.0,6.56430006,61.04,44.063,66.5727
2003,47,64,0.057999999999999996,0.3281,0.5800542074129709,165.6,7.010377407000001,58.06,44.181999999999995,64.8
2004,51,64,0.057,0.3328,5.994884227999999,164.2,7.457007885,55.08,44.413000000000004,65.1
2005,54,65,0.055999999999999994,0.3375,0.908210515,162.6,7.908089638,52.1,44.744,65.4
2006,51,65,0.059000000000000004,0.3422,4.77108543,160.4,8.36752224,49.12,45.158,65.7
2007,48,66,0.057999999999999996,0.3469,4.607534855,157.9,8.838262558,46.14,45.636,66.0
2008,45,66,0.057999999999999996,0.3516,2.054130962,155.0,9.319502831,43.16,46.161,66.3
2009,42,67,0.057,0.3563,1.70923922,151.4,9.809492111,40.18,46.718999999999994,60.564708088234966
2010,45,67,0.057999999999999996,0.361,3.0466347330000003,147.6,9.8,37.2,47.312,59.30000245098017
2011,47,68,0.063,0.366,3.300719157,143.4,10.80871868,34.220000000000255,47.95,58.03529681372538
2012,47,68,0.065,0.37,4.1127978689999996,139.4,11.31445694,31.23999999999978,48.638000000000005,56.77059117647059
2013,23,68,0.067,0.345,0.19143166937263345,135.8,11.82194519,28.26000000000022,49.371,55.50588553921534
2014,47,68,0.066,0.34700000000000003,1.040018047,131.4,12.32972527,25.279999999999745,50.129,54.24117990196055
2015,47,69,0.066,0.35200000000000004,4.799886081,126.7,12.752765477059938,22.300000000000182,50.881,52.97647426470576
2016,47,69.51692307692304,0.067,0.3610153846153845,4.531285963,121.6,13.235855249852193,19.31999999999971,51.593,51.711768627450965
2017,52.761261261261325,69.94837606837609,0.06470112781954887,0.36306923076923114,0.035982654156498484,117.5,13.718945022644562,16.340000000000146,52.24,50.44706299019572
2018,53.395922238027424,70.37982905982904,0.06465633912367125,0.3651230769230769,-0.0028795996475281527,114.2,14.202034795436816,13.359999999999673,52.805,49.182357352940926
2019,54.03058321479375,70.81128205128209,0.06461155042779362,0.3671769230769235,-0.04174185345155479,110.1,14.685124568229185,10.38000000000011,50.49365225014611,47.917651715686134
2020,54.66524419156008,71.24273504273503,0.064566761731916,0.36923076923076925,-0.08060410725559564,116.52016949152494,15.16821434102144,7.399999999999636,50.64642653419054,46.65294607843134
