year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1974,100.83072546230437,100.39076923076922,10.767499999999927,8.185,0.618409230769231,13933,4.322,1.0680247318117182,49.17226736307168,29.1,100.0,71.20804878,9.626666666666665
1975,100.62494073020389,100.37435897435897,10.512499999999932,8.354,0.62258717948718,15006,4.44,1.1068222342105543,49.39872077922075,28.6,100.0,71.0497561,9.416666666666629
1976,100.41915599810335,100.35794871794872,10.257499999999936,8.328,0.626765128205129,15394,4.534,1.1456197366093903,49.62517419536982,28.0,100.0,71.39487805,9.20666666666665
1977,100.21337126600281,100.34153846153845,10.002499999999884,8.624,0.6309430769230779,15174,4.628,1.1844172390082406,49.85162761151889,27.2,100.0,70.81609756,8.99666666666667
1978,100.00758653390233,100.32512820512821,9.747499999999889,9.214,0.6351210256410269,15490,4.7219999999999995,1.2232147414070766,50.07808102766796,26.1,100.0,71.18463415,8.786666666666633
1979,99.80180180180179,100.30871794871794,9.492499999999893,8.934,0.6392989743589759,16071,4.816,1.262012243805927,50.30453444381703,24.9,100.0,71.30829268,8.576666666666654
1980,98,100.29230769230769,9.237499999999898,8.72,0.6434769230769231,15554,4.91,1.300809746204763,50.5309878599661,23.8,100.0,71.15756098,8.366666666666674
1981,99,100.27589743589743,8.982499999999902,9.015,0.647654871794872,15921,4.986000000000001,4.90016186,50.75744127611517,22.9,100.0,71.57195122,8.156666666666638
1982,99,100.25948717948717,8.727499999999907,10.084,0.651832820512821,16394,5.062,2.3345655919999997,50.98389469226424,22.2,100.0,71.18609756,7.946666666666658
1983,99,100.24307692307691,8.472499999999911,10.085,0.65601076923077,16051,5.138,3.430305913,51.210348108413314,21.5,100.0,71.38634146,7.736666666666622
1984,99,100.22666666666666,8.217499999999916,9.732999999999999,0.6601887179487189,16549,5.2139999999999995,3.396443623,51.436801524562384,20.7,100.0,71.4997561,7.526666666666642
1985,99,100.2102564102564,7.96249999999992,9.968,0.6643666666666679,16022,5.29,2.68344074,51.663254940711454,19.8,100.0,71.22804878,7.316666666666663
1986,99,100.19384615384615,7.707499999999925,10.192,0.6685446153846168,16418,5.306,4.207602004,51.889708356860524,18.8,100.0,71.73073171,7.1066666666666265
1987,99,100.17743589743588,7.4524999999999295,10.218,0.6727225641025658,16425,5.322,6.054513839,52.116161773009594,17.9,100.0,71.52682927,6.896666666666647
1988,99,100.16102564102563,7.197499999999934,9.76,0.676900512820513,16304,5.337999999999999,10.94469206,52.342615189158664,17.6,100.0,71.60439024,6.686666666666667
1989,99,100.14461538461538,6.942499999999939,9.741,0.681078461538462,15997,5.354,1.6499872677943443,52.569068605307734,17.9,100.0,71.72243902,6.476666666666631
1990,99,100,6.687499999999886,8.896,0.7,14404,5.37,1.6887847701931804,52.795522021456804,18.4,100,71.64146341,6.2666666666666515
