year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1999,92,99.0,0.5,55.106,0.8035,125356,14.456297312751417,13.0,100,77.327
2000,80,99.0,0.2,58.588,0.809,130202,14.034010180849918,12.5,100,77.467
2001,93,99.0,0.3333,67.046,0.8108,129879,3.898186617,12.0,100,77.612
2002,96,99.0,0.4667,63.3,0.8126,133003,7.182151741,11.6,100,77.762
2003,92,100.0,0.6,60.254,0.8144,129351,3.7199586360000003,11.2,100,77.919
2004,96,100.0,0.8,56.54600000000001,0.8162,139931,19.21891532,10.8,100,78.083
2005,97,100.0,0.7,58.865,0.818,131979,7.492758506,10.4,100,78.252
2006,96,100.0,0.2,62.768,0.8198,142535,26.17024568,10.1,100,78.425
2007,94,100.0,2.5,53.151,0.8216,142832,17.98565679,9.8,100,78.601
2008,97,100.0,0.9,46.63399999999999,0.8234,143904,17.66355638,9.6,100,78.775
2009,99,100.0,1.2309109090909374,43.482,0.8252,140710,11.95656114,9.3,100,78.945
2010,97,100.0,1.3133354545454665,40.71,0.8270000000000001,148580,19.59233153,9.1,100,79.108
2011,93,100.0,1.395760000000024,41.172,0.8370000000000001,153577,13.37517641,8.9,100,79.26
2012,92,100.0,1.4781845454545532,44.583,0.843,148771,4.687259177,8.7,100,79.399
2013,97,100.0,1.5606090909091108,37.748000000000005,0.8540000000000001,145606,4.410274619,8.4,100,79.527
2014,89,100.0,1.64303363636364,45.388000000000005,0.855,143497,3.9788821469999998,8.1,100,79.646
2015,99,100.0,1.7254581818181975,51.762,0.856,142325,3.551015687,7.8,100.0,79.758
2016,98,100.31884057971016,1.8078827272727551,47.82899999999999,0.8593507692307689,140365,2.230182575,7.5,100.0,79.868
2017,107.46846846846802,100.38101449275364,1.8903072727272843,47.62076817042606,0.8630904273504267,138833,6.855128938524899,7.1,100.0,79.98100000000001
2018,108.68800379326649,100.44318840579712,1.9727318181818418,47.39804027309657,0.8668300854700854,138936,6.4328418066235145,6.8,100.0,80.1
2019,109.90753911806496,100.50536231884058,2.055156363636371,47.17531237576702,0.8705697435897433,140156,6.010554674722016,6.5,100.0,82.72616306253656
2020,111.12707444286343,100.56753623188406,2.1375809090909286,46.95258447843747,0.8743094017094011,49370.696610169485,5.5882675428205175,-4.440784313725544,100.0,83.0223176504968
