year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1981,7.0,9.930547713156102,0.045,0.3221577777777771,4.0681962063696915,199.5,-4.6833850141993025,49.386,49.37800865800864
1982,7.0,11.900621118012168,0.047,0.32980786324786315,4.1905254869292605,194.0,-2.174298416000056,49.753,48.56839826839837
1983,7.0,13.870694522868234,0.052000000000000005,0.3374579487179492,4.31285476748883,188.7,0.3347881822001,50.162,47.75878787878787
1984,5.0,15.840767927723846,0.05,0.3451080341880335,4.435184048048399,183.5,2.843874780400256,50.61,46.9491774891776
1985,4.0,17.810841332579912,0.054000000000000006,0.35275811965811954,5.069963948,178.4,5.352961378600412,51.083999999999996,46.1395670995671
1986,5.0,19.780914737435978,0.055,0.3604082051282056,4.885133261,173.4,7.862047976800568,51.566,45.329956709956605
1987,10.0,21.750988142292044,0.054000000000000006,0.3680582905982899,4.802171889727077,168.3,10.371134575000724,52.04,44.520346320346334
1988,17.0,23.72106154714811,0.052000000000000005,0.3757083760683759,4.924501170286646,163.3,12.88022117319997,52.497,43.71073593073584
1989,21.0,25.691134952004177,0.055999999999999994,0.383358461538462,14.19063663,158.1,15.389307771400127,52.935,42.901125541125566
1990,18.0,27.661208356860243,0.049,0.397,6.704578688,153.0,17.68912125,53.364,42.09151515151507
1991,22.0,29.63128176171631,0.053,0.4036,4.2965636410000005,147.7,20.26659393,53.799,41.2819047619048
1992,23.0,31.601355166572375,0.057999999999999996,0.4102,5.559857768,142.6,22.84361458,54.258,33.6
1993,25.0,33.57142857142799,0.055999999999999994,0.4168,5.912556556,137.6,31.0,54.753,35.08
1994,48.0,40.0,0.057,0.4234,8.159018531000001,132.8,27.98683167,55.285,36.56
1995,54.0,40.0,0.07200000000000001,0.43,7.031254327999999,128.0,25.0,55.851000000000006,38.04
1996,58.0,40.0,0.09699999999999999,0.4366,6.928323725,123.4,33.09757996,56.44,39.52
1997,60.0,41.0,0.121,0.4432,6.872091273,119.0,35.63401413,57.04,41.0
1998,54.0,41.0,0.134,0.4498,3.9676080910000002,114.7,38.15421295,57.637,39.56
1999,55.0,43.0,0.177,0.4564,7.306376072999999,110.5,40.65657425,58.225,38.12
2000,51.0,46.0,0.17600000000000002,0.46299999999999997,5.798782326,106.4,43.14389038,58.803000000000004,36.68
2001,52.0,48.0,0.161,0.4709,5.751412882,102.3,45.62006378,59.372,35.24
2002,53.0,50.0,0.209,0.4788,5.918743682000001,98.2,46.3,59.937,33.8
2003,49.0,52.0,0.19699999999999998,0.4867,6.067002304,94.2,48.0,60.501999999999995,32.52
2004,45.0,55.0,0.245,0.4946,6.35769548,90.1,53.02071381,61.065,31.24
2005,49.0,57.0,0.243,0.5025,7.107568369,86.2,57.2,61.625,29.96
2006,57.0,59.0,0.265,0.5104,8.619266209,82.3,57.97024536,62.181999999999995,28.68
2007,50.0,61.0,0.153,0.5183,7.596828801,78.6,60.46049118,62.731,27.4
2008,61.0,63.0,0.157,0.5262,7.824902763,74.9,66.0,63.271,26.46
2009,67.0,65.0,0.205,0.5341,7.501774912999999,71.4,65.47073364,63.797,25.52
2010,74.0,68.0,0.263,0.542,8.526905517000001,68.0,67.98722839,64.306,24.58
2011,78.0,70.0,0.256,0.5539999999999999,8.038652681,64.8,70.0,64.797,23.64
2012,79.0,72.0,0.265,0.563,8.026283279,61.8,73.03421783,65.267,22.7
2013,87.0,74.0,0.243,0.573,8.024751869,58.9,75.56121063,65.717,23.47047619047612
2014,88.0,76.0,0.297,0.5820000000000001,7.613516487,56.2,78.08850098,66.14399999999999,22.66086580086585
2015,89.0,76.0,0.3,0.586,7.270925782999999,53.6,80.62555932460054,66.546,21.85125541125535
2016,82.0,78.8831168831166,0.309,0.5899107692307695,7.022767247000001,51.3,83.1346459228007,66.92399999999999,21.04164502164508
2017,89.80952380952385,80.85319028797267,0.22578007518796994,0.5975608547008537,8.47205030651412,49.2,85.64373252099995,67.277,20.232034632034583
2018,92.24517374517382,82.82326369282873,0.2291536168006223,0.6052109401709398,8.59437958707369,47.3,88.1528191192001,67.61,19.422424242424313
2019,94.68082368082378,84.79333709768434,0.23252715841327465,0.6128610256410258,8.716708867633258,45.5,90.66190571740026,67.34416481589722,18.612813852813815
2020,97.11647361647374,86.76341050254041,0.235900700025927,0.6205111111111101,8.839038148192827,27.172125435541602,93.17099231560042,67.78389912331977,17.803203463203545
