year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1981,81,96.5702564102564,2.381,0.5981331623931609,10011,3.4619999999999997,4.707515068999999,87.30019044289043,52.6,96.65690558724617,0.33567878787879124,66.656,3.812280701754389
1982,75,96.58666666666664,2.457,0.6028970940170932,10323,3.554,7.385024587999999,87.26971212121211,50.3,96.75848115581539,0.3612303030303039,67.086,3.6745614035087897
1983,76,96.60307692307691,2.759,0.6076610256410255,10130,3.6460000000000004,1.990395284,87.23923379953379,48.0,96.86005672438463,0.38678181818181656,67.5,3.53684210526319
1984,81,96.61948717948717,3.003,0.612424957264956,10598,3.738,8.640643951,87.20875547785546,45.9,96.96163229295385,0.4123333333333363,67.899,3.399122807017534
1985,85,96.63589743589742,2.945,0.6171888888888883,10571,3.83,3.456390535,87.17827715617713,43.9,97.0632078615231,0.437884848484849,68.283,3.2614035087719344
1986,88,96.65230769230769,3.0780000000000003,0.6219528205128189,11122,3.924,7.014158032,87.14779883449881,42.0,97.16478343009231,0.46343636363636165,68.649,3.123684210526335
1987,90,96.66871794871793,3.085,0.6267167521367512,11036,4.018,2.895607697,87.1173205128205,40.3,97.26635899866156,0.4889878787878814,68.992,2.9859649122807355
1988,93,96.6851282051282,2.862,0.6314806837606834,10562,4.112,7.065960061908754,87.08684219114218,38.7,97.36793456723078,0.5145393939393941,69.311,2.848245614035079
1989,94,96.70153846153845,2.719,0.636244615384614,9123,4.206,6.892552233618346,87.05636386946385,37.3,97.46951013580002,0.5400909090909067,69.604,2.7105263157894797
1990,92,96,2.918,0.62,8432,4.3,0.97375649,87.02588554778553,36.0,96.8,0.5656424242424265,69.872,2.57280701754388
1991,92,96,2.608,0.6286,8192,4.372,1.823896404,86.9954072261072,34.8,97.47757721,0.5911939393939392,70.113,2.4350877192982807
1992,92,97,3.09,0.6372,8780,4.444,18.66483555,86.96492890442889,33.7,97.65201569,0.6167454545454518,70.331,2.6
1993,91,97,2.886,0.6458,8541,4.516,4.630914985,86.93445058275057,32.7,97.82375336,0.6422969696969716,70.529,2.36
1994,94,97,3.0980000000000003,0.6544,8533,4.588,4.986439995,86.90397226107225,31.7,97.99007416,0.6678484848484842,70.712,2.12
1995,95,97,2.963,0.6629999999999999,8748,4.66,6.186342348999999,86.87349393939392,30.8,98.14016724,0.6933999999999969,70.885,1.88
1996,96,97,3.0069999999999997,0.6716,8589,4.724,2.087347509,86.8430156177156,30.0,98.28553772,0.7189515151515167,71.053,1.64
1997,99,97,2.9819999999999998,0.6802,8723,4.788,3.3078930069999997,86.81253729603728,29.2,98.9,0.7445030303030293,71.219,1.4
1998,99,97,2.949,0.6888,8800,4.852,2.9939383239999997,86.78205897435896,28.4,98.53448486,0.770054545454542,71.38600000000001,1.3
1999,85,97,2.903,0.6974,8864,4.916,3.409474478,86.75158065268064,27.6,98.63587952,0.7956060606060618,71.556,1.2
2000,91,97,3.037,0.706,9085,4.98,4.245247419,86.72110233100231,26.9,98.72331238,0.8211575757575744,71.73,1.1
2001,99,97,3.0789999999999997,0.7091,9348,5.048,5.268616571,86.690624009324,26.1,98.79981232,0.8467090909090942,71.907,1.0
2002,95,97,3.1910000000000003,0.7122,9759,5.1160000000000005,5.784480682000001,86.66014568764567,25.4,99.5,0.8722606060606068,72.083,0.9
2003,97,97,3.235,0.7153,9943,5.184,4.161050302,86.62966736596735,24.7,98.93502045,0.8978121212121195,72.256,0.75
2004,95,97,3.4739999999999998,0.7184,10467,5.252000000000001,8.567297894,86.59918904428903,24.0,99.17343682,0.9233636363636393,72.42699999999999,0.6
2005,95,97,3.682,0.7215,10907,5.32,8.146583289,86.56871072261072,23.3,99.07223511,0.9489151515151519,72.595,0.45
2006,98,97,3.556,0.7246,11170,5.39,8.093331161,86.53823240093239,22.7,99.15040588,0.9744666666666646,72.763,0.3
2007,98,97,3.556,0.7277,11579,5.46,8.175719022000001,86.50775407925406,22.0,98.8,1.0,72.931,0.2
2008,97,97,3.287,0.7308,11848,5.53,7.23240848,86.47727575757574,21.4,99.33492279,1.0256,73.09899999999999,0.1
2009,98,97,3.2060000000000004,0.7339,11890,5.6,5.47658105,86.9,20.8,99.4,1.0511,73.266,0.1
2010,98,97,2.946,0.737,11553,5.67,2.3113924740000003,86.68,20.2,99.55314636,1.0767,73.428,0.1
2011,98,97,2.858,0.735,11238,5.74788235294119,2.58712783,86.46,19.7,99.67037201,1.1022,73.581,-0.31929824561404985
2012,98,97,3.055,0.737,10933,5.819542986425347,2.650383647,86.24,19.1,99.5,1.1278,73.722,-0.4570175438596493
2013,98,97,2.897,0.737,10680,5.891203619909504,2.829210769,86.02,18.6,99.8976593,1.1533,73.851,-0.5947368421052488
2014,98,97,3.0,0.741,10516,5.962864253393661,3.096330275,85.8,18.1,100.0,1.1789,73.969,-0.7324561403508483
2015,99,97,2.795,0.741,10352,6.0345248868778185,2.39169597,85.9167,17.6,100.1104749186,1.2044,74.078,-0.8701754385965046
2016,98,97.14461538461538,2.734,0.7648707692307681,10232,6.106185520362004,2.003330636,86.0333,17.1,100.21205048716925,1.23,74.184,-1.007894736842104
2017,104.93693693693695,97.16102564102562,3.7535808270676654,0.7696347008547004,10183,6.177846153846161,2.0371330414866406,86.15,16.6,100.31362605573847,1.2555333333333323,74.292,-1.1456140350877035
2018,105.65481270744431,97.17743589743588,3.8023141042260846,0.7743986324786309,10176,6.2495067873303185,1.863725213196176,86.2667,16.1,100.41520162430771,1.281084848484845,74.405,-1.283333333333303
2019,106.37268847795167,97.19384615384614,3.8510473813844897,0.7791625641025632,10248,6.321167420814476,1.690317384905768,86.3833,15.6,100.51677719287693,1.3066363636363647,77.80402454704847,-1.4210526315789593
2020,107.09056424845903,97.21025641025639,3.899780658542909,0.7839264957264955,11686.307344632776,6.392828054298633,1.51690955661536,86.5,-7.491468926553807,100.61835276144618,1.3321878787878774,78.15430672121568,-1.5587719298245588
