year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1974,71.46737967914441,49.6420512820514,5.946666666666658,1.093,0.3384512820512846,555.0,3.6039999999999996,2.31,64.08111383801395,89.8,82.39288543283078,63.13399999999999,106.82971014492705
1975,72.14224598930491,50.80170940170956,5.806666666666672,1.2429999999999999,0.34833760683760673,593.0,3.69,8.72,64.584491982092,84.3,82.86116467101533,63.915,104.11764492753628
1976,72.8171122994654,51.96136752136772,5.666666666666629,1.276,0.3582239316239324,575.0,3.8,6.869716902294584,65.08787012617017,79.0,83.3294439092,64.631,101.4055797101446
1977,73.49197860962568,53.12102564102588,5.526666666666642,1.375,0.3681102564102581,610.0,3.91,7.569999999,65.59124827024834,74.0,83.79772314738454,65.278,98.69351449275291
1978,74.16684491978617,54.28068376068359,5.386666666666656,1.5119999999999998,0.37799658119658375,672.0,4.02,11.666644,66.09462641432651,69.5,84.26600238556921,65.857,95.98144927536214
1979,74.84171122994667,55.44034188034175,5.24666666666667,1.524,0.38788290598290587,714.0,4.13,7.6,66.59800455840457,65.6,84.73428162375387,66.377,93.26938405797046
1980,75.51657754010694,56.59999999999991,5.1066666666666265,1.475,0.39776923076923154,760.0,4.24,7.80669145,67.10138270248274,62.2,85.20256086193842,66.844,90.55731884057968
1981,76.19144385026743,57.75965811965807,4.96666666666664,1.439,0.4076555555555572,788.0,4.2780000000000005,5.1724137919999995,67.60476084656091,59.5,85.67084010012309,67.26,87.845253623188
1982,76.86631016042793,58.91931623931623,4.826666666666654,1.545,0.4175418803418829,854.0,4.316,8.934426228,68.10813899063908,57.3,86.13911933830764,67.627,85.13318840579723
1983,58.0,60.07897435897439,4.686666666666667,1.6059999999999999,0.427428205128205,925.0,4.354,10.83521445,68.61151713471725,55.7,86.6073985764923,67.949,82.42112318840555
1984,73.0,61.23863247863255,4.546666666666624,1.722,0.4373145299145307,1052.0,4.3919999999999995,15.13917176,69.1148952787953,54.6,87.07567781467685,68.23100000000001,79.70905797101386
1985,78.0,62.398290598290714,4.406666666666638,1.835,0.44720085470085635,1176.0,4.43,13.44339623,69.61827342287347,54.0,87.54395705286151,68.473,76.99699275362309
1986,78.0,63.557948717948875,4.2666666666666515,1.896,0.457087179487182,1262.0,4.446000000000001,8.939708941000001,70.12165156695164,53.8,88.01223629104618,68.673,74.28492753623141
1987,75.0,64.71760683760704,4.126666666666665,1.9869999999999999,0.46697350427350415,1387.0,4.462,11.6889313,70.62502971102981,53.8,88.48051552923073,68.831,71.57286231884063
