year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2000,75,79,1.3259999999999998,0.607,4702,6.03,2.507810809,75.5,69.963045,27.261304043956216,62.452,29.7
2001,71,80,1.013,0.6112,4682,6.028,1.683799127,71.2,69.258539,26.64741230769232,63.053999999999995,23.7
2002,77,80,1.2009999999999998,0.6154,4700,6.026,2.485565738,67.1,63.996855000000004,23.2,63.64,24.9
2003,88,81,1.258,0.6196,4730,6.024,2.7113398369999997,63.2,72.3,22.8,64.21,19.3
2004,84,82,1.239,0.6238,4829,6.022,4.173295588999999,59.5,75.69345093,22.4,64.766,13.7
2005,85,83,1.335,0.628,4945,6.02,4.421433127,56.0,68.288209,22.0,65.312,20.4
2006,83,84,1.62,0.6322,5083,5.978,4.797008824,52.7,76.211281,25.3667,65.85300000000001,17.9
2007,84,85,1.305,0.6364,5215,5.936,4.564284925,49.5,80.15656700000001,28.7333,66.395,13.9
2008,88,85,1.3780000000000001,0.6406,5435,5.894,6.148597672,46.6,84.674991,32.1,66.937,11.9
2009,93,86,1.433,0.6448,5517,5.852,3.3570012589999996,43.9,86.765597,20.2,67.476,11.9
2010,91,87,1.5319999999999998,0.649,5646,5.81,4.126722565,41.3,84.49197388,20.2021,68.007,9.95
2011,95,88,1.6,0.655,5839,6.7425098039215925,5.204092718,38.9,88.335943,20.2042,68.521,8.0
2012,93,89,1.834,0.6609999999999999,6036,6.833767722473624,5.1222746610000005,36.7,90.387375,20.2063,69.01,9.1
2013,94,89,1.817,0.6659999999999999,6341,6.925025641025655,6.796011706,34.6,89.505686,20.20834,69.468,7.7
2014,98,90,1.93,0.6709999999999999,6580,7.016283559577687,5.4605697520000005,32.7,90.038729,17.0642,69.891,6.8
2015,99,90,1.942,0.674,6791,7.107541478129718,4.857187895,31.0,91.96069875329977,13.92,70.277,7.1
2016,99,92.20307692307688,1.9380000000000002,0.6849507692307686,6972,7.198799396681778,4.263919404,29.5,93.43951140715353,17.439036263736398,70.626,11.27246153846147
2017,111.72072072072115,93.0728205128205,1.7318740601503748,0.6903630769230773,7154,7.29005731523381,4.118688337327271,28.2,94.91832406100775,16.825144527472503,70.945,10.98167521367509
2018,114.3304883831197,93.94256410256412,1.7578080114078318,0.6957753846153842,7351,7.381315233785841,4.1520679276677015,27.0,96.39713671486152,16.211252791208835,71.23899999999999,10.690888888888821
2019,116.94025604551916,94.81230769230774,1.7837419626652817,0.701187692307693,7533,7.472573152337873,4.185447518008132,26.0,97.87594936871528,15.597361054945168,72.41437931034488,10.40010256410244
2020,119.55002370791863,95.68205128205136,1.8096759139227387,0.7065999999999999,6266.62372881356,7.563831070889904,4.218827108348563,-6.967627118643577,99.35476202256905,14.983469318681273,72.95989421391005,10.109316239316172
