year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1982,64,82.6338461538462,1.2570000000000001,0.6156335042735046,6.152,3.759365687346815,40.0,40.399568983261815,64.436,11.21586270396267
1983,80,83.07384615384615,1.036,0.619157948717949,6.228,3.6943899656368444,38.2,42.30172826143871,64.65100000000001,10.909685081585053
1984,77,83.5138461538462,0.828,0.6226823931623935,6.303999999999999,8.393024471,36.5,44.20388753961561,64.857,10.603507459207322
1985,69,83.95384615384614,0.815,0.6262068376068379,6.38,3.5644385222169603,35.0,46.1060468177925,65.041,10.297329836829704
1986,71,84.3938461538462,0.835,0.6297312820512824,6.502000000000001,7.749907965,33.7,48.0082060959694,65.19,9.991152214452086
1987,90,84.83384615384614,0.665,0.6332557264957268,6.624,3.4344870787970763,32.4,49.910365374146295,65.29899999999999,9.684974592074468
1988,98,85.2738461538462,0.7609999999999999,0.6367801709401713,6.746,0.955754872,31.2,51.81252465232319,65.365,9.37879696969685
1989,98,85.71384615384613,0.8690000000000001,0.6403046153846157,6.867999999999999,7.438632436000001,30.0,53.71468393050009,65.391,9.072619347319232
1990,97,86,1.112,0.6409999999999999,6.99,5.800002719,28.9,55.24864197,65.37899999999999,8.766441724941615
1991,99,86,0.9109999999999999,0.6452,7.004,3.174584191957308,27.8,57.23933029,65.336,8.460264102563997
1992,97,87,1.0070000000000001,0.6494,7.018,6.1000013939999995,26.9,59.2295723,65.278,8.154086480186379
1993,96,87,0.993,0.6536,7.032,2.130031625,26.0,61.21710587,65.218,7.847908857808761
1994,96,88,0.98,0.6578,7.046,5.1000001589999995,25.3,63.19922638,65.17,7.541731235431143
1995,97,88,0.98,0.662,7.06,2.4999985380000003,24.7,65.17323303,65.15,7.235553613053526
1996,97,89,1.045,0.6662,6.997999999999999,4.800000928999999,24.2,66.9,65.175,6.929375990675908
1997,86,89,0.996,0.6704,6.936,2.7847298616976275,23.8,69.0860672,65.24600000000001,6.62319836829829
1998,87,90,0.9620000000000001,0.6746,6.874,1.300001962,23.4,71.01948547,65.36,6.317020745920672
1999,89,90,0.9670000000000001,0.6788,6.812,8.799998029,23.0,72.93505859,65.512,6.010843123543054
2000,90,91,1.035,0.6829999999999999,6.75,2.5898026965678014,22.7,74.83559418,65.687,5.704665501165437
2001,91,91,1.3019999999999998,0.6856,6.71,1.9999994680000002,22.5,76.72499084,65.863,5.398487878787819
2002,93,92,1.091,0.6882,6.67,3.2000005139999996,22.4,78.60713959,66.02199999999999,4.9
2003,94,92,1.286,0.6908,6.63,0.9999984679999999,22.4,80.0,66.152,4.6667
2004,95,93,1.65,0.6934,6.59,5.300000292,22.6,82.36529541,66.247,4.4333
2005,96,93,1.338,0.696,6.55,0.700000383,23.0,84.24909973,66.313,4.2
2006,98,93,1.474,0.6986,6.532,1.852483092,23.3,86.14125824,66.362,3.9667
2007,99,94,1.39,0.7012,6.513999999999999,2.1349726445981787,23.6,88.9,66.413,3.7333
2008,99,94,1.055,0.7038,6.496,1.032794215,23.7,89.95869446,66.477,3.5
2009,99,95,0.927,0.7064,6.478,2.005021201178266,23.7,91.88140869,66.559,3.1
2010,99,95,1.419,0.7090000000000001,6.46,2.954672074,23.7,93.81111908,66.655,2.7
2011,99,96,1.2570000000000001,0.7140000000000001,6.31,2.7051429710000003,23.6,95.74608612,66.759,2.3
2012,99,96,1.213,0.7190000000000001,6.16,1.883476699,23.6,97.68454742,66.859,1.9
2013,99,96,1.307,0.727,6.01,6.0804937820000005,23.7,98.91590881,66.95,1.5
2014,99,96,1.321,0.7340000000000001,5.86,5.446469358,24.0,100.0,67.03,1.4181787878786736
2015,99,96,1.401,0.736,5.71,5.563460245,24.3,103.17082516310029,67.10300000000001,1.1120011655010558
2016,99,97.59384615384613,1.446,0.7354646153846156,5.722,1.9649020590000001,24.7,105.07298444127719,67.175,0.805823543123438
2017,104.54954954954951,98.03384615384618,1.3498352130325806,0.73898905982906,5.734,1.48521542749873,25.2,106.97514371945408,67.252,0.49964592074582015
2018,105.25414888572777,98.47384615384613,1.3602590528044232,0.7425135042735045,5.746,1.4202397057887595,25.6,108.87730299763098,67.34100000000001,0.19346829836820234
2019,105.95874822190603,98.91384615384618,1.3706828925762657,0.7460379487179489,5.757999999999999,1.3552639840788174,25.7,110.77946227580787,67.77029690239627,-0.11270932400941547
2020,106.6633475580843,99.35384615384612,1.3811067323481119,0.7495623931623934,5.77,1.2902882623688754,11.103276836158102,112.68162155398477,67.87389719462305,-0.4188869463870333
