year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1984,99,88.751452991453,1.851,0.6647514529914513,7889,5.096,4.103683242,71.86849816849815,23.0,92.38570136550766,3.255460606060595,71.282,7.8663626108373705
1985,99,89.11623931623933,1.764,0.6707316239316228,7919,5.14,4.009916202,72.22783882783881,22.4,92.66737801444617,3.2999090909090825,71.737,7.6321343842363945
1986,90,89.48102564102567,1.795,0.6767117948717942,8230,5.172000000000001,5.377692322000001,72.58717948717947,22.2,92.94905466338457,3.34435757575757,72.148,7.397906157635418
1987,93,89.845811965812,1.798,0.6826919658119657,8628,5.204,6.460468528,72.94652014652013,21.9,93.23073131232309,3.3888060606060577,72.524,8.5
1988,96,90.21059829059834,2.1,0.6886721367521353,9101,5.236000000000001,7.345110455,73.30586080586079,21.4,93.51240796126149,3.4332545454545453,72.872,8.3
1989,95,90.57538461538456,2.484,0.6946523076923068,9892,5.268,9.923382897,73.66520146520145,20.4,93.7940846102,3.477703030303033,73.19800000000001,8.1
1990,95,90,2.5140000000000002,0.7,10078,5.3,3.333565473,74.02454212454211,19.1,92.257427,3.5221515151515064,73.509,7.9
1991,94,91,2.326,0.7061,10659,5.292000000000001,7.804392186,74.38388278388277,17.6,94.07894897,3.566599999999994,73.808,6.25
1992,90,91,2.374,0.7122,11574,5.284,11.16670773,74.74322344322343,16.2,94.560057,3.6110484848484816,74.1,4.6
1993,90,92,2.492,0.7183,12157,5.276,6.588783827,75.10256410256409,15.0,94.81132507,3.6554969696969692,74.38600000000001,4.75
1994,94,92,2.702,0.7244,12579,5.268,5.030197977,71.8,13.9,95.17074585,3.699945454545457,74.671,4.9
1995,94,93,2.917,0.7305,13492,5.26,8.933295869,73.38,13.1,95.52204895,3.7443939393939303,74.957,4.15
1996,91,93,3.343,0.7366,14217,5.272,6.802916596,74.96,12.5,95.617315,3.788842424242418,75.244,3.4
1997,90,94,3.835,0.7427,15067,5.284,7.427889808,76.54,12.2,96.18948364,3.8332909090909055,75.53,3.45
1998,90,94,3.8680000000000003,0.7488,15523,5.296,4.324579497,78.12,11.9,97.241124,3.877739393939393,75.813,3.5
1999,95,95,4.0760000000000005,0.7549,15261,5.308,4.3452464182983945,79.7,11.5,96.79307556,3.9221878787878808,76.092,3.9
2000,91,95,3.8510000000000004,0.7609999999999999,15885,5.32,5.326938419,79.68,10.9,97.938687,3.966636363636354,76.366,4.3
2001,97,95,3.451,0.7669,16223,5.362,3.303047313,79.66,10.3,97.33760071,4.011084848484842,76.634,4.2
2002,97,96,3.528,0.7728,16545,5.404,3.106970532,79.64,9.8,97.5970459,4.055533333333329,76.89399999999999,4.1
2003,96,96,3.517,0.7787,17043,5.446000000000001,4.091047685,79.62,9.5,98.782325,4.1,77.146,4.0
2004,93,96,3.739,0.7846,18082,5.4879999999999995,7.2095397089999995,79.6,9.3,98.11312866,4.1444,77.391,3.4333
2005,91,97,3.825,0.7905,18930,5.53,5.742830489,79.58,9.1,98.37696838,4.1889,77.63,2.8667
2006,94,97,3.968,0.7964,19923,5.57,6.317176343,79.56,9.0,99.36810799999999,4.2333,77.865,2.3
2007,96,97,4.34,0.8023,20686,5.61,4.905324504,79.54,8.9,98.92881012,4.2778,78.09899999999999,2.4
2008,95,98,4.309,0.8082,21193,5.65,3.5295305530000003,79.52,8.9,99.21689606,4.3222,78.33,2.5
2009,94,98,3.966,0.8141,20629,5.69,4.541230884977139,79.5,8.8,99.593662,4.3667,78.558,2.6
2010,92,98,4.248,0.82,21597,5.73,5.844177296,80.5,8.7,99.73860168,4.4111,78.779,2.1
2011,94,99,4.6160000000000005,0.826,22666,5.79293333333333,6.110918829,81.5,8.5,99.588193,4.4556,78.986,1.6
2012,90,99,4.6739999999999995,0.831,23616,5.823890799396679,5.3186279999999995,82.5,8.4,99.97544861,4.5,79.176,1.25
2013,91,99,4.762,0.841,24336,5.854848265460028,4.045004298,83.5,8.3,99.6,4.544466666666665,79.34899999999999,0.9
2014,95,99,4.683,0.845,24521,5.8858057315233765,1.9096933580000002,84.5,8.1,100.0,4.5889151515151525,79.50399999999999,1.1
2015,96,99,4.6610000000000005,0.847,24832,5.916763197586725,2.2525367530000002,84.2,7.9,101.1176774825999,4.633363636363626,79.646,1.3
2016,95,100.42461538461532,4.868,0.8561169230769217,24980,5.947720663650074,1.589022564,83.9,7.7,101.39935413153842,4.6778121212121135,79.779,0.37105935960585157
2017,93.11261261261262,100.78940170940166,4.389792606516295,0.8620970940170931,25035,5.978678129713423,4.698018458320135,83.6,7.4,101.68103078047693,4.722260606060601,79.90899999999999,0.13683113300487548
2018,93.07444286391656,101.154188034188,4.440468455621826,0.8680772649572646,25775,6.009635595776771,4.717616904988006,83.3,7.2,101.96270742941533,4.766709090909089,80.042,-0.0973970935961006
2019,93.03627311522048,101.51897435897433,4.491144304727342,0.8740574358974342,26471,6.04059306184012,4.737215351655877,83.0,7.0,102.24438407835385,4.811157575757576,83.40197603740489,-0.3316253201970767
2020,92.99810336652442,101.88376068376067,4.541820153832859,0.8800376068376057,23832.598305084743,6.071550527903469,4.756813798323755,82.7,-24.213446327683414,102.52606072729225,4.85560606060605,83.8107012273523,-0.5658535467980528
