year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1973,73.5411764705882,72.93948717948706,0.894,0.47037692307692325,4119,1.6740000000000002,5.977138923981784,97.75,151.5,78.21403859442307,54.59,19.490632478632392
1974,74.25882352941176,73.55692307692311,0.975,0.476861538461538,4345,1.7819999999999998,8.074782332,97.30000000000007,142.7,78.80472762381532,55.70399999999999,18.998393162393086
1975,74.97647058823509,74.17435897435894,0.98,0.48334615384615276,4536,1.89,7.156099909,96.85000000000002,133.8,79.39541665320758,56.794,18.50615384615378
1976,75.69411764705865,74.79179487179476,1.01,0.4898307692307693,4765,2.012,7.876852652999999,96.39999999999998,125.2,79.98610568259983,57.86600000000001,18.013914529914473
1977,76.4117647058822,75.40923076923082,1.141,0.49631538461538405,4808,2.134,3.4110958539999996,95.95000000000005,116.7,80.5767947119923,58.928000000000004,17.521675213675167
1978,77.12941176470576,76.02666666666664,1.237,0.5027999999999988,5008,2.256,6.440473533,95.5,108.8,81.16748374138456,59.979,17.02943589743586
1979,77.84705882352932,76.64410256410247,1.412,0.5092846153846153,5214,2.378,6.567521172999999,95.05000000000007,101.7,81.75817277077681,61.01,16.537196581196554
1980,78.56470588235288,77.26153846153852,1.49,0.5157692307692301,5459,2.5,7.418739595,94.60000000000002,95.2,82.34886180016906,61.998999999999995,16.044957264957247
1981,79.28235294117644,77.87897435897435,1.5019999999999998,0.5222538461538448,5619,2.54,5.514072828,94.14999999999998,89.4,82.93955082956154,62.924,15.552717948717941
1982,80.0,78.49641025641017,1.4140000000000001,0.5287384615384614,5485,2.58,5.283792473706569,93.70000000000005,84.1,83.53023985895379,63.769,15.060478632478635
1983,62.0,79.11384615384623,1.631,0.5352230769230761,5636,2.62,4.681917384,93.25,79.3,84.12092888834604,64.53,14.568239316239215
1984,66.0,79.73128205128205,1.619,0.5417076923076909,5689,2.66,5.748843265,92.79999999999995,74.8,84.7116179177383,65.211,14.075999999999908
1985,70.0,80.34871794871788,1.629,0.5481923076923074,5863,2.7,5.648573235,92.35000000000002,70.7,85.30230694713077,65.831,13.9
1986,72.0,80.9661538461537,1.605,0.5546769230769222,5632,2.7880000000000003,4.975638495806493,91.89999999999998,66.9,85.89299597652303,66.414,13.08
1987,84.0,81.58358974358976,1.526,0.5611615384615369,5868,2.8760000000000003,6.701371095,91.45000000000005,63.5,86.48368500591528,66.98899999999999,12.26
1988,91.0,82.20102564102558,1.5819999999999999,0.5676461538461535,5747,2.964,0.072159078,91.0,60.5,87.07437403530753,67.574,11.44
1989,93.0,82.8184615384614,1.642,0.5741307692307682,5843,3.052,1.746699129,90.54999999999995,57.8,87.6650630647,68.176,10.62
1990,93.0,83,1.611,0.569,6186,3.14,7.949819436,90.10000000000002,55.3,88.00911713,68.792,9.8
1991,93.0,83,1.839,0.5775,6319,3.238,3.904545301,89.64999999999998,52.9,88.67047119,69.407,10.02
1992,95.0,84,1.745,0.586,6698,3.3360000000000003,7.805728857,89.20000000000005,50.5,89.33136749,70.001,10.24
1993,94.0,85,1.8769999999999998,0.5945,6739,3.4339999999999997,2.189828889,88.75,48.1,89.98955536,70.555,10.46
1994,93.0,86,1.7790000000000001,0.603,6864,3.532,3.178411391,88.29999999999995,45.5,86.8,71.062,10.68
1995,94.0,87,1.725,0.6115,6945,3.63,2.351669888,87.85000000000002,42.8,88.7,71.517,10.9
1996,95.0,87,1.8090000000000002,0.62,7320,3.716,7.146080839,87.39999999999998,40.0,90.4,71.921,9.78
1997,96.0,88,1.804,0.6285,7641,3.802,5.440943436,86.95000000000005,37.3,92.0,72.282,8.66
1998,96.0,89,1.8940000000000001,0.637,7928,3.888,4.783762572,86.5,34.6,93.2,72.608,7.54
1999,99.0,89,1.9080000000000001,0.6455,8316,3.9739999999999998,6.054634515,86.04999999999995,32.1,94.2,72.904,6.42
2000,97.0,90,2.053,0.654,8584,4.06,4.709859945,85.60000000000002,29.9,94.8,73.172,5.3
2001,98.0,91,2.126,0.66,8818,4.132,3.7961838269999997,85.14999999999998,27.8,97.3,73.415,4.86
2002,96.0,91,2.113,0.6659999999999999,8845,4.204,1.322563618,84.70000000000005,26.1,97.8,73.638,4.42
2003,95.0,92,2.136,0.672,9168,4.276,4.702411815,84.25,24.5,98.4,73.842,3.98
2004,97.0,92,2.224,0.6779999999999999,9645,4.348,6.235793869,83.79999999999995,23.2,99.0,74.03399999999999,3.54
2005,98.0,93,2.241,0.684,9890,4.42,3.486535815,83.35000000000002,22.0,99.3,74.217,3.1
2006,99.0,94,2.253,0.69,10316,4.484,5.244195185,82.89999999999998,21.0,99.4,74.391,2.88
2007,98.0,94,2.339,0.696,10909,4.548,6.709620392000001,82.45000000000005,20.2,99.4,74.558,2.66
2008,99.0,95,2.384,0.7020000000000001,11266,4.612,4.237776836,82.0,19.4,99.4,74.72,2.44
2009,99.0,95,2.354,0.708,11494,4.676,3.043448955,81.54999999999995,18.9,99.5,74.88,2.22
2010,98.0,96,2.5980000000000003,0.7140000000000001,11767,4.74,3.510608639,81.10000000000002,18.4,99.5,75.041,2.0
2011,98.0,96,2.416,0.7170000000000001,11410,4.946000000000026,3.049676133930916,80.64999999999998,18.0,99.5,75.206,0.7855384615384082
2012,97.0,97,2.478,0.72,11728,5.030959276018137,3.9976660789999996,80.20000000000005,17.7,99.5,75.376,0.29329914529910184
2013,98.0,97,2.509,0.722,11922,5.11591855203622,2.874754293,79.75,17.5,99.7,75.55199999999999,-0.19894017094020455
2014,98.0,98,2.585,0.723,12131,5.200877828054331,2.823159581,79.3,17.3,99.8,75.734,-0.6911794871795109
2015,98.0,98,2.767,0.725,12129,5.285837104072414,1.1494083929999999,78.85,17.2,103.02297782889991,75.922,-1.1834188034188173
2016,98.0,99.48923076923074,2.725,0.7492153846153844,12129,5.370796380090525,1.169769098,78.4,17.1,103.61366685829216,76.115,-1.6756581196581237
2017,105.11764705882342,100.10666666666657,2.753056390977463,0.7556999999999992,12238,5.455755656108636,2.587445167080773,77.95,17.1,104.20435588768441,76.31,-2.16789743589743
2018,105.83529411764698,100.72410256410262,2.7937389162561743,0.7621846153846139,12419,5.540714932126718,2.510406672605768,77.5,17.0,104.7950449170769,76.505,-2.6601367521367365
2019,106.55294117647054,101.34153846153845,2.834421441534886,0.7686692307692304,12675,5.625674208144829,2.433368178130735,77.05,16.9,105.38573394646914,82.82591583869089,-3.1523760683761566
2020,107.2705882352941,101.95897435897427,2.8751039668135974,0.7751538461538452,12534.282485875709,5.710633484162912,2.3563296836557015,76.6,-35.17640653357557,105.9764229758614,83.43693845704274,-3.644615384615463
