year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1990,82,92,-23.099999999999454,13.921,0.67,12271,6.58,1.508415857,30.4,82.41654968,4.733364285714288,68.086
1991,82,92,-19.909090909090082,13.822000000000001,0.6745,12601,6.606,2.682050198,29.9,83.34551239,4.650028571428578,68.20100000000001
1992,87,92,-16.71818181818162,15.467,0.679,13838,6.632000000000001,2.9649407830726275,29.5,84.27402496,4.566692857142868,68.305
1993,81,92,-13.527272727272248,14.433,0.6835,13728,6.6579999999999995,2.9407441436086827,29.2,85.1998291,4.483357142857159,68.402
1994,85,92,-10.336363636362876,13.94,0.688,14217,6.684,3.5659008830000003,28.9,86.12021637,4.400021428571449,68.49600000000001
1995,89,93,-7.145454545454413,13.554,0.6925,14769,6.71,4.657152904,28.7,87.03249359,4.3166857142857396,68.597
1996,89,93,-3.954545454545041,16.347,0.6970000000000001,15846,6.724,7.134477381,28.5,87.9339447,4.23335000000003,68.71300000000001
1997,90,93,-0.7636363636356691,14.579,0.7015,17069,6.7379999999999995,7.5228547379999995,28.4,88.8218689,4.150014285714292,68.85
1998,91,93,2.4272727272727934,15.136,0.706,18493,6.752000000000001,8.124564009,28.3,89.69355774,4.066678571428582,69.01100000000001
1999,90,93,5.618181818182165,17.813,0.7105,20025,6.766,8.024817633,28.2,90.54740143,3.9833428571428726,69.199
2000,90,93,9.3,18.785999999999998,0.715,21456,6.78,6.901359504,28.2,91.29,3.9,69.413
2001,91,94,11.6,20.694000000000003,0.7209,22298,6.792000000000001,4.168524081,28.0,92.21387482,3.8167,69.65
2002,96,94,13.1,22.381999999999998,0.7268,23954,6.803999999999999,7.936709641,27.8,93.0342865,3.7333,69.903
2003,91,94,17.5,24.89,0.7327,27353,6.816,14.44141643,27.3,93.85136414,3.65,70.164
2004,94,94,19.8,25.881,0.7386,29431,6.827999999999999,7.949593642000001,26.8,94.66899109,3.5667,70.428
2005,95,94,29.3,29.392,0.7445,31232,6.84,6.20899299,26.3,95.49106598,3.4833,70.691
2006,92,94,28.1,32.721,0.7504,35723,6.85,13.20805776,25.6,96.32149506,3.4,70.952
2007,88,95,29.5,34.707,0.7563,37296,6.86,4.754189958,25.0,97.1632309,3.316657142857167,71.21
2008,90,95,41.1,33.717,0.7622,38568,6.87,3.39042137,24.3,98.01235962,3.2333214285714575,71.464
2009,90,95,37.9,33.943000000000005,0.7681,36749,6.88,2.5535979121855803,23.6,99.0,3.1499857142857195,71.71
2010,90,95,35.2,36.067,0.774,38060,6.89,3.323330512,22.9,99.42642212,3.06665000000001,71.946
2011,90,95,43.90909090909099,35.137,0.772,38023,7.219725490196069,2.505204633257698,22.2,99.80375671,2.9833142857143002,72.17
2012,92,95,47.100000000000364,33.826,0.773,37799,7.258689291101049,1.29397895,21.5,99.95848083,2.8999785714285906,72.382
2013,92,95,50.290909090909736,34.489000000000004,0.778,38694,7.29765309200603,2.653918424,20.8,99.9960022,2.816642857142881,72.582
2014,92,95,53.4818181818182,34.138000000000005,0.779,38251,7.336616892910996,2.4326147148658634,20.3,100.0,2.7333071428571714,72.768
2015,96,95,56.67272727272757,33.645,0.78,39034,7.3755806938159765,2.4084180754019187,19.7,102.87041319079981,2.6499714285714333,72.941
2016,97,95.6830769230769,59.86363636363694,30.059,0.7949107692307678,36553,7.414544494720957,2.384221435937974,19.1,103.65854734753839,2.5666357142857237,73.1
2017,102.9909909909909,95.8276923076923,63.054545454546314,33.12435651629062,0.7997360683760668,35876,7.453508295625937,2.360024796474029,18.6,104.44668150427674,2.483300000000014,73.245
2018,104.02750118539575,95.97230769230765,66.24545454545478,33.675687019272345,0.8045613675213676,36068,7.4924720965309035,2.3358281570100843,18.1,105.23481566101532,2.3999642857143044,73.38
2019,105.0640113798006,96.11692307692306,69.43636363636415,34.227017522253846,0.8093866666666667,36164,7.531435897435884,2.3116315175461466,17.5,106.02294981775367,2.316628571428595,73.31242197545293
2020,106.10052157420546,96.26153846153846,72.62727272727352,34.77834802523557,0.8142119658119658,36704.850847457536,7.570399698340864,2.287434878082202,13.101807909604304,106.81108397449202,2.233292857142885,73.49077615429576
