year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2002,95,81,1.021,0.6858,7510,5.14,5.453528938,64.25,33.0,74.382688,29.2714,71.882,15.3
2003,94,81,0.9790000000000001,0.6902,7726,5.2,4.1650231369999995,64.7,30.6,74.380966,31.8571,72.24,12.2
2004,86,82,1.169,0.6946,8014,5.26,4.958203206,65.15,28.6,75.692357,34.4429,72.581,12.2
2005,77,82,1.344,0.6990000000000001,8420,5.32,6.285060325,65.6,26.8,77.173645,37.0286,72.908,14.2
2006,94,83,1.247,0.7034,8954,5.348,7.528899044,66.05,25.1,80.157275,39.6143,73.222,12.4
2007,93,83,1.517,0.7078,9613,5.376,8.518387769,66.5,23.6,81.98813100000001,42.2,73.528,10.0
2008,93,84,1.431,0.7122,10381,5.404,9.126568301,66.95,22.2,84.678343,36.825,73.82600000000001,7.9
2009,93,84,1.781,0.7166,10380,5.432,1.0958236590000001,67.4,21.0,86.42432,31.45,74.12,6.3
2010,93,85,1.959,0.721,11141,5.46,8.332459107,69.12,19.9,88.12306099999999,26.075,74.41,4.7
2011,91,85,1.666,0.725,11738,5.669819607843138,6.3271924020000005,70.84,18.9,89.707491,20.7,74.697,4.3
2012,95,86,1.825,0.731,12310,5.732090196078431,6.139724706,72.56,18.0,91.099508,22.5031,74.98100000000001,4.1
2013,88,86,1.868,0.735,12897,5.794360784313724,5.8525182110000005,74.28,17.2,92.13536500000001,24.3063,75.258,3.7
2014,88,86,1.992,0.737,13075,5.8566313725490176,2.354333038,76.0,16.4,92.919989,26.10942,75.529,3.1
2015,90,87,2.041,0.74,13372,5.918901960784311,3.251202425,76.8,15.7,93.19207624469982,22.56657224,75.792,3.0
2016,89,87.71076923076919,2.133,0.7523353846153835,13778,5.981172549019604,3.882496839,77.6,15.0,94.49856549127708,25.356820060000018,76.044,0.7771929824561994
2017,111.46396396396403,88.2164102564102,1.5582305764411046,0.7574229059829047,13985,6.043443137254897,3.882383437592857,78.4,14.3,95.80505473785388,24.841921006470557,76.286,-0.19771929824537438
2018,113.37174016121389,88.72205128205121,1.5683770633480272,0.7625104273504277,14407,6.10571372549019,3.889010513847367,79.2,13.7,97.11154398443068,24.327021952941095,76.516,-1.1726315789471755
2019,115.27951635846375,89.22769230769222,1.5785235502549497,0.767597948717949,14834,6.1679843137254835,3.895637590101879,80.0,13.2,98.41803323100748,23.81212289941186,79.69969199298646,-2.1475438596489766
2020,117.18729255571361,89.73333333333335,1.5886700371618723,0.7726854700854702,11326.7361581921,6.230254901960777,3.902264666356391,80.8,-21.24090395480289,99.72452247758474,23.2972238458824,80.21032805376979,-3.122456140350778
