year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1971,38.386913229018774,71.88307692307694,11.958382352941179,2.35,0.5636846153846164,10623,2.688,3.7624676860000004,60.86972438086309,102.8,89.51374156480767,20.746729072727362,61.82899999999999,14.807419354838657
1972,39.96017069701293,72.45333333333338,11.980735294117643,2.386,0.5683008547008548,11200,2.7560000000000002,8.228807312,61.52303880863042,99.0,89.76624267604615,20.416044145454634,62.327,14.553870967741886
1973,41.53342816500708,73.02358974358981,12.003088235294115,2.517,0.5729170940170949,11810,2.824,7.861119861000001,62.176353236397745,95.4,90.01874378728462,20.085359218181907,62.845,14.300322580645116
1974,43.10668563300169,73.59384615384624,12.025441176470586,2.6210000000000004,0.5775333333333332,12200,2.892,5.77682723,62.82966766416507,91.8,90.27124489852304,19.75467429090918,63.378,14.046774193548345
1975,44.67994310099584,74.16410256410268,12.047794117647058,2.7,0.5821495726495733,12554,2.96,5.74448505,63.4829820919324,88.3,90.52374600976151,19.42398936363645,63.922,13.793225806451574
1976,46.253200568989996,74.73435897435911,12.07014705882353,2.938,0.5867658119658117,12762,3.0460000000000003,4.417444135,64.13629651969973,84.9,90.77624712099998,19.093304436363724,64.467,13.539677419354803
1977,47.826458036984604,75.30461538461532,12.092500000000001,2.995,0.5913820512820518,12882,3.1319999999999997,3.390639707,64.78961094746705,81.6,91.02874823223846,18.762619509090996,65.009,13.286129032258032
1978,49.39971550497876,75.87487179487175,12.114852941176473,3.3689999999999998,0.5959982905982901,13617,3.218,8.956942328,65.44292537523461,78.3,91.28124934347693,18.43193458181827,65.54,13.03258064516126
1979,50.97297297297291,76.44512820512819,12.137205882352944,3.555,0.6006145299145302,14523,3.304,9.698170138,66.09623980300194,75.0,91.53375045471535,18.10124965454554,66.055,12.77903225806449
1980,44,77.01538461538462,12.159558823529409,3.867,0.6052307692307703,15382,3.39,9.233251983999999,66.74955423076926,71.8,91.78625156595382,17.770564727272813,66.553,12.525483870967719
1981,43,77.58564102564105,12.18191176470588,4.005,0.6098470085470087,16347,3.49,8.772600561,79.2,68.6,92.03875267719229,17.439879800000085,67.031,12.271935483870948
1982,40,78.15589743589749,12.204264705882352,4.195,0.6144632478632488,15853,3.59,4.672263815202598,78.3077,65.5,92.29125378843077,17.109194872727358,67.493,12.018387096774177
