year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1986,75.0,80.73128205128205,1.462,0.4545538461538461,3331,3.324,2.0990291290000003,204.89999999999964,76.9,29.057947225753765,61.199
1987,84.0,80.61470085470086,1.639,0.4549153846153845,3169,3.428,1.150737205,200.39999999999964,74.5,29.332856176169116,60.792
1988,85.0,80.49811965811966,1.675,0.455276923076923,3341,3.532,7.552374508,195.89999999999964,73.5,29.60776512658458,60.136
1989,87.0,80.38153846153847,1.633,0.45563846153846144,3447,3.636,5.199766444,191.39999999999964,74.3,29.882674076999933,59.235
1990,88.0,79,1.535,0.499,3416,3.74,6.988552932999999,186.89999999999964,76.6,29.888858799999998,58.1
1991,87.0,80,1.526,0.4918,3508,3.884,5.531782072,182.39999999999964,79.8,30.23710442,56.748999999999995
1992,86.0,80,1.591,0.4846,3107,4.0280000000000005,2.6153433429394397,177.89999999999964,83.8,28.2,55.243
1993,85.0,80,1.499,0.4774,3065,4.172,1.0514585090000002,173.39999999999964,87.8,30.92999077,53.653
1994,87.0,80,1.599,0.4702,3310,4.316,9.235198742,168.89999999999964,91.4,28.1,52.044
1995,88.0,80,1.3359999999999999,0.46299999999999997,3286,4.46,0.158025752,164.39999999999964,94.4,31.60122871,50.48
1996,90.0,80,1.301,0.4558,3564,4.578,10.36069674,159.89999999999964,96.2,31.92196655,49.00899999999999
1997,86.0,80,1.23,0.4486,3594,4.696000000000001,2.680594174,155.39999999999964,96.5,32.22917557,47.661
1998,84.0,79,1.197,0.4414,3635,4.814,2.885211917,150.89999999999964,95.6,32.52014923,46.466
1999,81.0,79,1.311,0.4342,3543,4.9319999999999995,1.9497367313540224,146.39999999999964,94.1,38.4,45.461000000000006
2000,78.0,79,1.138,0.42700000000000005,3359,5.05,1.854650072556126,141.89999999999964,92.7,33.05137634,44.648999999999994
2001,75.0,79,1.018,0.4295,3316,5.14,1.439615074,137.39999999999964,91.3,33.29832458,44.01
