year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1971,11.945658263305177,12.486153846153684,0.152,0.3446279411764701,2883,3.9293650319999998,151.7,6.1090087014769665,23.809268214285723,45.257,41.993349209001735
1972,13.587394957983179,13.37059829059831,0.18600000000000003,0.3485867647058818,2781,1.5036042408601489,153.9,6.357187328861585,23.870121428571423,45.735,42.914221301247835
1973,15.22913165266118,14.255042735042707,0.15,0.35254558823529347,2647,1.5311623761381057,156.3,6.605365956246203,23.930974642857137,46.203,43.83509339349371
1974,16.870868347338728,15.139487179487105,0.162,0.35650441176470515,2637,2.006879379,158.9,6.853544583630821,23.99182785714285,46.656000000000006,44.75596548573981
1975,18.51260504201673,16.023931623931503,0.22399999999999998,0.36046323529411683,2607,1.258691634,161.5,7.10172321101544,24.052681071428566,47.093999999999994,45.67683757798591
1976,20.154341736694732,16.9083760683759,0.127,0.3644220588235285,2461,1.613836781971976,163.9,7.349901838400058,24.11353428571428,47.516999999999996,46.59770967023178
1977,21.79607843137228,17.792820512820526,0.106,0.3683808823529402,2455,2.3640003590000003,166.1,7.598080465784676,24.174387499999995,47.926,47.51858176247788
1978,23.437815126050282,18.677264957264924,0.124,0.37233970588235277,2328,1.6689530525278826,168.2,7.846259093169294,24.23524071428571,48.317,48.43945385472375
1979,25.079551820728284,19.561709401709322,0.133,0.37629852941176445,2488,9.85465029,170.3,8.094437720553913,24.296093928571423,48.683,49.36032594696985
1980,26.721288515406286,20.44615384615372,0.18600000000000003,0.38025735294117613,2439,0.8057708179999999,172.6,8.342616347938531,24.356947142857138,49.005,44.9
1981,28.363025210083833,21.330598290598118,0.115,0.3842161764705878,2166,1.751627458361753,175.0,8.59079497532315,24.417800357142852,49.26,46.7462
1982,15.0,22.215042735042744,0.109,0.3881749999999995,2067,1.7791855936397099,177.2,8.83897360270771,24.478653571428566,49.442,48.5923
1983,23.0,23.09948717948714,0.068,0.3921338235294112,2025,0.902106319,178.7,9.087152230092329,24.53950678571428,49.56,50.4385
1984,19.0,23.98393162393154,0.08900000000000001,0.39609264705882286,1895,1.704678841,179.1,9.335330857476947,24.600359999999995,49.63399999999999,52.2846
1985,23.0,24.868376068375937,0.105,0.40005147058823454,1882,1.155877164,178.2,9.583509484861565,24.66121321428571,49.693999999999996,54.1308
1986,30.0,25.752820512820335,0.11,0.4040102941176462,1841,1.9591057680000001,175.9,9.831688112246184,24.722066428571424,49.781000000000006,55.9769
1987,35.0,26.63726495726496,0.121,0.4079691176470579,1826,1.1780855190000001,172.3,10.079866739630802,24.782919642857138,49.931999999999995,57.8231
1988,42.0,27.52170940170936,0.11800000000000001,0.4119279411764696,1801,3.40341701,167.8,10.32804536701542,24.843772857142852,50.176,59.6692
1989,45.0,28.406153846153757,0.083,0.41588676470588215,1818,4.078892777,162.7,10.576223994400038,24.904626071428567,50.53,61.5154
1990,46.0,30,0.08199999999999999,0.41984558823529383,1832,3.1300294280000003,157.3,10.55247784,24.96547928571428,51.003,63.3615
1991,53.0,30,0.086,0.4238044117647055,1666,2.027208811141314,152.2,10.87441254,25.026332499999995,51.595,65.2077
1992,65.0,31,0.081,0.4277632352941172,1635,1.186152287,147.3,9.2,25.08718571428571,52.278,67.0538
1993,66.0,32,0.081,0.4317220588235289,1620,2.096559819,142.4,11.51467609,25.148038928571424,53.022,68.9
1994,66.0,33,0.09699999999999999,0.43568088235294056,1571,2.1098832169751844,137.8,11.82804298,25.208892142857138,53.808,68.025
1995,57.0,34,0.094,0.43963970588235224,1550,1.712213176,132.9,12.1332922,25.269745357142853,54.61600000000001,67.15
1996,49.0,35,0.098,0.4435985294117639,1536,2.148915048,127.8,12.42771816,25.330598571428567,55.43,66.275
1997,49.0,36,0.115,0.4475573529411756,1545,3.6934926060000004,122.5,10.9,25.39145178571428,56.239,65.4
1998,52.0,36,0.11699999999999999,0.4515161764705873,1558,3.932336443,117.1,12.97327805,25.452304999999996,57.028,64.65
1999,55.0,37,0.126,0.45547499999999985,1583,4.6591157,111.8,13.22010136,25.51315821428571,57.782,63.9
2000,57.0,38,0.11900000000000001,0.456,1607,4.760065099,106.5,13.45188141,25.574011428571424,58.485,66.3
2001,60.0,39,0.107,0.4608,1655,6.017824403,101.6,14.8,25.634870000000003,59.129,68.7
2002,62.0,40,0.073,0.4656,1408,2.330348299198839,97.0,13.885912900000001,25.6957,59.717,69.525
2003,66.0,40,0.098,0.4704,1503,9.784892131,92.5,14.09595966,25.7566,60.256,70.35
2004,78.0,41,0.102,0.4752,1537,5.257003603999999,88.4,20.3,25.8174,60.751999999999995,71.175
2005,85.0,42,0.095,0.48,1565,4.602899965,84.4,14.52161312,25.8783,61.211999999999996,72.0
2006,85.0,43,0.08900000000000001,0.4848,1603,5.022607002,80.7,14.745016099999999,25.9391,61.65,73.3
2007,84.0,44,0.09300000000000001,0.4896,1647,6.240578451,77.3,14.97972679,26.0,62.07899999999999,74.6
2008,77.0,45,0.095,0.4944,1716,7.128513539,74.1,15.22493649,26.06083714285714,62.50899999999999,75.9
2009,77.0,46,0.086,0.4992,1602,2.5232552461445295,71.1,17.4,26.121690357142853,62.943999999999996,77.2
2010,70.0,47,0.09300000000000001,0.504,1563,0.263110856,68.5,15.73985481,26.182543571428567,63.388000000000005,78.5
2011,73.0,48,0.10800000000000001,0.506,1543,1.454392168,66.0,14.3,26.243396785714282,63.836000000000006,78.15
2012,70.0,49,0.121,0.508,1548,3.0275080919999997,63.7,16.27577209,26.304249999999996,64.28,77.8
2013,74.0,50,0.135,0.509,1541,2.25520404,61.7,12.9,26.36510321428571,64.71300000000001,80.66997708333338
2014,73.0,51,0.13,0.511,1551,3.3158541489999998,59.8,16.81898117,26.425956428571425,65.133,81.59084917557948
2015,69.0,52,0.125,0.512,1558,3.054156022,57.9,17.028868306400057,26.48680964285714,65.539,82.51172126782535
2016,77.0,52.286153846153866,0.121,0.5227749999999993,1582,4.2,56.0,17.277046933784675,26.547662857142853,65.931,83.43259336007145
2017,87.46554621848736,53.170598290598264,0.10356453634085216,0.526733823529411,1609,2.743720328368177,54.1,17.525225561169293,26.608516071428568,66.311,84.35346545231732
2018,89.10728291316536,54.05504273504266,0.10327305332296266,0.5306926470588227,1651,2.7712784636461336,52.3,17.77340418855391,26.669369285714282,66.681,85.27433754456342
2019,90.74901960784291,54.93948717948706,0.10298157030507304,0.5346514705882344,1695,2.7988365989240904,50.6,18.02158281593853,26.730222499999996,66.86188486265348,86.1952096368093
2020,92.39075630252091,55.82393162393146,0.10269008728718354,0.538610294117646,1255.9802259887,2.8263947342020472,54.22081447963865,18.26976144332309,26.79107571428571,67.32581548801875,87.1160817290554
