year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1990,89,96,0.9315476190476204,4.558,0.711,22170,4.64,3.950523301,14.7,100,73.96585366,-0.1963636363636425
1991,96,96,0.9547619047619023,4.711,0.7181,22969,4.698,4.368206462,13.6,100,74.01463415,-0.1654545454545513
1992,94,97,0.9779761904761912,5.118,0.7252,23707,4.756,1.089476471,12.5,100,74.31219512,-0.13454545454546007
1993,93,97,1.001190476190473,4.956,0.7323,23515,4.814,2.6523535286302717,11.4,100,74.51219512,-0.10363636363636886
1994,97,97,1.024404761904762,5.005,0.7394,23801,4.872,0.96483825,10.5,100,74.91463415,-0.07272727272727764
1995,93,97,1.047619047619044,5.372999999999999,0.7465,24266,4.93,4.282780345,9.7,100,75.31219512,-0.04181818181818642
1996,95,97,1.0,5.085,0.7536,25020,4.994,3.4966844310000003,9.1,100,75.26097561,-0.010909090909095198
1997,94,97,1.1,5.357,0.7607,26011,5.058,4.426210348,8.6,100,75.41219512,0.01999999999999602
1998,97,98,1.2,5.773,0.7678,27120,5.122000000000001,4.791771472,8.2,100,75.71219512,0.05090909090908724
1999,97,98,1.1,6.4879999999999995,0.7749,28016,5.186,3.888213351,7.7,100,75.96341463,0.08181818181817846
2000,96,98,1.1,6.343,0.782,28874,5.25,3.7874940219999997,7.2,100,76.31463415,0.11272727272726968
2001,97,98,1.0,6.285,0.7856,29228,5.274,1.9433040380000002,6.6,100,76.81463415,0.1436363636363609
2002,98,98,1.1,6.626,0.7892,29292,5.297999999999999,0.768797435,6.1,100,77.06585366,0.17454545454545212
2003,99,99,1.4,6.11,0.7928,28909,5.322,1.339757951022989,5.5,100,77.2195122,0.20545454545454334
2004,95,99,1.4,6.351,0.7964,29363,5.346,1.8115824530000002,5.0,100,77.67073171,0.5
2005,93,99,1.3,6.544,0.8,29533,5.37,0.766785017,4.6,100,78.07073171,0.5
2006,97,99,1.5,6.077999999999999,0.8036,29938,5.414,1.553053265,4.4,100,78.4195122,0.1
2007,97,99,1.7,5.827000000000001,0.8072,30623,5.457999999999999,2.492001896,4.2,100,78.32195122,0.3
2008,97,99,1.2,5.598,0.8108,30640,5.502000000000001,0.199272251,4.0,100,78.52439024,0.1
2009,96,100,1.2,5.327999999999999,0.8144,29699,5.546,0.5522006044586192,3.9,100,78.72682927,0.2
2010,98,100,1.2,4.94,0.818,30249,5.59,1.898691753,3.8,100,79.02682927,0.1
2011,97,100,1.4190476190476176,4.843999999999999,0.8240000000000001,29741,5.6339999999999995,0.28968148893710577,3.7,100,80.47073171,0.5
2012,98,100,1.4422619047619065,4.6930000000000005,0.8270000000000001,28658,5.678,0.1584219311764059,3.7,100,80.37317073,0.7
2013,98,100,1.4654761904761884,4.547,0.8370000000000001,28491,5.722,0.0271623734156492,3.6,100,80.72195122,0.8
2014,98,100,1.4886904761904773,4.559,0.841,28900,5.766,0.893093762,3.6,100,81.12195122,0.5
2015,98,100,1.5119047619047592,4.993,0.843,29549,5.81,1.594439277,3.6,100.0,81.12439024,0.5763636363636309
2016,98,100.66461538461542,1.5351190476190482,4.902,0.8530153846153858,30213,5.82,1.398561546,3.6,100.0,81.12439024,0.6072727272727221
2017,103.77027027027043,100.8335042735043,1.55833333333333,6.565372180451135,0.8580777777777779,31134,5.83,-0.49787585762726394,3.6,100.0,81.42439024,0.6381818181818133
2018,104.4196301564723,101.00239316239319,1.581547619047619,6.663163598651806,0.8631401709401718,31900,5.84,-0.6291354153879638,3.7,100.0,81.32439024,0.6690909090909045
2019,105.06899004267439,101.17128205128208,1.6047619047619008,6.760955016852478,0.8682025641025657,32504,5.85,-0.7603949731487205,3.7,100.0,82.50930090829343,0.6999999999999957
2020,105.71834992887625,101.34017094017096,1.6279761904761898,6.858746435053149,0.8732649572649578,34992.254802259966,5.86,-0.8916545309094204,-20.366892655367337,100.0,82.82003778160379,0.730909090909087
