year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1979,80.09395109395109,96.0,1.8419999999999999,0.6151147058823536,15.79434062,33.8,84.88751185266926,68.64370165626178
1980,80.78571428571422,96.0,1.508,0.6195514705882346,5.189133200844026,30.5,85.30808518989238,69.59756098
1981,13.0,96.0,1.486,0.6239882352941173,5.135826759608179,27.6,85.72865852711539,70.18780488
1982,55.0,96.0,1.1740000000000002,0.628425,5.0825203183723175,25.3,86.1492318643385,69.32439024
1983,97.0,96.0,1.4509999999999998,0.6328617647058827,5.0292138771364705,23.3,86.56980520156162,70.38292683
1984,95.0,96.0,1.44,0.6372985294117655,4.511132341000001,21.7,86.99037853878463,69.55365854
1985,86.0,96.0,2.148,0.6417352941176464,11.12573758,20.4,87.41095187600774,69.69756098
1986,94.0,96.0,2.286,0.6461720588235291,4.869294553428915,19.3,87.83152521323075,68.65609756
1987,89.0,96.0,2.8569999999999998,0.6506088235294119,4.404107291,18.4,88.25209855045387,68.23658537
1988,94.0,96.0,2.858,0.6550455882352946,5.396746052999999,17.6,88.67267188767698,68.70243902
1989,97.0,96.0,3.279,0.6594823529411773,11.19882307,16.9,89.09324522489999,67.97073171
1990,99.0,96,2.124,0.6639191176470582,6.99554469,16.3,89.28579712,68.10731707
1991,98.0,96,2.378,0.668355882352941,2.7604260989999996,15.8,89.77406311,70.71219512
1992,96.0,96,2.338,0.6727926470588237,7.1614667370000005,15.3,90.26187134,71.21463415
1993,96.0,96,2.4290000000000003,0.6772294117647064,6.1966497679999994,14.9,90.74697876,69.46829268
1994,96.0,96,2.6489999999999996,0.6816661764705874,4.44284302354211,14.6,90.0,70.72926829
1995,97.0,96,2.6069999999999998,0.6861029411764701,4.389536582306263,14.3,91.69825745,72.48292683
1996,99.0,96,2.9610000000000003,0.6905397058823528,4.917525348,14.1,92.15901184,71.56097561
1997,98.0,96,4.333,0.6949764705882355,11.96155598,14.0,92.0,71.21219512
1998,99.0,96,5.43,0.6994132352941183,8.403398525,13.9,93.03722382,71.74634146
1999,99.0,96,6.371,0.7038499999999992,1.8720065869999998,13.8,93.45037842,72.66829268
2000,98.0,96,7.024,0.7140000000000001,1.514338815,13.8,93.84848785,72.77804878
2001,96.0,96,7.63,0.7170000000000001,4.069697934891153,13.7,94.23545074,73.25365854
2002,99.0,96,6.412999999999999,0.72,1.212831267,13.7,96.1,71.08780488
2003,99.0,96,6.402,0.723,3.9630850524194585,13.7,94.99155426,71.02926829
2004,99.0,96,8.459,0.726,3.9097786111835973,13.7,95.36847687,72.66097561
2005,99.0,96,7.775,0.7290000000000001,9.005761428,13.7,95.74986267,72.13170732
2006,99.0,96,8.142000000000001,0.732,9.40612788,13.8,99.0,72.21707317
2007,99.0,96,7.0889999999999995,0.735,10.42143611,13.8,96.54063416,73.14390244
2008,99.0,96,7.609,0.738,3.696552846240195,13.9,96.95217133,73.16341463
2009,99.0,96,5.712000000000001,0.741,3.643246405004348,14.0,97.37245941,73.08292683
2010,99.0,96,4.814,0.7440000000000001,5.954962469,14.1,97.0,73.19756098
2011,99.0,96,3.702,0.755,7.887279597000001,14.2,98.23228455,72.72439024
2012,98.0,96,4.768,0.762,6.610243689,14.3,98.6683197,74.27560976
2013,98.0,96,4.312,0.7659999999999999,6.049822064,14.5,98.0,73.1195122
2014,99.0,96,5.254,0.7809999999999999,3.316985028,14.6,99.54418182,73.22926829
2015,97.0,96,5.334,0.782,3.4978138660000004,14.8,100.02815199270003,74.29512195
2016,96.0,96.0,5.492000000000001,0.7792750000000002,4.5,14.8,100.44872532992315,74.3097561
2017,106.38095238095252,96.0,6.996987421383608,0.7837117647058829,3.216794875117543,14.7,100.86929866714615,74.3
2018,107.07271557271565,96.0,7.135734438726843,0.7881485294117638,3.1634884338816818,14.5,101.28987200436927,72.84146341
2019,107.76447876447878,96.0,7.2744814560700775,0.7925852941176466,3.1101819926458347,14.2,101.71044534159228,74.3846910893792
2020,108.45624195624191,96.0,7.413228473413369,0.7970220588235293,3.0568755514099877,-10.50242937853136,102.1310186788154,74.52821582520716
