year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1970,-17.786314886315267,53.20170940170942,2.507142857142858,0.057999999999999996,0.22957606837606903,1358,1.04,5.619852292999999,76.65246273291928,222.8,-39.22539508865884,62.79919403636359,46.942,55.487739463601656
1971,-14.810381810381841,53.95999999999981,2.5142857142857142,0.054000000000000006,0.23747846153846375,1328,1.058,2.774357351918809,76.93341304347825,221.9,-36.87424561363605,61.47214679454555,46.589,54.65410509031199
1972,-11.834448734449325,54.71829059829042,2.5214285714285722,0.052000000000000005,0.2453808547008567,1192,1.0759999999999998,2.8531427533499993,77.21436335403723,221.1,-34.523096138613255,60.14509955272706,46.507,53.820470717022545
1973,-8.858515658515898,55.47658119658104,2.5285714285714302,0.066,0.2532832478632496,1097,1.094,3.325680199,77.49531366459632,220.0,-32.17194666358955,58.818052310909025,46.773,52.986836343732875
1974,-5.882582582582472,56.23487179487165,2.5357142857142865,0.067,0.26118564102564257,1138,1.112,9.591956300000001,77.7762639751553,218.6,-29.820797188566758,57.49100506909099,47.396,52.15320197044343
1975,-2.9066495066499556,56.993162393162265,2.5428571428571445,0.068,0.2690880341880355,1179,1.13,3.0894989576434853,78.05721428571428,216.6,-27.469647713543964,56.1639578272725,48.313,51.319567597153764
1976,0.06928356928347057,57.75145299145288,2.5500000000000007,0.076,0.27699042735042845,1172,1.234,5.661361201,78.33816459627326,213.9,-25.11849823852026,54.83691058545446,49.402,50.48593322386432
1977,3.0452166452159872,58.50974358974349,2.5571428571428587,0.078,0.2848928205128214,1166,1.338,2.67305605,78.61911490683235,210.7,-22.767348763497466,53.509863343636425,50.498000000000005,49.65229885057465
1978,6.021149721149413,59.26803418803411,2.564285714285715,0.078,0.2927952136752143,1178,1.442,7.0738377329999995,78.90006521739133,207.0,-20.416199288474672,52.18281610181839,51.473,48.81866447728521
1979,8.99708279708284,60.02632478632472,2.571428571428573,0.084,0.30069760683760904,1212,1.546,4.801634601,79.18101552795031,202.9,-18.06504981345097,50.8557688599999,52.277,47.98503010399554
