year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1982,78.87408357771267,95.74324786324792,1.9069999999999998,0.5175100854700876,12949,2.346,6.400004116,118.9,90.96795069230768,60.813,8.974568260869546
1983,79.38764662756603,95.3917948717949,2.477,0.5247112820512836,13193,2.5140000000000002,5.400003024,102.6,91.27502164219231,62.028999999999996,8.69530721739136
1984,79.90120967741939,95.04034188034188,3.245,0.5319124786324796,13493,2.682,5.59999653,87.3,91.58209259207695,63.13,8.41604617391306
1985,69.0,94.68888888888887,3.2230000000000003,0.5391136752136774,13765,2.85,3.699997255,74.6,91.88916354196158,64.087,8.13678513043476
1986,73.0,94.33743589743597,3.279,0.5463148717948734,13244,2.932,0.40000100299999997,65.2,92.1962344918461,64.884,7.857524086956573
1987,79.0,93.98598290598295,3.514,0.5535160683760694,12805,3.014,3.8974749994863203,58.6,92.50330544173073,65.545,7.578263043478273
1988,85.0,93.63452991452994,3.411,0.5607172649572671,12208,3.096,3.859913769828765,54.2,92.81037639161536,66.097,6.5
1989,87.0,93.28307692307692,3.167,0.5679184615384631,12303,3.178,4.40000216,51.3,93.1174473415,66.554,6.4143
1990,89.0,92,2.968,0.5770000000000001,11822,3.26,0.80000058,49.5,92.99005127,66.938,6.3286
1991,89.0,92,2.9739999999999998,0.5837,11393,3.35,3.7472300808560988,48.1,93.39325714,67.27,6.2429
1992,88.0,92,2.946,0.5904,11284,3.44,1.800002301,47.0,93.79601288,67.575,6.1571
1993,88.0,92,2.9560000000000004,0.5971,10777,3.53,3.6721076215410022,45.9,94.19605255,67.877,6.0714
1994,87.0,92,3.045,0.6038,10448,3.62,3.634546391883447,44.8,94.59069061,68.194,5.9857
1995,88.0,91,3.2939999999999996,0.6105,10634,3.71,3.79999479,43.6,94.977211,68.54,5.9
1996,88.0,91,3.299,0.6172,10841,3.77,4.09999847,42.5,95.35290527,68.919,5.5625
1997,89.0,91,2.92,0.6239,10781,3.83,1.099999938,41.6,95.715065,69.32300000000001,5.225
1998,85.0,90,3.5239999999999996,0.6306,11159,3.89,5.100003611,40.8,96.06099701,69.745,4.8875
1999,83.0,90,2.989,0.6373,11350,3.95,3.200001551,40.3,96.38908386,70.183,4.55
2000,86.0,90,2.815,0.644,11614,4.01,3.8196784960000003,39.7,96.70213318,70.64,4.2125
2001,89.0,89,2.6639999999999997,0.652,11794,4.062,3.008395466,38.9,97.00404358,71.116,3.875
2002,86.0,89,2.8080000000000003,0.66,12278,4.114,5.60932319,37.8,97.29869843,71.605,3.5375
2003,87.0,89,2.824,0.6679999999999999,12976,4.166,7.201872244,36.5,97.59001923,72.101,3.2
2004,86.0,88,2.694,0.6759999999999999,13335,4.218,4.301624264,35.1,97.88188934,72.594,2.8625
2005,88.0,88,3.22,0.684,13922,4.27,5.9077912679999995,33.6,98.18426514,73.072,2.525
2006,95.0,87,2.99,0.6920000000000001,13943,4.306,1.684488319,32.1,98.49073792,73.521,2.1875
2007,95.0,87,3.187,0.7,14167,4.342,3.372875154,30.8,98.80651855,73.936,1.85
2008,93.0,87,3.159,0.708,14243,4.378,2.360134861,29.5,99.3,74.311,1.5125
2009,95.0,86,3.42,0.716,14209,4.414,1.6322438380000002,28.4,99.44389343,74.64399999999999,1.175
2010,95.0,86,3.2969999999999997,0.7240000000000001,14444,4.45,3.634145353,27.4,99.71117401,74.938,0.8375
2011,95.0,85,3.2889999999999997,0.732,14566,4.872541176470577,2.891865995,26.7,99.88954163,75.199,0.5
2012,95.0,85,3.457,0.737,14773,4.958430769230745,3.374768651,26.2,99.9730835,75.436,0.596736956521795
2013,95.0,85,3.505,0.741,14899,5.044320361990941,2.767638867,25.8,99.99691772,75.661,0.317475913043495
2014,95.0,84,3.714,0.743,15176,5.130209954751109,3.789121212,25.5,100.0,75.878,0.03821486956519493
2015,95.0,84,3.87,0.745,15447,5.2160995475113054,3.763466958,25.2,101.10129203849999,76.09,-0.24104617391299143
2016,91.0,83.79384615384618,3.787,0.7623507692307712,15656,5.301989140271473,3.7,24.8,101.40836298838462,76.298,-0.5203072173912915
2017,96.84879032258073,83.44239316239316,4.0549373433583895,0.7695519658119672,15602,5.38787873303167,2.77063810975973,24.3,101.71543393826926,76.499,-0.7995682608695915
2018,97.36235337243397,83.09094017094026,4.108696223316912,0.7767531623931632,15660,5.473768325791838,2.7330768801021748,23.8,102.02250488815389,76.693,-1.078829304347778
2019,97.87591642228745,82.73948717948724,4.162455103275434,0.7839543589743609,15905,5.559657918552034,2.6955156504446194,23.3,102.32957583803841,80.9509456458211,-1.358090347826078
2020,98.38947947214069,82.38803418803423,4.216213983233942,0.7911555555555569,15732.282485875738,5.645547511312202,2.657954420787064,-35.974237288135555,102.63664678792304,81.53807095265915,-1.637351391304378
