year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1986,74.0,29.2235897435894,0.626,0.5248287179487179,3.984,12.26447829,80.7,-17.6823136909843,8.259999999999991,60.46,91.72967205882287
1987,86.0,30.881367521367338,0.574,0.5248694017094017,3.988,14.60658995,76.3,-14.8248575091975,8.470000000000027,61.081,89.27513676470517
1988,89.0,32.53914529914482,0.55,0.5249100854700854,3.992,6.569821649,72.5,-11.967401327410698,8.680000000000007,61.571999999999996,86.82060147058746
1989,89.0,34.19692307692276,0.528,0.5249507692307691,3.9960000000000004,12.91110386,69.4,-9.109945145623897,8.890000000000043,61.885,84.36606617646976
1990,89.0,39,0.499,0.5479999999999999,4.0,21.01800049,67.4,-6.252488963837095,9.100000000000023,61.95,81.91153088235205
1991,79.0,39,0.373,0.5438,3.984,1.760376454,67.0,0.19880205399999998,9.310000000000002,61.7,79.45699558823435
1992,93.0,39,0.287,0.5396,3.968,3.226207004,68.5,0.830069423,9.520000000000039,61.111999999999995,77.00246029411664
1993,89.0,39,0.141,0.5354,3.952,3.106114082,72.2,1.309238076,9.730000000000018,60.192,74.54792499999985
1994,96.0,41,0.51,0.5312,3.9360000000000004,2.400691123,77.4,4.297903538,9.939999999999998,58.958,81.7
1995,82.0,43,0.46799999999999997,0.527,3.92,4.8256513839999995,83.7,7.278451443,10.150000000000034,57.422,76.15
1996,82.0,45,0.34600000000000003,0.5228,3.8560000000000003,3.842053869,89.6,10.24817657,10.360000000000014,55.606,70.6
1997,82.0,47,1.195,0.5186,3.792,3.1028053910000004,95.4,13.20437241,10.569999999999993,53.595,65.05
1998,83.0,48,1.179,0.5144,3.728,2.604039376,100.6,16.14433289,10.78000000000003,51.498000000000005,59.5
1999,83.0,50,1.186,0.5102,3.6639999999999997,2.950875074,105.3,19.06645393,10.990000000000009,49.424,53.95
2000,84.0,52,1.121,0.506,3.6,1.760173966,109.7,21.97353363,11.2,47.49,48.4
2001,84.0,54,1.063,0.508,3.612,1.054764931,112.8,26.9,11.41,45.799,47.6889
2002,85.0,56,1.036,0.51,3.6239999999999997,4.38009899,114.6,27.75816154,11.62,44.41,46.9778
2003,85.0,57,0.956,0.512,3.636,3.8802136160000003,116.0,30.64350891,11.83,43.372,46.2667
2004,86.0,59,0.941,0.514,3.648,3.623914301,116.7,33.5294075,12.04,42.731,45.5556
2005,86.0,61,0.922,0.516,3.66,5.998776347000001,116.7,36.41975784,12.25,42.518,44.8444
2006,87.0,63,0.9009999999999999,0.518,3.7460000000000004,5.992166753999999,108.8,35.2,12.46,42.733000000000004,44.1333
2007,87.0,65,0.9309999999999999,0.52,3.832,4.435375791,104.9,42.22846985,12.67,43.308,43.4222
2008,88.0,67,0.9490000000000001,0.522,3.918,0.821663887,103.0,45.14897919,12.88,44.17,42.7111
2009,88.0,69,0.8809999999999999,0.524,4.004,1.5650489369999998,96.7,48.07823563,13.09,45.275,42.0
2010,89.0,70,0.865,0.526,4.09,3.7937546980000003,86.6,51.01449203,13.3,46.601000000000006,32.820824999999786
2011,91.0,72,0.857,0.534,4.445498039215693,2.247230019,77.0,53.95600128,13.510000000000048,48.141000000000005,30.36628970588208
2012,95.0,74,0.9690000000000001,0.539,4.489155957767721,4.735783817,71.0,56.90100861,13.720000000000027,49.861999999999995,27.911754411764377
2013,98.0,74,0.857,0.541,4.532813876319764,6.8570771420000005,68.0,59.84776306,13.930000000000007,51.699,25.457219117646673
2014,98.0,74,0.927,0.541,4.576471794871793,4.246115263,66.9,65.0,14.140000000000043,53.568999999999996,23.00268382352897
2015,90.0,74,0.902,0.541,4.620129713423836,1.464046363,59.2,65.18391558083658,14.350000000000023,55.358999999999995,20.548148529411264
2016,90.0,78.95692307692252,0.871,0.5260492307692308,4.663787631975865,2.3440028493645286,58.9,68.0413717626243,14.560000000000002,56.961999999999996,18.09361323529356
2017,100.79841269841268,80.61470085470046,1.0094047619047615,0.5260899145299145,4.707445550527908,2.2159020341014752,62.3,70.8988279444111,14.770000000000039,58.318999999999996,15.639077941175856
2018,101.84757614757632,82.2724786324784,1.0210260997320901,0.5261305982905983,4.751103469079936,2.0878012188384787,55.3,73.7562841261979,14.980000000000018,59.401,13.184542647058151
2019,102.89673959673951,83.93025641025588,1.0326474375594152,0.526171282051282,4.794761387631979,1.9597004035754253,49.4,76.6137403079847,15.189999999999998,53.26748801870252,10.730007352940447
2020,103.94590304590315,85.58803418803382,1.044268775386744,0.5262119658119658,4.838419306184008,1.8315995883124288,48.89395480225903,79.4711964897715,15.400000000000034,53.318831969608425,8.275472058822743
