year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1983,86,100.0,1.7054761904761904,9.792,0.767553333333332,31512,4.938,2.596061212,9.5,100.0,74.4204878,0.39727272727272833
1984,86,100.0,1.6690476190476176,9.933,0.7728454700854694,32842,5.004,4.166151262,9.6,100.0,74.56219512,0.3909090909090924
1985,90,100.0,1.6326190476190447,11.735999999999999,0.7781376068376051,34143,5.07,4.003685575,9.6,100.0,74.42756098,0.38454545454545475
1986,89,100.0,1.596190476190472,11.505999999999998,0.7834297435897426,35770,5.146,4.904252686,9.7,100.0,74.5797561,0.37818181818181884
1987,88,100.0,1.5597619047618991,11.390999999999998,0.7887218803418801,35815,5.222,0.254226112,9.7,100.0,74.69121951,0.37181818181818294
1988,87,100.0,1.5233333333333263,10.749,0.7940140170940158,35793,5.297999999999999,2.3611872217303755,9.6,100.0,74.77170732,0.36545454545454525
1989,89,100.0,1.4869047619047535,9.502,0.7993061538461532,36002,5.374,0.645214979,9.4,100.0,74.7997561,0.35909090909090935
1990,90,100,1.4504761904761807,10.546,0.799,36474,5.45,1.475244726,9.0,100,74.80536585,0.35272727272727344
1991,90,100,1.414047619047608,12.574000000000002,0.8053,36886,5.492000000000001,1.393656029,8.4,100,75.15780488,0.34636363636363754
1992,91,100,1.3776190476190493,11.408,0.8116,37484,5.534,1.957011566,7.9,100,75.19414634,0.33999999999999986
1993,88,100,1.3411904761904765,11.788,0.8179,37363,5.5760000000000005,0.010659428,7.3,100,75.11682927,0.33363636363636395
1994,89,100,1.3047619047619037,12.511,0.8242,39223,5.617999999999999,5.332448645,6.9,100,75.37512195,0.32727272727272805
1995,90,100,1.1,11.877,0.8305,40201,5.66,3.027634073,6.5,100,75.21268293,0.32090909090909214
1996,77,100,1.3,14.36,0.8368,41133,5.682,2.900068335,6.2,100,75.59146341,0.31454545454545446
1997,92,100,1.7,12.519,0.8431,42298,5.704,3.2608797939999996,6.0,100,75.94512195,0.30818181818181856
1998,99,100,0.9,11.661,0.8494,43080,5.726,2.218161888,5.9,100,76.13902439,0.30181818181818265
1999,99,100,1.0,11.13,0.8557,44203,5.747999999999999,2.948007099,5.8,100,76.34146341,0.29545454545454675
2000,97,100,1.1,10.29,0.862,45706,5.77,3.746900212,5.7,100,76.59268293,0.28909090909090907
2001,97,100,1.0,10.543,0.8668,45918,5.792000000000001,0.8231493000000001,5.6,100,76.79268293,0.28272727272727316
2002,98,100,1.0,10.445,0.8716,45985,5.814,0.466344928,5.5,100,76.89512195,0.27636363636363726
2003,96,100,1.2,11.376,0.8764,46039,5.836,0.390073865,5.4,100,77.14390244,0.27000000000000135
2004,95,100,0.8,10.317,0.8812,47145,5.858,2.6681934590000003,5.2,100,77.49268293,0.3
2005,93,100,1.0,9.622,0.8859999999999999,48114,5.88,2.336664491,5.0,100,77.84390244,0.3
2006,93,100,0.5,11.037,0.8908,49833,5.912000000000001,3.912980152,4.8,100,78.09512195,0.2
2007,87,100,0.7,10.11,0.8956,50063,5.944,0.909252996,4.5,100,78.19512195,0.15
2008,88,100,1.0,9.437000000000001,0.9004,49515,5.976,1.0773043389436339,4.4,100,78.44634146,0.1
2009,89,100,0.9,8.941,0.9052,46834,6.007999999999999,1.013110194804284,4.2,100,78.59756098,0.5
2010,90,100,0.721904761904753,8.974,0.91,47499,6.04,1.870992639,4.1,100,79.1,0.2
2011,91,100,0.6854761904761801,8.041,0.922,47936,5.994,1.336774667,4.1,100,79.8,0.2
2012,94,100,0.6490476190476215,7.17,0.924,47864,5.9479999999999995,0.226468476,4.1,100,80.05121951,0.2
2013,94,100,0.6126190476190487,7.483,0.9259999999999999,48110,5.902,0.933349282,4.1,100,80.3,0.2
2014,94,100,0.5761904761904759,6.704,0.9229999999999999,48642,5.856,1.67593432,4.1,100,80.7,0.2
2015,93,100,0.5397619047619031,6.27,0.925,49431,5.81,1.606086132,4.1,100.0,80.70243902,0.19363636363636516
2016,94,100.0,0.5033333333333303,6.5360000000000005,0.9421938461538453,50224,5.808,1.287563494,4.1,100.0,80.85365854,0.18727272727272748
2017,94.47747747747746,100.0,0.4669047619047575,9.696124060150375,0.9474859829059827,51031,5.806,0.4995570416895987,4.0,100.0,81.10243902,0.18090909090909157
2018,94.66192508297769,100.0,0.4304761904761847,9.673155561317081,0.9527781196581184,51362,5.803999999999999,0.4353628975502488,3.9,100.0,80.95365854,0.17454545454545567
2019,94.84637268847797,100.0,0.3940476190476119,9.650187062483788,0.9580702564102559,51875,5.8020000000000005,0.37116875341092737,3.8,100.0,80.03491653727644,0.168181818181818
2020,95.0308202939782,100.0,0.35761904761903907,9.627218563650501,0.9633623931623916,54784.08192090411,5.8,0.3069746092715775,0.09881355932202496,100.0,80.18053212367153,0.16181818181818208
