year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1993,89,98,1.5807352941176518,7.968999999999999,0.7723,23719,5.566,2.06462539200993,9.1,100,77.3902439,-0.9327272727273055
1994,90,98,1.552500000000002,8.085,0.7764,24073,5.568,2.0000000069999997,8.8,100,77.63902439,-0.8227272727272918
1995,90,98,1.4,8.059,0.7805,24464,5.57,2.099719767,8.5,100,77.58536585,-0.7127272727273066
1996,90,98,1.6,8.189,0.7846,25053,5.59,2.862128846,8.1,100,77.68536585,-0.602727272727293
1997,90,99,1.9,8.558,0.7887,26048,5.61,4.484199148,7.7,100,78.13658537,-0.49272727272730776
1998,89,99,1.6,8.941,0.7928,26913,5.63,3.894904772,7.3,100,77.83902439,-0.3827272727272941
1999,88,99,1.4,8.831,0.7969,27634,5.65,3.0725966639999998,6.9,100,77.98780488,-0.2727272727273089
2000,89,99,1.4,9.242,0.8009999999999999,28599,5.67,3.9197707719999997,6.4,100,77.88780488,-0.16272727272729526
2001,91,99,1.3,9.421,0.8069,29627,5.722,4.131612076000001,6.0,100,78.38780488,-0.05272727272731004
2002,92,99,1.0,9.362,0.8128,30676,5.774,3.9228718419999997,5.6,100,78.64146341,0.057272727272703605
2003,94,99,1.1,9.702,0.8187,32376,5.8260000000000005,5.794531264,5.2,100,78.84146341,0.16727272727271725
2004,95,99,1.0,9.718,0.8246,33931,5.877999999999999,5.060992565,4.9,100,79.03902439,0.6
2005,96,99,1.2,10.081,0.8305,34034,5.93,0.599142055,4.6,100,79.23902439,0.3
2006,98,100,1.0,9.918,0.8364,35850,5.932,5.65243372,4.3,100,79.43902439,0.6
2007,99,100,1.1,10.068,0.8423,36930,5.934,3.273746857,4.1,100,79.43902439,0.5
2008,99,100,1.2,9.73,0.8482,36708,5.936,-0.426105814147661,4.0,100,79.93902439,0.3
2009,99,100,1.3,9.118,0.8541,35037,5.938,-0.5921545612248451,3.9,100,80.18780488,0.6
2010,99,100,1.5,8.504,0.86,33075,5.94,-0.7582033083019724,3.9,100,80.38780488,1.0
2011,99,100,1.0725000000000051,8.276,0.858,30099,5.942,-0.9242520553791564,3.9,100,80.73170732,1.2
2012,99,100,1.0442647058823553,8.035,0.86,28053,5.944,-1.0903008024563405,4.0,100,80.63414634,1.5
2013,99,100,1.0160294117647055,7.218,0.862,27341,5.946000000000001,-1.2563495495335246,4.2,100,81.28536585,1.0
2014,99,100,0.9877941176470628,6.983,0.865,27727,5.9479999999999995,0.352849233,4.3,100,81.38536585,1.5
2015,99,100,0.959558823529413,6.682,0.866,27789,5.95,-1.588447043687836,4.4,100.0,81.03658537,1.4872727272727104
2016,99,100.46769230769229,0.9313235294117703,6.614,0.8796830769230759,27851,5.952000000000001,0.011752058999999999,4.4,100.0,81.38780488,1.5972727272726956
2017,104.62612612612611,100.56786324786324,0.9030882352941205,10.45650689223055,0.8843576068376073,28326,5.954,-1.9205445378422041,4.3,100.0,81.28780488,1.7072727272727093
2018,105.5324798482693,100.66803418803417,0.8748529411764707,10.604025883674694,0.889032136752137,29030,5.956,-2.0865932849193314,4.0,100.0,81.78780488,1.8172727272726945
2019,106.4388335704125,100.76820512820512,0.846617647058828,10.751544875118839,0.8937066666666666,29697,5.957999999999999,-2.2526420319965155,3.8,100.0,82.6966900544769,1.9272727272727082
2020,107.34518729255569,100.86837606837605,0.8183823529411782,10.899063866562926,0.8983811965811963,35341.15480225999,5.96,-2.4186907790736996,-5.335875706214665,100.0,82.93195621461484,2.0372727272726934
