year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2002,88.0,68,0.062,0.3584,13.18627451,152.2,6.501458645,26.7,50.986999999999995,73.4
2003,96.0,68,0.06,0.3716,2.208748376,137.5,7.103787898999999,23.5,52.178000000000004,71.6
2004,89.0,69,0.06,0.3848,7.415254237,122.7,7.706669807000001,20.3,53.595,69.8
2005,95.0,70,0.059000000000000004,0.39799999999999996,9.388560157999999,109.3,4.8,17.1,55.254,68.0
2006,99.0,70,0.057999999999999996,0.4112,9.231878832,97.6,8.929688453999999,13.9,57.083,66.46
2007,97.0,71,0.059000000000000004,0.4244,7.692307692000001,87.5,9.556680679,10.7,58.915,64.92
2008,97.0,72,0.055999999999999994,0.4376,11.15879828,78.5,6.0,7.5,60.611999999999995,63.38
2009,97.0,72,0.057999999999999996,0.4508,6.287920574,70.7,10.84041309,13.3,62.129,61.84
2010,97.0,73,0.057999999999999996,0.46399999999999997,7.291126103,63.7,9.7,19.1,63.433,60.3
2011,97.0,74,0.063,0.475,7.787182587999999,57.1,10.8,5.0008349999999995,64.523,60.3333
2012,98.0,74,0.069,0.485,8.840026924,52.0,12.81413364,5.3006,65.438,60.3667
2013,98.0,75,0.07200000000000001,0.488,4.700061843,47.6,15.2,5.6003,66.219,60.4
2014,98.0,76,0.07400000000000001,0.493,7.619610159,44.3,19.8,5.9,66.884,65.95792666666671
2015,98.0,76,0.07200000000000001,0.498,8.873033297000001,41.5,14.650544902644924,0.5136815714281511,67.45,65.82241569892477
2016,98.0,77.27692307692314,0.073,0.5198707692307671,5.931776172,39.2,15.279678954513201,-1.3962893571433597,67.93,65.68690473118284
2017,107.59999999999945,77.98119658119663,0.08622556390977443,0.5308782905982881,7.699097574924679,37.5,15.908813006381479,-3.3062602857148704,68.34100000000001,65.5513937634409
2018,109.00180180180132,78.68547008547012,0.08713715322789728,0.541885811965809,7.805886921854977,35.9,16.537947058249756,-5.216231214285926,68.7,65.41588279569896
2019,110.40360360360319,79.3897435897436,0.08804874254602035,0.5528933333333299,7.9126762687853045,34.3,17.167081110118033,-7.126202142857437,59.31100759789592,65.28037182795703
2020,111.80540540540505,80.09401709401709,0.0889603318641432,0.5639008547008544,8.019465615715632,64.16785310734485,17.79621516198631,-9.036173071428948,59.669394856808935,65.14486086021509
