year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
2010,86,99,11.3,5.294,0.78,18121,5.86,0.264912761,15.0,100.0,78.36399999999999
2011,91,99,10.150000000000006,5.452999999999999,0.785,17911,6.022650980392157,0.756195335,14.9,100.0,78.456
2012,87,99,10.274725274725284,5.22,0.792,17835,6.044728808446457,0.298399494,14.7,100.0,78.547
2013,91,100,10.399450549450563,5.132999999999999,0.7929999999999999,17531,6.0668066365007505,1.1989144542371513,14.5,100.0,78.633
2014,94,100,10.524175824175842,4.482,0.794,17443,6.088884464555051,0.06315409599999999,14.3,100.0,78.717
2015,97,100,10.64890109890112,4.644,0.795,17772,6.110962292609351,0.9016319540000001,14.0,100.0,78.801
2016,97,100.12000000000006,10.7736263736264,4.702,0.801446153846153,18120,6.133040120663651,1.56375659,13.7,100.0,78.888
2017,97.95045045045049,100.27418803418806,10.89835164835165,5.716017543859664,0.8047555555555554,18038,6.155117948717951,1.254709735574604,13.4,100.0,78.98100000000001
2018,98.61640587956367,100.42837606837611,11.023076923076928,5.799970356926792,0.808064957264957,17899,6.177195776772244,1.2686585559089671,13.0,100.0,79.081
2019,99.28236130867708,100.58256410256416,11.147802197802207,5.883923169993949,0.8113743589743585,17836,6.199273604826544,1.2826073762433303,12.7,100.0,81.10331443600239
2020,99.94831673779049,100.73675213675216,11.272527472527486,5.967875983061106,0.81468376068376,20269.522598869982,6.221351432880844,1.2965561965776935,-0.372033898304835,100.0,81.34994243132672
