year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1972,-12.809180609180657,-22.62837606837593,0.047,-0.03105588235294121,766,-3.299252941836926,-17.66378496503512,243.9,-19.221721429210447,220.4500857142848,43.465,119.18376852941219
1973,-10.845731445731417,-20.776752136752293,0.055999999999999994,-0.019635294117644975,774,-2.9679208492121916,-15.47287237762248,243.5,-18.138933587164047,215.4667499999996,43.693000000000005,116.77651382352997
1974,-8.882282282282176,-18.925128205128203,0.055,-0.008214705882352291,766,-2.636588756587571,-13.28195979020984,243.3,-17.056145745117647,210.4834142857144,43.894,114.36925911764683
1975,-6.9188331188333905,-17.073504273504113,0.037000000000000005,0.003205882352943945,749,-2.3052566639629504,-11.0910472027972,243.1,-15.973357903070792,205.50007857142737,44.044,111.96200441176461
1976,-4.95538395538415,-15.221880341880478,0.036000000000000004,0.014626470588236629,751,-1.9739245713383298,-8.900134615384559,242.6,-14.890570061024391,200.51674285714216,44.11600000000001,109.55474970588239
1977,-2.9919347919349093,-13.370256410256388,0.031,0.026047058823529312,754,-1.6425924787135955,-6.709222027971919,242.1,-13.80778221897799,195.53340714285696,44.103,107.14749500000016
1978,-1.0284856284856687,-11.518632478632298,0.04,0.03746764705882555,733,-1.3112603860889749,-4.518309440559278,241.4,-12.72499437693159,190.55007142857175,44.016000000000005,104.74024029411794
1979,0.9349635349635719,-9.667008547008663,0.053,0.04888823529411823,771,-0.9799282934643543,-2.327396853146638,240.2,-11.642206534884735,185.56673571428473,43.881,102.33298558823572
1980,2.8984126984128125,-7.815384615384573,0.052000000000000005,0.06030882352941447,796,-0.64859620083962,-0.13648426573399774,238.3,-10.559418692838335,180.58339999999953,43.747,99.92573088235349
1981,3.0,-5.963760683760938,0.051,0.07172941176470715,777,-0.3172641082149994,2.0544283216786425,235.7,-9.476630850791935,175.60006428571432,43.675,97.51847617647036
1982,3.0,-4.112136752136848,0.04,0.08314999999999984,755,0.916013858,4.245340909091283,232.4,-8.393843008745534,170.6167285714273,43.711999999999996,95.11122147058813
1983,4.0,-2.2605128205127585,0.048,0.09457058823529607,771,8.235005718,6.436253496503923,228.6,-7.311055166698679,165.6333928571421,43.885,92.70396676470591
1984,4.0,-0.40888888888912334,0.042,0.10599117647058875,737,0.6767321696589761,8.627166083916563,224.5,-6.228267324652279,160.6500571428569,44.199,90.29671205882369
1985,6.0,1.4427350427349666,0.044000000000000004,0.11741176470588499,678,1.0080642622835967,10.818078671329204,220.4,-5.145479482605879,155.6667214285717,44.633,87.88945735294146
1986,7.0,3.2943589743590564,0.052000000000000005,0.12883235294117767,709,9.661612359,13.008991258741844,216.3,-4.062691640559478,150.68338571428467,45.147,85.48220264705924
1987,16.0,5.145982905982692,0.059000000000000004,0.14025294117647036,755,13.859330400000001,15.199903846154484,212.4,-2.9799037985126233,145.70004999999946,45.681999999999995,83.07494794117702
1988,16.0,6.9976068376067815,0.059000000000000004,0.1516735294117666,747,0.503674879,17.390816433567124,208.4,-1.897115956466223,140.71671428571426,46.193999999999996,80.66769323529388
1989,26.0,8.849230769230871,0.061,0.16309411764705928,737,2.3333926327821928,19.581729020978855,204.3,-0.8143281144198227,135.73337857142906,46.667,78.26043852941166
1990,49.0,13,0.063,0.17451470588235551,706,2.726451783,21.772641608391496,199.9,0.2684597276270324,130.75004285714203,47.099,75.85318382352943
1991,21.0,13,0.06,0.1859352941176482,656,2.996056818031434,23.963554195804136,195.2,1.1358097790000001,125.76670714285683,47.504,73.44592911764721
1992,13.0,14,0.057,0.19735588235294088,586,3.3273889106561683,26.154466783216776,189.9,2.2921657559999997,120.78337142857163,47.911,71.03867441176499
1993,28.0,16,0.057,0.20877647058823712,584,13.14283396,28.345379370629416,184.0,3.445815802,115.8000357142846,48.343999999999994,68.63141970588276
1994,57.0,18,0.04,0.2201970588235298,615,3.18996457,30.536291958042057,177.5,4.594054222,110.8166999999994,48.81,66.22416500000054
1995,57.0,20,0.045,0.23161764705882604,632,6.1275114120000005,32.7272045454547,170.9,5.734175205,105.8333642857142,49.303000000000004,66.4
1996,55.0,21,0.048,0.24303823529411872,670,12.42617378,34.91811713286734,164.4,6.863473415,100.850028571429,49.81,63.65
1997,55.0,23,0.05,0.2544588235294114,703,3.133906867,37.10902972027998,158.1,7.979241847999999,95.86669285714197,50.32,60.9
1998,41.0,25,0.051,0.26587941176470764,684,5.3153814664040056,39.29994230769262,152.1,9.07877636,90.88335714285677,50.835,58.15
1999,27.0,27,0.049,0.2773000000000003,669,5.1621458239999995,41.49085489510526,146.2,10.16047001,85.90002142857156,51.36600000000001,55.4
2000,30.0,29,0.053,0.28300000000000003,683,6.073217492,43.6817674825179,140.3,12.7,80.91668571428454,51.941,51.58
2001,32.0,31,0.064,0.2958,700,8.301306322,45.87268006993054,134.3,12.28263187,75.93334999999934,52.595,47.76
2002,35.0,33,0.064,0.3086,715,1.5147256930000002,48.06359265734318,128.0,13.33089638,70.95001428571413,53.349,43.94
2003,37.0,35,0.069,0.3214,694,6.972041929527222,50.25450524475582,121.6,14.37581635,65.96667857142893,54.211000000000006,40.12
2004,40.0,36,0.071,0.3342,707,13.57260315,52.44541783216846,115.2,15.42128849,60.983342857141906,55.174,36.3
2005,44.0,38,0.067,0.34700000000000003,766,11.81876594,54.6363304195811,108.8,14.0,56.0,56.223,35.8333
2006,46.0,40,0.07,0.3598,783,10.83472707,56.82724300699283,102.8,17.5294857,51.0167,57.333999999999996,35.3667
2007,50.0,42,0.07400000000000001,0.3726,839,11.456167,59.01815559440547,97.1,18.599069600000004,46.0333,58.467,34.9
2008,54.0,44,0.079,0.3854,925,10.78852168,61.20906818181811,91.7,19.67914963,41.05,59.581,34.4333
2009,58.0,46,0.078,0.3982,976,8.802553202,63.4,86.7,20.76798058,36.0667,60.645,33.9667
2010,61.0,48,0.075,0.41100000000000003,1035,12.55053834,65.5909,82.0,21.86381149,31.0833,61.626999999999995,33.5
2011,65.0,50,0.086,0.42200000000000004,1124,11.17829624,67.7818,77.6,23.0,26.1,62.505,25.300835000000006
2012,69.0,52,0.09300000000000001,0.42700000000000005,1207,8.647811635,69.9727,73.4,24.06947136,21.11665714285664,63.281000000000006,22.893580294117783
2013,72.0,54,0.11199999999999999,0.435,1288,10.58227004,72.1636,69.5,25.17580223,16.133321428571435,63.961000000000006,20.48632558823556
2014,77.0,55,0.11900000000000001,0.441,1377,10.25749296,74.3545,65.8,27.2,11.149985714286231,64.547,18.079070882353335
2015,77.0,57,0.11599999999999999,0.44799999999999995,1473,10.39246302,76.5455,62.2,27.33815577878977,6.166649999999208,65.048,15.671816176471111
2016,77.0,58.84307692307675,0.11599999999999999,0.4714500000000008,1573,7.56176669,78.7364,58.9,28.42094362083617,1.1833142857140047,65.482,13.264561470587978
2017,75.54603174603153,60.69470085470084,0.09016165413533805,0.48287058823529705,1673,11.610691226272365,80.9273,55.8,29.503731462883025,-3.800021428571199,65.872,10.857306764705754
2018,77.50948090948077,62.54632478632493,0.09132512315270924,0.49429117647058973,1753,11.942023318896986,83.1182,53.1,30.586519304929425,-8.783357142858222,66.24,8.45005205882353
2019,79.47293007293001,64.39794871794857,0.09248859217007999,0.5057117647058824,1823,12.27335541152172,85.3091,50.7,31.669307146975825,-13.766692857143425,63.05705435417872,6.042797352941307
2020,81.43637923637925,66.24957264957266,0.09365206118745117,0.5171323529411787,1187.3079096045185,12.60468750414634,87.5,51.0786163522007,32.75209498902268,-18.75002857142863,63.50777989479832,3.635542647059083
