year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1993,86,78,0.9590000000000001,0.478,4.49,3.5097657680000003,87.3,-12.700567007912014,58.05,70.25
1994,87,78,0.9640000000000001,0.473,4.54,5.9798739329999995,89.5,-10.84272839882351,57.022,69.6
1995,88,78,0.971,0.46799999999999997,4.59,3.290938384,92.2,-8.984889789735462,55.782,68.5625
1996,87,78,0.9740000000000001,0.46299999999999997,4.648,5.597035289,94.8,-7.1270511806469585,54.333999999999996,67.525
1997,87,78,0.978,0.45799999999999996,4.706,3.703603972,98.0,-5.26921257155891,52.728,66.4875
1998,88,79,0.983,0.45299999999999996,4.763999999999999,1.5376558059999998,101.0,0.016507551000000002,51.034,65.45
1999,88,79,0.9840000000000001,0.44799999999999995,4.822,0.476025115,103.9,0.08750499800000001,49.328,64.4125
2000,83,79,0.99,0.44299999999999995,4.88,3.8755466110000003,106.8,0.40873098399999996,47.691,63.375
2001,78,79,0.997,0.4456,4.962,3.56158231,109.3,1.241471887,46.196999999999996,62.3375
2002,84,79,1.004,0.4482,5.044,0.723835765,110.6,2.471420527,44.898,61.3
2003,90,80,1.006,0.4508,5.126,4.559776789,111.8,4.5130119319999995,43.845,61.1
2004,90,80,1.024,0.4534,5.207999999999999,1.692373902,112.7,6.8,43.083,60.9
2005,89,80,1.031,0.456,5.29,3.466122778,113.3,8.601753235,42.658,60.7
2006,89,80,1.038,0.4586,5.23,4.2300950219999995,113.9,9.7,42.595,60.5
2007,88,80,1.044,0.4612,5.17,4.809216463,111.6,12.72295475,42.854,60.3
2008,88,81,1.065,0.4638,5.11,6.659353143,110.6,14.79970932,43.38399999999999,60.1
2009,91,81,1.099,0.4664,5.05,2.151284968,103.7,17.0,44.146,59.9
2010,93,81,1.117,0.469,4.99,6.53630855,97.9,18.97771645,45.1,59.7
2011,96,81,1.129,0.479,5.318996078431368,6.6303223120000006,96.1,21.07546806,46.207,56.87349999999992
2012,95,81,1.148,0.484,5.362886576168918,5.901091561,95.6,23.17672157,47.416000000000004,56.163923076922856
2013,93,81,1.148,0.491,5.406777073906483,2.152564147,94.8,25.27972221,48.663000000000004,55.45434615384602
2014,93,82,1.151,0.495,5.450667571644033,2.277474893,94.2,27.8,49.891000000000005,54.74476923076918
2015,93,82,1.104,0.49700000000000005,5.494558069381597,5.613827027,94.1,28.171882392029147,51.038000000000004,54.035192307692114
2016,93,81.98461538461538,1.021,0.4726092307692308,5.538448567119147,2.5,90.6,30.02972100111765,52.059,53.325615384615276
2017,98.30180180180173,82.16581196581194,1.1380512820512827,0.47295350427350424,5.582339064856711,3.2927178494311704,88.7,31.8875596102057,52.946999999999996,52.61603846153844
2018,99.06021811284973,82.3470085470085,1.1459676434676442,0.4732977777777777,5.626229562594261,3.233636136057825,86.6,33.7453982192942,53.705,51.90646153846137
2019,99.81863442389749,82.52820512820512,1.1538840048840058,0.4736420512820513,5.670120060331826,3.17455442268448,86.4,35.60323682838225,49.596280537697254,51.19688461538453
2020,100.57705073494549,82.70940170940167,1.1618003663003673,0.47398632478632474,5.714010558069376,3.115472709311149,69.65943502824848,37.4610754374703,49.52397124488604,50.48730769230747
