Country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,6.258685485,6.323295086,5.446896088,4.853454396,5.317313205,4.166247151,3.400062683,3.440975922,3.842379749,5.529235129,6.073335899,6.052033278,5.877354885,5.36247275,4.085907912,4.193078884,4.840589349,4.038953476
Lithuania,,,,,,,,,,,,,,,,,,,,,,,8.905407272,10.07304785,7.684143846,7.233285594,8.433453791,6.001799835,5.24632983,3.918281294,3.821498346,3.590083135,2.420170717,3.300595889,4.321183616,5.379192251,5.363011838,4.739909405,4.806271855,4.13992548,4.373803002,4.553385176
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.177030691,4.100141899,3.06311535,3.087877283,3.196212701,4.242506439,4.572493364,3.230940604,4.504261525,2.872604547,2.865539014,2.247990346
Malta,,,,,,,,,,,,,,,,,,,,,,,,,3.908052937,4.48425219,3.797927648,3.642341541,4.569407304,4.497193465,4.304874364,3.692657689,3.478129966,4.225612228,4.807383941,6.063035998,5.796171087,6.494271132,6.571392505,5.86277599,4.947130588,4.789016912
Romania,,,,,,,,,,,,,,,,,,,,,,,,,5.3303361,5.42568235,3.887889323,3.940327253,3.857612604,3.465903253,2.964167629,2.925131548,2.758553855,3.074515862,3.486688709,2.710449969,2.927997311,2.950373499,2.605884783,3.15588958,2.669664002,2.752981883
Russia,,,,,,,,,,,,,,,,,3.028427739,2.429973598,2.561541542,2.157080435,2.078159768,2.177282814,2.289406162,5.349718252,4.858859852,3.257639856,2.294500454,3.469897824,3.647409534,3.867668613,3.751659794,3.547214446,3.461139619,3.26314528,2.981696575,2.764717617,2.860913342,2.906747002,2.740518312,2.886440668,3.10186049,2.440363195
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,3.946950061,3.845735458,3.931752602,4.039754162,6.400003232,5.781070431,6.139412543,6.257183049,5.740350506,6.578327411,7.242145251,6.69662908,5.929530442,6.429884852,7.129064532,6.745223881,5.223548976,6.124113186
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.819311659,4.880570025,4.86049012,4.796803668,4.697395884,5.191615269,5.036308867,5.530776093,5.625878456,5.920191888
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.592395695,6.92508725,8.875198601,10.73565465,11.7872764,11.08945193,9.717448533,10.10998814
Namibia,5.934015684,6.216342879,6.27416791,7.750494797,8.085788122,8.078997246,8.850449494,9.197677146,8.585967664,8.650751253,8.781555277,8.7785742,8.707662431,8.613692356,8.666863719,9.228842243,9.477887921,9.579786037,8.79239285,8.851829686,8.51102265,8.459707167,8.354320322,8.007130647,7.783090505,8.064783405,7.998395911,7.989184687,8.337079645,8.653115608,8.794399029,8.940570486,9.266047472,10.32569264,10.0958307,10.31398096,10.28652944,10.2575388,10.0003777,9.888200908,9.888852331,9.584737784
