Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ethiopia,,,,,,0.0000792,0.0000473,0.0000801,0.000333373,0.001287905,0.001810674,0.004123151,0.004715525,0.007106815,0.009304597,0.252991591,0.488347718,0.48311082,0.551241333
Finland,,,0.676134873,2.582719295,5.259353428,9.420294164,15.30122372,22.38119781,27.12698638,30.55404864,30.42327271,29.29680739,29.05158697,29.80098288,30.46335135,31.7010248,32.30460125,31.67966037,31.21772685
Fiji,,,,,,,,0.851080386,1.026495665,1.376599249,1.544229965,1.505022411,2.701732246,2.678815238,1.54514131,1.240203617,1.400972011,1.426415914,1.373075167
France,0.022962174,0.093387057,0.332022835,1.009216098,2.756140227,5.897109155,10.75534777,15.41379171,20.55291596,25.31711617,28.50400464,31.56707101,33.74459556,35.77893103,37.50591895,38.79219701,40.17401945,41.34472681,42.35416592
"Faroe Islands",,,,0.114564549,0.238738456,0.815599901,6.42450084,11.93726224,26.56736957,29.18634217,29.995363,32.02016129,32.63145156,32.40499687,32.97378096,33.75851543,34.98180348,36.09786649,36.24465597
Micronesia,,,,,,0.005617136,0.024395965,0.043315317,0.089888916,0.110374226,0.3946,0.6789,0.963143825,1.3062,1.6492,1.992293504,2.975852478,3.137085966,3.011355538
Gabon,,,,,,0.0129197,0.048250905,0.110912564,0.124778206,0.137005419,0.14836365,0.243358973,0.262301908,0.282302636,0.306265206,0.532388672,0.631101377,0.632823568,0.73212286
"United Kingdom",,,0.089717904,0.559207326,2.282410886,5.215760543,10.20921405,16.41801435,21.46619152,25.59604372,28.22289871,28.97405523,30.85650759,32.98080381,34.54060538,36.49218559,37.37610065,38.61345092,39.17956479
Georgia,,,,0.009183541,0.019905505,0.030887605,0.042079339,0.053404169,0.607283078,1.055901196,2.541211313,3.40824427,4.15688201,5.681096496,10.62474273,11.90839677,13.89886561,14.74192364,15.81081103
Ghana,,,,,,,0.004319548,0.008903839,0.058087882,0.071904667,0.099436875,0.11987827,0.214669301,0.262478432,0.268590866,0.265570614,0.265371483,0.271016569,0.314527932
Gibraltar,,,,,,,,,,,,31.76615301,35.66471815,38.56195749,40.90909091,42.6124,44.31566388,53.06602167,55.86242125
Guinea,,,,,,,,,,,,,0.004597264,0.005375607,0.006112857,0.0068113,0.007472664,0.008098631,0.008691392
