Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kazakhstan,63.03,63.03,67.74,67.74,67.74,67.74,67.74,67.74,68.29,68.29,68.29,72.92,75.7,75.7
Kenya,60.02,60.02,60.02,60.02,60.02,60.02,55.15,55.15,55.15,50.98,50.98,58.27,58.27,58.27
Kiribati,64.15,64.15,64.15,64.15,64.14,64.15,64.15,64.15,64.15,64.15,64.15,57.09,53.39,53.39
"South Korea",78.73,78.73,78.73,78.73,78.73,78.73,78.73,78.73,80.81,79.17,79.17,84.15,84.15,84.15
Kosovo,,,,,,,46.13,46.13,46.13,46.13,46.13,66.19,65.66,65.66
Kuwait,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,62.36,60.51,60.51
Kyrgyzstan,64.63,64.63,64.63,64.63,64.63,64.63,64.63,64.63,56.78,56.78,56.78,48.57,48.57,48.57
Laos,52.95,56.45,56.45,56.45,56.45,56.45,56.45,56.45,56.45,56.45,56.45,58.07,58.07,58.07
Latvia,79.97,79.97,83.44,83.44,83.44,83.44,79.96,79.96,78.32,75.59,75.59,68.88,71.66,71.66
Lebanon,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,51.7,51.7,51.7
Lesotho,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,53.94,53.94,57.18,57.18,57.18
Liberia,,,,34.39,34.39,34.39,34.39,34.39,34.39,35.43,35.43,33.92,33.92,33.92
Libya,,,,,,,,,,51.42,51.42,50.27,48.41,48.41
Lithuania,77.27,77.27,77.27,77.27,77.27,77.27,74.81,74.81,74.81,72.9,72.9,77.88,77.88,77.88
Luxembourg,,,,86.04,86.04,86.04,85.7,85.7,85.7,85.7,85.7,73.32,73.32,73.32
"Macedonia (F.Y.R.O.M.)",58.25,58.25,58.25,58.25,55.32,56.37,56.59,56.59,56.59,56.59,58.31,70.46,70.46,67.79
Madagascar,45.91,45.91,45.91,45.91,45.91,45.91,45.91,45.91,45.91,45.91,45.91,42.85,42.85,42.85
Malawi,35.23,35.23,35.23,35.23,36.27,36.27,36.27,36.27,36.27,36.27,43.73,47.09,47.09,46.48
Malaysia,67.24,67.24,67.24,67.24,67.24,67.24,67.65,67.65,73.06,73.06,69.39,66.61,66.61,66.61
Maldives,58.13,58.13,58.13,58.13,58.13,58.13,58.13,58.13,58.13,55.53,55.53,55.07,55.07,55.07
Mali,45.67,45.67,45.67,45.67,45.67,45.67,51.09,51.25,51.25,51.25,51.25,43.73,43.73,43.73
Malta,,,,,,,,,56.27,56.27,56.27,62.17,62.17,62.17
"Marshall Islands",58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,55.93,55.93,55.93
Mauritania,56.6,56.6,56.6,56.6,57.65,58.47,58.47,58.47,58.47,58.47,58.47,60.43,58.58,58.58
Mauritius,,60.05,60.05,60.05,60.05,60.05,61.91,63.96,63.96,63.96,64.91,68.65,68.65,68.65
Mexico,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.75,63.84,65.69,65.69,67.01
Micronesia,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,40.85,29.39,29.39,29.39
Moldova,77.74,77.74,77.74,77.74,77.74,77.74,76.13,76.13,73.6,73.24,66.68,60.43,59.94,60.87
Mongolia,71.81,71.81,71.81,71.81,71.81,71.81,71.81,71.81,71.81,71.81,70.17,58.48,58.48,58.48
Montenegro,,,,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,66.75,66.75,66.75
Morocco,60.14,60.14,60.14,60.14,60.14,60.14,60.14,60.14,60.14,60.14,60.14,62.34,62.34,62.34
Mozambique,30.89,30.89,30.89,30.89,31.93,34.61,34.61,34.61,34.61,34.61,34.61,27.32,27.32,27.32
"Burma (Myanmar)",,,,,,,,,,27.31,27.31,24.53,24.53,24.53
Namibia,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,64.82,56.03,56.03,56.03
Nepal,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,49.65,49.65,49.65,45.26,45.26,45.26
Netherlands,74.92,74.92,74.92,74.92,74.92,74.92,74.92,74.92,75.1,75.1,75.1,58.09,59.94,59.94
"New Zealand",79.79,79.79,79.79,79.79,79.79,79.79,79.64,79.64,79.64,77.84,77.84,74.25,74.25,74.25
Nicaragua,60.48,61.85,61.85,61.85,61.85,61.85,61.85,61.85,65.43,65.43,62.42,57.79,57.79,58.58
Niger,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,49.95,41.85,41.85,45.55
