Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Botswana,,,,,,,,,,,,,,,,,,,,,,726.8376161,735.2264035,717.1091448,707.8074025,723.8750868,768.5004198,741.5713185,847.5608726,880.1738398,884.1587852,875.8317563,982.1943863,959.5268058,922.0949458,922.3966187,880.2968717,904.6869418,1001.671633,1016.000122,1038.75337,1035.001296,1036.576247,1019.269106,988.6537694,1005.684182,1023.69552,1041.294098,1083.869764,993.8713519,1068.977788,1008.742095,1123.232734,1166.029052,1252.679988,
Brazil,,,,,,,,,,,,714.0384824,746.8821422,799.138597,830.3170514,846.4489867,867.5287839,875.466416,909.7173434,944.6769755,939.677844,880.5990197,874.7583378,876.3171933,912.2096389,953.397735,977.6522673,995.6993558,990.0154958,991.4411954,938.7675483,940.0013727,933.9005938,941.624461,975.3157574,992.5945404,1028.801745,1064.048038,1072.764068,1080.641098,1069.337465,1072.917289,1086.6367,1090.388978,1136.968243,1152.016339,1178.850905,1232.601682,1288.117286,1233.753632,1351.028896,1359.122359,1404.755271,1451.167804,1484.926638,
Brunei,,,,,,,,,,,,1306.006218,1234.935561,2318.585083,3828.507695,4579.42983,5802.911594,6038.587196,5441.90845,5468.245087,6958.973751,6494.864683,6777.963207,6956.230908,7791.730629,7938.288377,6776.782467,6757.947496,5460.692634,6162.84183,6673.060649,7333.502332,7664.064125,7173.834343,6477.495898,7560.78562,7423.536014,7486.600991,7287.254638,7269.273558,7155.500074,6491.139814,6219.634615,7088.321934,6388.214384,6073.836531,8511.873059,8609.084895,9341.203211,7928.681613,8337.151561,9829.333042,9581.151125,7498.245078,8632.325651,
Bulgaria,,,,,,,,,,,,2228.687051,2262.786549,2378.253739,2463.244052,2665.45943,2780.331763,2954.266739,3084.452042,3200.498984,3203.610097,3185.509537,3309.206425,3370.132324,3387.274223,3419.767677,3450.941716,3411.073395,3488.292754,3426.942205,3237.35265,2536.644005,2396.007266,2590.011252,2519.859145,2746.667734,2745.710003,2504.12268,2425.946246,2230.660301,2277.367967,2421.145361,2410.969355,2490.416673,2440.69816,2597.896167,2691.460438,2666.111445,2648.867056,2351.655053,2416.703907,2617.127869,2513.352381,2329.122801,2477.655401,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95924629,92.4841,100.009,107.5339,115.0588,122.5836,130.1085,137.6334,145.1583,152.6832,160.208,167.7329,175.2578,182.7827,190.3075712,208.6112182,212.1486288,211.743326,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.2640969,270.2012054,266.9053673,295.9356992,289.1756361,280.79893,276.5701647,316.1482925,320.1411579,259.4476911,258.9191377,254.5069427,254.3066515,251.3355238,360.581831,370.3497303,381.3350167,390.8853203,397.009737,416.9396606,
Cameroon,,,,,,,,,,,,402.4018532,400.7013295,398.7904433,398.7827915,407.0633825,401.6686996,417.7720125,419.2461486,422.434274,424.1485091,431.9887525,438.2489573,440.03427,440.4805126,443.5530148,436.3095204,430.8254444,430.9951842,433.5184345,425.1606756,416.9873977,409.6933894,412.2548051,415.145778,411.374004,410.8087242,411.9778845,413.4022145,406.3047467,413.0916156,407.3618388,406.3051488,411.8348254,413.5154493,404.9495445,375.5975146,344.6361477,338.2447397,355.7958787,348.8546478,327.1992564,328.437587,336.0035907,341.8626717,
Canada,4251.435911,4307.820754,4451.560116,4694.12007,4903.607607,5153.932412,5272.664705,5557.29174,5871.520391,6091.10001,6476.388529,6530.335563,6933.606552,7123.379215,7100.548092,7150.106812,7272.550047,7409.530005,7538.842944,7837.769659,7804.220103,7530.945261,7149.34406,7051.629557,7341.51922,7439.342071,7492.11338,7641.324105,7854.972039,7933.567077,7602.674931,7481.503838,7562.148126,7730.486647,7926.839246,7965.846767,8036.713321,8034.414784,7924.030924,8081.486957,8242.524659,8040.538899,7993.389739,8332.923854,8441.184873,8404.245915,8240.11562,8213.663506,8195.212306,7797.196259,7788.472606,7910.75935,7725.328308,7727.756757,7874.051993,7600.324978
Chile,,,,,,,,,,,,893.1532267,890.7349294,841.9411279,821.9736992,731.3721559,762.2891922,777.9372138,793.5635535,826.6718141,841.3094145,841.7633347,760.1328049,773.8389226,801.367184,786.6882828,808.501347,820.5755135,913.2460902,1006.651033,1057.938027,1064.486012,1133.116349,1143.587529,1211.330622,1282.944499,1401.314652,1548.096389,1582.225219,1660.009928,1648.965514,1599.057467,1636.466226,1635.069232,1722.289492,1756.598104,1809.060802,1856.830838,1820.253666,1754.223343,1815.275901,1959.358801,2149.491448,2215.800429,2049.688829,2028.886011
China,,,,,,,,,,,,464.933157,477.1687087,483.7173753,486.1679858,527.4883375,537.1747315,577.2110106,617.1549011,619.0436623,609.4551957,597.1467101,606.8304373,621.9107172,651.0749586,657.7597361,671.2095033,694.42236,720.3414958,724.1161051,766.9953294,736.8518014,752.6286625,788.1287236,816.16289,866.8343743,881.6537374,871.7563238,869.3586073,878.5245355,898.9873131,928.8114337,984.8107146,1118.431773,1268.132904,1393.691324,1515.173678,1630.171029,1672.90412,1778.433519,1954.722556,2086.486904,2155.164788,2213.759327,2236.729908,
