Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,3.548,3.6884,3.8288,3.9692,4.1096,4.25,4.4412,4.6324,4.8236,5.0148,5.206,5.3614,5.5168,5.6722,5.8276,5.983,6.0578,6.1326,6.2074,6.2822,6.357,6.3866,6.4162,6.4458,6.4754,6.505,6.5896,6.6742,6.7588,6.8434,6.928,7.076,7.224,7.372,7.52,7.668,7.7518,7.8356,7.9194,8.0032,8.087,8.246,8.405,8.564,8.723,8.882,8.9752,9.0684,9.1616,9.2548,9.348,9.5124,9.6768,9.8412,10.0056,10.17
Brunei,2.6,2.6692,2.7384,2.8076,2.8768,2.946,2.7728,2.5996,2.4264,2.2532,2.08,1.976,1.872,1.768,1.664,1.56,1.4906,1.4212,1.3518,1.2824,1.213,1.213,1.213,1.213,1.213,1.213,1.1784,1.1438,1.1092,1.0746,1.04,1.04,1.04,1.04,1.04,1.04,1.0746,1.1092,1.1438,1.1784,1.213,1.2476,1.2822,1.3168,1.3514,1.386,1.4554,1.5248,1.5942,1.6636,1.733,1.7676,1.8022,1.8368,1.8714,1.906
Bulgaria,40.89,40.918,40.946,40.974,41.002,41.03,40.95,40.87,40.79,40.71,40.63,40.276,39.922,39.568,39.214,38.86,38.566,38.272,37.978,37.684,37.39,37.356,37.322,37.288,37.254,37.22,37.578,37.936,38.294,38.652,39.01,39.312,39.614,39.916,40.218,40.52,38.872,37.224,35.576,33.928,32.28,31.724,31.168,30.612,30.056,29.5,29.864,30.228,30.592,30.956,31.32,31.566,31.812,32.058,32.304,32.55
"Burkina Faso",7.837,7.8742,7.9114,7.9486,7.9858,8.023,8.0974,8.1718,8.2462,8.3206,8.395,8.6378,8.8806,9.1234,9.3662,9.609,9.7912,9.9734,10.1556,10.3378,10.52,10.706,10.892,11.078,11.264,11.45,11.73,12.01,12.29,12.57,12.85,13.088,13.326,13.564,13.802,14.04,14.71,15.38,16.05,16.72,17.39,17.536,17.682,17.828,17.974,18.12,18.944,19.768,20.592,21.416,22.24,22.24,22.24,22.24,22.24,22.24
Burundi,33.42,34.196,34.972,35.748,36.524,37.3,38.22,39.14,40.06,40.98,41.9,42.59,43.28,43.97,44.66,45.35,45.264,45.178,45.092,45.006,44.92,45.134,45.348,45.562,45.776,45.99,46.134,46.278,46.422,46.566,46.71,46.782,46.854,46.926,46.998,47.07,47.364,47.658,47.952,48.246,48.54,47.816,47.092,46.368,45.644,44.92,46.356,47.792,49.228,50.664,52.1,52.82,53.54,54.26,54.98,55.7
"Cape Verde",9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,9.926,10.1248,10.3236,10.5224,10.7212,10.92,11.068,11.216,11.364,11.512,11.66,11.76,11.86,11.96,12.06,12.16,12.26,12.36,12.46,12.56,12.66,13.056,13.452,13.848,14.244,14.64,14.64,14.64,14.64,14.64,14.64
Cambodia,16.31,16.416,16.522,16.628,16.734,16.84,15.538,14.236,12.934,11.632,10.33,10.44,10.55,10.66,10.77,10.88,11.024,11.168,11.312,11.456,11.6,12.704,13.808,14.912,16.016,17.12,17.91,18.7,19.49,20.28,21.07,21.088,21.106,21.124,21.142,21.16,21.182,21.204,21.226,21.248,21.27,21.274,21.278,21.282,21.286,21.29,21.402,21.514,21.626,21.738,21.85,21.85,21.85,21.85,21.85,21.85
Cameroon,11.72,11.846,11.972,12.098,12.224,12.35,12.444,12.538,12.632,12.726,12.82,13.05,13.28,13.51,13.74,13.97,14.124,14.278,14.432,14.586,14.74,14.824,14.908,14.992,15.076,15.16,15.14,15.12,15.1,15.08,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.082,15.104,15.126,15.148,15.17,15.396,15.622,15.848,16.074,16.3,16.3,16.3,16.3,16.3,16.3
Canada,5.242,5.218,5.194,5.17,5.146,5.122,5.1542,5.1864,5.2186,5.2508,5.283,5.2226,5.1622,5.1018,5.0414,4.981,5.0066,5.0322,5.0578,5.0834,5.109,5.1306,5.1522,5.1738,5.1954,5.217,5.2136,5.2102,5.2068,5.2034,5.2,5.2092,5.2184,5.2276,5.2368,5.246,5.2408,5.2356,5.2304,5.2252,5.22,5.1774,5.1348,5.0922,5.0496,5.007,5.024,5.041,5.058,5.075,5.092,5.0882,5.0844,5.0806,5.0768,5.073
"Central African Republic",2.806,2.8226,2.8392,2.8558,2.8724,2.889,2.9052,2.9214,2.9376,2.9538,2.97,2.9892,3.0084,3.0276,3.0468,3.066,3.082,3.098,3.114,3.13,3.146,3.1604,3.1748,3.1892,3.2036,3.218,3.2228,3.2276,3.2324,3.2372,3.242,3.243,3.244,3.245,3.246,3.247,3.2474,3.2478,3.2482,3.2486,3.249,3.2444,3.2398,3.2352,3.2306,3.226,3.1844,3.1428,3.1012,3.0596,3.018,3.018,3.018,3.018,3.018,3.018
