Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,72,75,79,83,86,90,92,95,96,96,94,99,94,94,96,95,96,98,98,97,97,99,98,97,98,98,98,97,97,97,99,99,99,99,98,98,99,98
Bangladesh,,1,1,1,1,2,4,8,16,49,69,74,67,74,84,69,77,78,79,81,83,85,83,90,88,94,95,96,96,97,94,96,94,96,97,97,97,97
Barbados,99,54,63,62,77,88,80,68,73,80,90,84,89,88,91,93,85,96,93,86,86,93,86,90,93,91,85,93,85,93,90,91,88,91,95,97,97,91
Belarus,,,,,,,,,,,,,90,91,92,96,98,98,99,99,99,99,99,53,99,98,97,90,98,98,99,98,98,98,97,99,98,98
Belgium,99,99,90,90,95,97,99,97,95,95,95,93,94,94,93,92,94,94,95,95,96,96,96,96,96,97,99,99,99,98,98,98,99,99,99,99,98,98
Belize,44,54,65,61,61,61,84,58,63,74,86,80,89,86,84,83,85,85,87,84,91,96,93,95,97,96,98,97,94,98,96,95,98,95,95,94,96,88
Benin,,,,,,16,17,25,30,48,74,68,73,75,82,68,67,66,70,74,78,77,76,75,74,73,76,82,77,80,77,77,80,73,74,78,78,78
Bhutan,4,11,11,14,27,41,54,63,70,76,96,91,85,82,84,86,86,87,85,89,98,88,89,96,90,95,96,93,96,93,92,95,97,97,98,98,97,97
Bolivia,14,15,12,11,46,30,42,41,40,51,50,52,54,56,60,64,61,57,59,79,74,71,76,82,84,84,82,85,87,92,90,95,93,88,85,88,87,83
"Bosnia and Herzegovina",,,,,,,,,,,,,65,45,69,69,74,80,89,90,87,92,86,87,87,95,91,95,92,90,90,89,87,87,86,74,79,75
Botswana,46,71,77,80,83,85,88,86,89,89,90,91,91,92,93,94,95,95,93,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Brazil,69,39,51,55,55,52,51,53,57,54,58,67,65,64,70,79,80,89,95,99,99,99,99,99,99,99,99,99,99,99,99,98,96,96,96,98,72,91
Brunei,89,95,99,90,94,88,86,88,89,91,92,94,95,99,99,99,99,99,98,97,99,99,99,99,92,93,94,95,97,99,99,96,92,99,99,99,99,99
Bulgaria,99,99,99,98,99,99,99,99,99,99,99,81,99,97,94,97,95,96,96,97,94,94,94,96,94,97,96,95,96,94,94,95,95,95,88,91,92,92
"Burkina Faso",,,,,,10,21,23,34,44,66,53,41,39,36,35,37,39,15,15,45,62,69,83,83,94,94,93,92,91,90,90,90,89,91,91,91,91
Burundi,,39,43,35,21,58,56,71,51,86,97,89,81,64,49,73,72,69,61,70,71,72,74,75,76,82,88,93,89,96,94,95,96,96,95,94,94,91
"Cape Verde",,,,22,31,39,60,87,85,99,87,88,89,90,89,89,88,87,88,89,90,91,92,93,94,95,97,98,99,99,99,90,94,93,95,93,95,96
Cambodia,,,,,18,26,35,57,45,48,38,39,32,36,38,39,48,56,57,65,62,59,54,69,86,82,80,82,91,95,90,91,90,71,92,92,92,92
Cameroon,,5,15,25,26,35,42,44,51,54,54,46,37,34,42,46,43,47,53,58,57,61,66,72,72,79,78,81,82,79,83,80,85,88,86,83,83,84
Canada,,,,,,,,86,87,87,88,88,89,89,89,89,89,88,88,88,88,88,88,88,91,93,95,90,89,89,88,87,99,91,91,91,91,91
"Central African Republic",13,11,14,16,17,20,19,22,42,61,82,64,45,46,46,51,47,44,45,36,38,40,42,44,45,47,47,46,46,45,46,47,47,23,47,47,47,47
Chad,,,,,4,3,8,13,14,20,20,18,10,12,18,18,20,24,29,34,30,26,31,36,31,37,49,38,30,32,43,40,51,46,44,52,44,44
Chile,93,99,99,89,99,99,90,93,96,95,95,94,90,90,94,94,91,90,90,95,91,96,97,96,94,92,94,95,95,94,92,93,90,90,95,96,95,93
China,,,80,81,84,87,68,78,96,96,98,95,93,90,87,82,84,85,85,86,86,86,86,87,87,87,94,94,99,99,99,99,99,99,99,99,99,99
Colombia,16,22,27,42,68,62,53,82,94,90,93,91,84,92,87,87,87,85,75,77,82,83,83,92,89,93,94,93,92,92,88,85,91,91,90,91,91,92
Comoros,,,,,32,53,73,73,44,78,94,55,46,70,58,78,60,48,75,73,70,70,98,80,73,67,69,75,81,84,82,85,85,85,87,92,92,94
"Congo (Brazzaville)",42,42,48,53,59,73,71,71,71,79,80,74,67,60,55,50,47,21,25,29,31,32,41,50,67,62,73,71,77,76,72,72,68,85,90,80,71,69
"Cook Islands",39,48,57,47,96,91,82,82,94,89,83,87,87,99,86,93,75,93,93,92,92,90,97,95,99,99,99,99,99,82,99,93,98,98,99,99,99,99
"Costa Rica",86,85,80,86,94,88,87,92,87,86,95,90,91,88,88,86,85,97,85,84,80,92,94,88,90,91,89,89,89,80,93,82,90,95,91,92,97,96
"Ivory Coast",,,,,11,16,22,27,32,42,56,51,49,51,49,46,54,59,59,58,66,70,70,68,76,87,76,75,58,77,81,58,83,74,71,76,71,82
Croatia,,,,,,,,,,,,,85,86,87,90,91,92,93,93,94,94,95,95,96,96,96,96,96,96,97,96,96,96,95,94,93,92
Cuba,99,97,83,95,95,88,99,86,98,96,94,97,99,97,96,95,98,97,97,96,98,99,98,98,98,99,99,99,99,99,99,99,98,99,99,99,98,98
Cyprus,35,44,27,36,31,61,91,93,90,93,94,94,95,95,96,96,98,98,98,97,97,97,98,98,98,98,97,97,97,99,99,99,99,99,99,97,97,97
"Czech Republic",,,,,,,,,,,,,,99,98,98,98,97,97,98,98,97,97,97,96,96,98,99,99,99,99,99,99,99,99,97,96,94
"North Korea",50,51,51,52,52,65,62,70,58,79,99,98,99,99,93,88,82,76,82,87,93,98,99,99,99,97,98,99,98,98,99,99,99,99,99,99,99,99
"Congo (Kinshasa)",15,18,22,26,30,34,39,38,41,38,34,16,31,29,27,24,18,18,18,21,42,30,40,47,52,60,62,72,64,78,76,77,76,74,79,78,74,79
Denmark,99,98,99,98,96,99,94,97,99,98,99,98,98,96,99,97,99,99,99,99,97,97,98,96,95,93,93,87,88,89,90,91,94,94,94,93,94,98
Djibouti,,,6,14,21,22,24,25,65,77,85,53,41,41,41,41,41,32,23,24,46,49,62,68,64,71,72,88,89,89,88,87,81,82,78,84,68,68
Dominica,53,97,73,92,82,89,92,95,97,94,94,94,99,99,99,99,99,97,99,99,99,99,98,99,99,98,96,93,95,99,99,98,97,96,97,98,99,91
"Dominican Republic",46,42,43,22,99,39,79,79,65,70,90,74,73,82,98,70,70,71,68,71,71,71,74,65,66,86,88,86,86,85,85,84,85,82,90,87,82,80
Ecuador,19,27,36,32,47,39,44,51,58,64,67,61,86,84,83,82,80,79,83,83,83,90,88,97,90,89,92,95,94,91,88,85,85,87,84,84,79,83
Egypt,67,67,67,67,78,84,89,82,89,90,87,86,89,89,91,90,91,94,95,97,98,99,97,98,97,98,98,98,97,97,97,96,93,97,94,93,95,94
"El Salvador",42,38,42,20,30,54,51,57,63,64,80,61,61,79,89,94,94,97,99,92,98,94,81,93,90,89,96,99,98,91,89,90,93,92,93,92,95,95
"Equatorial Guinea",,,,,,4,4,8,11,15,75,75,76,76,77,79,80,81,81,39,41,43,44,46,48,50,52,54,55,57,59,39,30,30,24,17,20,27
Eritrea,,,,,,,,,,,,,,32,49,58,66,75,86,93,82,89,92,95,98,96,94,95,95,95,95,94,94,94,94,95,95,95
Estonia,,,,,,,,,,,,,,67,76,80,86,86,88,91,93,94,94,95,95,96,95,95,95,95,94,93,94,94,93,93,93,93
Swaziland,,22,39,43,49,59,72,74,89,89,89,79,93,86,96,81,81,86,86,86,87,87,87,87,88,88,88,88,89,89,89,85,92,98,98,84,90,90
Ethiopia,3,3,3,4,4,6,7,16,16,26,49,21,13,28,57,65,73,83,70,57,55,55,55,55,54,56,59,61,63,65,69,70,70,70,68,78,74,76
Fiji,55,62,65,81,72,68,73,92,99,99,96,99,98,96,96,99,99,88,89,90,91,92,94,95,96,97,98,99,99,99,99,99,99,99,99,99,99,99
Finland,90,90,78,78,84,89,95,97,99,90,90,97,99,99,98,99,99,95,95,95,96,95,95,96,96,97,97,97,97,99,99,99,99,98,98,97,92,89
France,80,80,86,92,97,97,97,89,81,84,95,95,95,95,97,97,97,97,97,98,98,98,97,96,99,98,99,99,99,98,99,99,99,99,98,97,96,96
Gabon,,,,,,48,59,65,72,78,78,72,66,67,69,70,60,50,47,44,44,44,44,44,44,44,44,78,81,74,68,75,80,77,68,79,74,74
Gambia,53,66,76,70,78,62,67,80,88,92,94,94,94,96,97,98,97,99,91,83,84,85,86,87,88,94,94,94,96,97,97,95,98,96,97,96,95,92
Georgia,,,,,,,,,,,,,68,82,82,82,82,81,80,82,81,83,89,74,66,82,89,88,90,93,88,88,93,94,91,91,92,91
Germany,80,95,95,94,90,85,90,80,80,80,80,80,80,95,95,95,95,95,94,94,94,96,97,96,96,95,94,95,95,95,94,94,94,94,94,94,94,94
Ghana,7,25,25,23,19,18,29,40,45,50,57,60,62,67,71,71,72,72,78,78,88,81,80,80,81,85,84,94,92,94,94,91,91,91,94,88,95,94
Greece,90,95,96,97,98,96,97,97,98,96,96,77,95,95,95,95,95,95,91,87,89,90,92,93,95,96,98,99,99,99,99,99,99,99,99,99,99,99
Grenada,32,41,61,72,75,77,92,81,64,86,69,82,90,91,95,77,80,95,95,87,97,96,98,98,84,99,91,96,99,99,94,95,98,98,81,99,98,91
Guatemala,43,42,45,44,48,42,36,18,58,58,74,69,70,77,73,80,73,73,77,75,80,78,82,84,88,87,90,85,96,92,94,88,94,84,65,90,82,81
Guinea,,,15,15,15,16,16,16,16,16,18,37,52,53,53,54,48,46,59,43,47,52,56,61,65,59,53,46,59,60,62,63,56,49,42,45,45,45
"Guinea Bissau",,,,3,4,18,47,55,70,54,60,63,66,63,69,45,54,60,54,48,52,56,61,65,69,73,74,76,77,78,82,85,87,87,87,87,87,87
Guyana,42,37,73,62,41,77,67,77,69,79,79,81,87,92,90,87,83,88,90,83,79,90,93,91,91,93,92,94,93,97,95,93,97,98,97,92,94,94
Haiti,8,3,7,6,13,19,24,28,48,50,40,35,37,39,41,42,42,42,45,48,50,52,54,56,58,60,61,62,64,65,66,67,67,67,55,56,45,39
Honduras,31,37,47,51,73,58,63,61,70,86,87,93,94,95,95,94,94,93,97,95,88,99,95,92,94,98,94,94,93,97,97,97,97,97,97,97,97,97
Hungary,98,98,99,98,98,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Iceland,99,99,98,97,99,99,99,99,99,99,99,99,94,99,99,99,99,99,99,98,98,92,95,97,99,95,97,97,98,96,96,95,89,91,90,92,91,89
India,2,2,8,10,12,14,16,27,37,55,66,58,56,61,67,71,67,63,60,57,57,58,58,57,58,65,66,67,69,73,76,79,79,82,84,86,86,88
Indonesia,,1,1,4,6,13,46,49,53,56,60,62,65,67,69,71,83,79,87,86,72,77,80,80,79,79,78,77,83,85,82,81,84,86,80,80,80,80
Iran,38,47,74,34,34,63,58,58,88,82,90,88,97,99,95,97,99,99,99,99,99,95,99,99,98,95,99,98,99,99,99,99,99,98,99,98,99,99
Iraq,16,16,16,16,63,86,91,95,91,87,83,79,74,70,72,73,77,80,79,87,83,80,76,73,69,69,63,74,71,78,74,80,70,70,67,63,68,77
Ireland,72,76,79,76,74,90,84,78,72,81,81,80,80,79,78,77,77,76,84,86,86,84,83,86,89,90,91,92,93,94,94,95,95,96,96,95,95,95
Israel,85,93,93,88,87,86,93,93,94,93,93,94,96,97,97,96,95,95,92,92,93,93,91,93,95,95,94,95,94,96,95,94,94,96,95,95,94,98
Italy,,,,90,90,92,95,81,85,75,98,98,97,97,98,98,97,98,96,97,97,96,96,97,97,97,97,97,96,96,96,96,96,96,95,93,94,94
Jamaica,34,37,72,47,57,58,74,82,83,84,87,86,74,80,93,91,92,90,88,90,95,99,99,99,97,99,99,94,91,90,94,93,96,86,93,91,99,93
Japan,,,95,95,95,95,95,95,94,93,90,94,94,91,94,97,99,97,97,98,98,81,89,97,97,95,95,97,98,99,98,96,99,99,99,99,99,97
Jordan,32,81,75,77,81,84,88,89,92,94,92,92,92,91,94,95,96,99,99,85,94,97,95,97,95,95,98,98,98,98,98,98,98,98,98,99,98,99
Kazakhstan,,,,,,,,,,,,,87,69,69,94,98,99,99,99,96,95,95,99,99,99,99,94,99,99,98,99,98,98,95,98,82,99
Kenya,,,,,57,70,72,77,82,83,84,86,87,89,92,94,87,81,81,81,80,77,83,75,73,70,77,76,88,89,90,97,94,94,93,83,88,81
Kiribati,10,20,40,25,23,15,10,5,62,86,97,76,90,99,81,58,82,93,83,76,90,88,96,79,61,74,86,93,74,84,95,95,92,91,79,80,82,90
Kuwait,70,79,84,90,89,91,91,93,94,94,71,80,89,97,99,99,99,99,94,94,94,99,99,99,98,99,99,99,99,99,98,99,98,99,94,99,99,99
Kyrgyzstan,,,,,,,,,,,,,91,69,84,96,94,99,97,99,99,99,99,98,98,98,93,94,95,96,88,94,94,97,95,97,97,93
Laos,,7,7,7,5,4,6,10,17,22,26,22,27,26,58,64,68,69,67,64,57,55,55,52,46,50,56,46,60,67,76,79,78,86,88,89,83,85
Latvia,,,,,,,,,,,,,95,83,98,98,93,92,94,95,96,97,98,98,99,99,96,94,94,94,92,92,91,94,92,95,98,98
Lebanon,,4,9,6,4,17,30,46,62,78,82,86,88,91,93,93,94,92,89,86,83,80,77,74,74,74,75,75,75,77,79,81,83,85,80,80,80,80
Lesotho,56,54,59,64,72,80,79,78,79,81,82,83,84,86,87,88,87,86,86,86,82,78,84,90,89,88,88,87,86,89,92,95,93,90,90,90,90,90
Liberia,,,,,,,,,,,,,,,,,,,,58,56,54,51,49,47,66,66,67,79,84,71,77,80,75,49,52,79,86
Libya,60,67,72,79,81,81,82,82,84,87,84,87,90,96,95,95,96,96,95,94,94,94,93,95,97,98,98,98,98,98,98,98,98,96,94,97,97,96
Lithuania,,,,,,,,,,,,,88,86,88,89,93,95,88,88,92,97,97,91,90,93,94,95,96,98,95,92,93,93,93,93,94,94
Luxembourg,,,,90,90,90,90,90,90,90,90,90,90,92,94,96,98,98,98,99,99,99,99,99,99,99,99,96,96,96,96,96,99,99,99,99,99,99
Madagascar,,,8,11,13,21,28,34,41,42,46,54,64,64,64,56,48,48,53,57,58,60,61,65,74,80,83,83,77,76,70,73,71,73,73,71,75,71
Malawi,28,57,58,58,56,55,53,78,72,90,93,96,98,91,84,90,82,94,93,77,73,86,79,85,94,94,99,88,92,93,86,97,95,89,87,88,83,87
Malaysia,67,69,66,55,55,56,62,68,67,84,90,91,91,91,94,98,97,98,97,97,98,95,94,96,95,96,95,97,97,97,96,96,97,97,97,99,98,99
Maldives,4,1,1,13,24,28,42,42,86,91,94,97,98,98,97,97,96,97,97,98,98,97,98,98,96,98,98,98,98,98,97,96,99,99,99,99,99,99
Mali,,,,,,8,6,8,18,26,42,34,38,46,39,49,53,52,52,53,53,56,65,67,70,78,79,76,74,77,77,72,65,57,62,62,62,62
Malta,,75,80,85,90,84,73,87,79,88,86,86,81,83,78,92,92,92,92,93,94,95,95,94,89,94,83,76,72,73,76,96,99,99,99,97,97,98
"Marshall Islands",,,,,,,,33,37,63,89,71,62,52,62,64,77,71,86,86,36,56,80,80,68,88,95,91,96,99,95,88,80,79,77,85,69,79
Mauritania,,18,19,20,21,16,11,10,29,28,33,28,39,44,50,56,50,28,16,61,58,75,91,75,68,71,68,75,73,63,52,73,80,80,81,67,73,81
Mauritius,90,83,96,91,87,91,97,96,87,86,86,91,88,89,89,93,90,90,90,85,88,93,88,99,98,97,98,96,99,99,99,98,98,98,98,98,96,95
Mexico,91,99,99,88,99,67,96,97,95,96,66,87,91,83,92,92,95,95,96,96,97,97,98,98,98,98,98,98,96,95,95,97,99,83,87,87,96,96
Micronesia,,,,,,,,56,71,78,85,78,79,79,81,81,78,75,79,76,85,79,84,88,82,94,81,79,88,81,85,83,81,81,76,71,68,72
Monaco,,,,,,,,,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Mongolia,86,86,86,86,86,86,86,86,87,87,87,78,54,79,77,86,90,92,94,94,94,95,98,98,99,99,98,99,95,96,96,99,99,98,99,99,99,99
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,90,92,95,91,93,95,94,94,91,89,89,87
Morocco,,,32,41,45,51,63,82,82,80,81,82,87,86,87,90,95,95,93,91,95,93,94,91,97,98,97,95,99,99,99,98,99,99,99,99,99,99
Mozambique,,32,43,38,32,25,32,38,38,47,46,46,50,49,55,57,55,58,62,65,69,72,76,67,69,71,73,75,74,74,73,73,73,78,79,80,80,80
"Burma (Myanmar)",,,1,3,2,3,4,10,22,45,88,66,71,73,77,84,87,90,90,88,88,77,84,86,92,86,82,84,85,90,90,90,87,76,88,89,89,89
Namibia,,,,,,,,,,,,70,70,79,80,73,71,69,74,72,80,79,78,82,81,86,74,81,83,83,83,85,84,89,88,92,84,83
Nauru,,,,,52,73,59,55,67,70,74,70,67,63,60,56,46,36,72,64,27,99,59,66,73,80,90,99,99,99,99,99,79,87,95,91,97,87
Nepal,,1,3,4,6,20,34,43,43,42,42,45,48,51,54,50,60,70,66,76,74,73,72,76,80,78,91,82,82,93,83,92,90,92,92,90,85,90
Netherlands,96,96,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,98,98,96,96,97,97,97,97,97,97,97,96,95,95,94
"New Zealand",,,,72,84,84,84,74,75,83,90,68,68,76,84,87,94,99,82,85,82,82,84,86,87,89,89,88,89,92,93,95,93,92,93,92,92,94
Nicaragua,21,24,71,83,81,88,94,99,91,87,90,85,84,84,84,83,83,83,83,85,85,89,85,86,80,87,88,93,97,99,99,99,99,99,99,99,99,99
Niger,,6,6,5,5,4,5,7,9,13,22,19,20,20,20,23,23,25,33,40,41,42,43,44,45,46,52,57,68,71,75,40,71,59,74,75,80,82
Nigeria,,,,,8,16,21,28,36,47,55,42,38,28,45,31,26,25,22,27,31,36,40,42,43,45,46,54,60,66,54,48,42,41,40,40,40,40
Niue,76,79,67,55,43,62,80,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94,99,85,99,98,99,99,99,98,98,99,99,99,99,99
Norway,,,,90,90,90,84,80,84,84,84,93,98,92,93,92,92,91,91,91,91,91,93,92,92,91,94,93,94,94,93,94,95,94,93,95,96,96
Oman,18,19,24,31,45,60,82,89,90,98,98,95,99,97,97,99,99,99,99,99,99,99,99,99,99,99,98,97,97,96,99,99,99,99,99,99,99,99
Pakistan,2,3,5,15,23,30,34,36,38,40,54,50,42,37,39,58,46,52,58,60,61,63,64,66,67,63,58,54,53,52,52,63,64,65,69,72,75,75
Palau,,,,,,,,98,99,99,99,98,99,99,34,99,99,90,96,96,96,98,99,99,98,98,98,94,92,48,68,98,89,99,95,89,98,97
Panama,70,74,60,84,65,71,72,74,70,72,86,82,77,83,83,86,92,99,97,94,99,95,99,95,92,88,98,84,86,85,95,91,87,81,80,72,86,81
"Papua New Guinea",29,32,27,27,32,34,42,46,48,52,68,68,57,56,60,68,58,35,49,51,51,52,54,62,59,61,67,72,76,79,72,69,81,80,64,74,73,60
Paraguay,14,26,39,47,68,99,90,81,70,59,64,68,73,66,70,68,72,75,79,83,86,90,87,86,92,96,98,95,85,82,89,89,89,89,93,93,93,92
Peru,16,20,23,22,28,47,50,45,61,60,73,74,85,88,87,89,93,91,93,96,93,90,95,95,81,66,94,93,93,92,92,91,94,71,78,88,88,83
Philippines,50,46,51,55,56,58,65,72,78,85,88,90,78,74,71,67,74,82,82,79,74,76,77,85,85,90,88,87,91,86,78,87,88,84,77,79,72,91
Poland,96,95,95,95,95,94,95,96,96,96,96,94,94,95,95,96,97,98,98,98,98,98,98,98,99,99,99,99,96,96,96,96,95,95,94,92,92,92
Portugal,18,16,18,20,21,29,78,81,81,88,89,95,93,92,96,96,95,93,96,96,96,96,96,96,95,93,97,96,97,96,97,97,98,98,98,98,98,98
Qatar,61,43,37,49,60,71,70,86,69,81,82,86,88,90,91,92,92,92,94,92,91,93,96,93,95,98,95,97,98,98,98,92,93,99,99,99,98,97
"South Korea",,62,70,78,80,80,80,93,91,88,74,79,84,88,93,99,91,81,71,85,99,99,99,94,90,96,98,91,92,95,95,98,99,99,99,98,98,98
Moldova,,,,,,,,,,,,,93,92,94,97,99,98,98,98,97,98,98,98,98,99,98,93,96,87,97,96,92,92,92,88,91,90
Romania,,,,,,92,90,90,92,95,92,90,92,91,94,94,97,97,98,98,99,99,98,97,97,97,97,96,95,95,94,89,92,88,94,89,89,82
Russia,,,,,,,,,,,,,69,82,68,77,87,91,94,97,97,97,97,97,98,98,98,98,98,98,98,97,98,98,97,97,97,96
Rwanda,,15,20,25,41,56,86,86,78,93,83,90,86,83,23,84,89,73,79,85,90,76,85,96,89,95,99,98,97,93,93,93,98,98,98,99,99,99
"Saint Kitts and Nevis",76,71,93,91,97,89,99,98,93,99,99,99,99,99,99,99,98,99,97,98,98,99,96,98,95,99,98,99,97,94,90,98,97,96,95,90,99,96
"Saint Lucia",58,65,81,80,84,44,88,86,87,93,90,95,96,97,93,98,88,98,88,89,70,99,90,91,91,95,85,99,96,95,97,99,98,99,99,99,95,80
"Saint Vincent and Grenadines",26,33,99,84,90,89,95,96,97,97,92,99,99,99,99,97,99,99,99,99,99,99,99,99,99,93,99,99,99,99,99,96,96,97,97,99,99,99
Samoa,29,66,87,89,96,92,94,93,90,66,88,79,91,92,93,94,95,99,99,97,98,88,91,90,35,66,49,63,69,61,74,79,82,82,78,81,77,71
"San Marino",,,,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,97,97,97,97,96,96,96,93,92,92,92,91,94,91,88,86,87,88,88
"Saint Thomas and Principe",,48,48,48,48,48,66,72,72,62,90,87,67,60,69,79,68,73,72,80,87,90,92,94,99,97,97,98,99,99,98,96,96,97,95,96,96,95
"Saudi Arabia",41,53,62,67,76,81,86,89,89,96,92,91,91,94,95,96,93,92,94,93,95,97,95,95,96,96,96,96,98,98,98,98,98,98,98,97,97,97
Senegal,,,,,,,55,56,58,56,53,51,59,58,57,80,70,65,60,60,49,49,60,73,87,84,89,93,87,83,76,89,83,89,85,85,92,91
Serbia,,,,,,,,,,,,,84,83,84,90,91,94,93,92,98,93,95,89,96,98,97,93,95,97,91,94,93,97,93,95,93,95
Seychelles,,16,57,98,95,86,94,89,94,97,99,98,96,96,96,97,99,98,99,99,98,96,99,99,99,99,99,99,99,99,99,99,98,98,99,97,96,97
"Sierra Leone",,,,,,,,,,,,,,,,,,,,61,46,38,54,66,69,67,65,63,75,81,84,88,91,92,83,86,84,90
Singapore,83,88,83,86,81,81,94,95,90,90,85,91,92,92,94,98,97,98,97,97,98,95,94,96,95,96,95,97,97,97,96,96,97,97,96,96,96,96
Slovakia,,,,,,,,,,,,,,,98,98,98,98,98,99,98,99,98,98,99,99,99,99,99,99,99,99,99,98,97,96,96,96
Slovenia,,,,,,,,,,,,,98,98,98,98,98,92,90,93,93,93,93,95,94,95,97,97,97,96,96,96,96,95,95,95,94,94
"Solomon Islands",43,34,22,27,41,36,41,41,63,66,75,74,73,71,65,69,98,70,71,88,88,88,78,84,89,90,99,89,88,90,84,97,88,85,78,85,89,80
Somalia,8,2,5,5,11,22,17,25,26,18,18,18,20,21,23,22,21,19,35,40,37,33,40,40,30,35,26,40,40,41,49,49,47,47,47,47,47,47
"South Africa",,,,80,76,77,70,75,70,73,76,82,79,81,73,72,73,72,72,71,71,71,70,70,73,75,79,79,77,75,72,69,65,73,77,75,66,66
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,64,50,44,41,31,31
Spain,,,,,91,73,75,82,94,94,94,88,85,88,88,88,91,94,94,95,95,95,98,99,97,96,98,96,97,96,97,97,97,96,97,97,97,94
"Sri Lanka",46,45,56,64,65,71,75,79,85,88,86,86,88,90,89,92,92,98,94,99,99,98,98,98,97,99,98,98,98,97,99,99,99,99,99,99,99,99
"West Bank and Gaza",,,,,,,,,,,,,,94,99,96,97,96,98,89,93,97,97,98,96,99,97,99,97,98,99,99,98,99,99,99,99,99
Sudan,1,1,2,3,4,8,14,27,41,61,62,62,53,51,46,48,56,55,48,64,62,66,60,69,74,78,77,84,85,81,90,93,92,93,94,93,93,95
Suriname,24,22,53,83,79,85,80,70,71,71,81,77,71,75,71,81,84,81,90,84,70,65,74,74,84,84,84,84,85,85,96,86,84,86,85,89,91,68
Sweden,97,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,97,97,97,97
Switzerland,,,,,,,98,97,95,98,98,95,95,95,95,95,95,95,92,95,95,95,95,95,95,94,94,94,96,96,96,96,96,96,96,96,96,96
Syria,13,14,15,21,25,29,86,42,59,94,91,89,89,90,89,89,88,87,88,87,86,83,86,85,84,83,83,83,83,83,83,60,47,50,52,50,48,53
Tajikistan,,,,,,,,,,,,,61,65,80,69,77,80,82,84,86,84,84,82,82,79,76,85,87,93,95,97,96,97,94,96,97,97
Thailand,19,31,39,46,56,61,66,71,80,84,92,90,84,89,93,96,94,95,96,97,97,97,97,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,99,91,95,94,97,94,95,96,91,97,96,95,98,92,96,96,96,95,97,97,98,96,92,95,91
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,38,55,57,55,62,70,79,78,72,66,83,82,76,75,75,75
