Country,2010,2011,2012,2013,2014,2015,2016,2017
Panama,35,35,35,35,35,35,35,35
"Papua New Guinea",66,66,66,66,66,66,66,66
Paraguay,67,67,67,67,67,67,67,67
Peru,67,67,67,67,67,67,67,67
Philippines,42,42,42,42,42,42,42,42
Poland,163,163,163,163,154,154,133,122
Portugal,59,59,59,59,59,47,47,41
"Puerto Rico",32,32,32,32,32,32,32,32
Qatar,90,90,90,90,90,90,90,90
Romania,177,177,172,172,172,152,182,182
Russia,281,281,281,281,175.2,175.2,160.5,160.5
Rwanda,34,34,34,34,34,34,34,34
"Saint Thomas and Principe",89,89,89,89,89,89,89,89
Samoa,34,34,34,34,34,34,34,34
"San Marino",,,,45,45,45,45,45
"Saudi Arabia",61,61,61,61,61,61,61,61
Senegal,125,125,125,125,114,114,81,75
Serbia,131,131,131,131,131,131,131,125
Seychelles,147,147,147,147,137,137,137,137
"Sierra Leone",489,113,113,113,113,82,82,82
Singapore,31,31,31,31,31,31,31,30
Slovakia,147,147,147,128,121,121,121,121
Slovenia,38,38,38,38,38,38,38,38
"Solomon Islands",160,160,160,160,160,53,53,53
Somalia,,,,,,,NA,NA
"South Africa",214,214,226,226,226,226,84,84
"South Sudan",,,,468,468,468,NA,NA
Spain,148,148,148,148,132,132,107,107
"Sri Lanka",126,126,126,126,104,104,100,100
"Saint Kitts and Nevis",18,18,18,18,18,18,18,18
"Saint Lucia",26,26,26,26,26,26,26,26
"Saint Vincent and Grenadines",52,52,52,52,52,52,52,52
Sudan,70,70,70,70,70,70,70,70
Suriname,128,113,113,113,113,113,113,113
Swaziland,137,137,137,137,137,137,137,137
Sweden,52,52,52,52,52,52,52,52
Switzerland,39,39,39,39,39,39,39,39
Syria,71,71,71,71,71,71,71,146
Taiwan,24,24,24,24,24,24,22,22
Tajikistan,193,193,193,178,178,133,133,133
Tanzania,382,109,109,109,109,109,109,109
Thailand,37,37,37,37,37,37,37,37
"Timor Leste",39,39,63,63,63,63,63,93
Togo,89,89,89,89,89,89,66,66
Tonga,50,50,42,42,42,42,42,42
"Trinidad and Tobago",61,61,61,61,61,61,61,61
Tunisia,65,65,65,65,65,65,65,65
Turkey,70,70,70,70,70,70,63,63
Uganda,150,90,132,132,132,132,86,66
Ukraine,288,288,288,288,263,263,263,281
"United Arab Emirates",55,55,55,40,35,35,32,28
"United Kingdom",108,108,108,104,79,79,79,79
"United States",60,60,60,60,89.6,89.6,89.6,89.6
Uruguay,48,48,48,48,48,48,48,48
Uzbekistan,98,98,98,89,89,89,89,89
Vanuatu,255,255,255,120,120,120,120,120
Venezuela,158,158,158,158,158,178,178,208
Vietnam,115,115,115,115,115,115,49,46
"West Bank and Gaza",64,64,64,64,64,64,64,47
Yemen,35,35,35,110,110,110,NA,NA
Zambia,117,117,117,117,117,117,117,117
Zimbabwe,125,125,125,106,106,106,106,106
