Country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kuwait,,,,,,,,,,,,,,,,,,,3.400000095,4.26,5.12,5.98,6.84,7.7,8.56,9.42,10.28,11.14,12,6.85,1.700000048,1.8,1.9,2,2.1,2.200000048,2.200000048,2.599999905,3.400000095,3.299999952,2.799999952,3.599999905,2.200000048,1.799999952,2.400000095,1.700000048,2.400000095,2.700000048,2.400000095,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.2,5.9,4.6,3.299999952,3.3111,3.3222,3.3333,3.3444,3.3556,3.3667,3.3778,3.3889,3.400000095,2.7,2,1.299999952,1.8,2.3,2.799999952,2.799999952,2.799999952,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80000019,12.30000019,13.1667,14.0333,14.9,15.7667,16.6333,17.5,15.8,14.1,12.4,10.7,9,7.300000191,7.12,6.94,6.76,6.58,6.400000095,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.599999905,3.975,4.35,4.725,5.1,5.475,5.85,6.225,6.599999905,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200000048,22.39999962,20.1571,17.9143,15.6714,13.4286,11.1857,8.9429,6.699999809,6.425,6.15,5.875,5.599999905,5.26,4.92,4.58,4.24,3.900000095,3.68,3.46,3.24,3.02,2.799999952,,
Liberia,,,,,,,,,,,4.300000191,4.4292,4.5583,4.6875,4.8167,4.9458,5.075,5.2042,5.3333,5.4625,5.5917,5.7208,5.85,5.9792,6.1083,6.2375,6.3667,6.4958,6.625,6.7542,6.8833,7.0125,7.1417,7.2708,7.400000095,7.4571,7.5143,7.5714,7.6286,7.6857,7.7429,7.800000191,7.4333,7.0667,6.7,6.3333,5.9667,5.599999905,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.700000048,3.9333,4.1667,4.4,4.6333,4.8667,5.1,5.3333,5.5667,5.8,6.0333,6.2667,6.5,,,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700000048,1.84,1.98,2.12,2.26,2.400000095,3.400000095,3.1333,2.8667,2.6,2.3333,2.0667,1.799999952,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,13.80000019,12.875,11.95,11.025,10.1,9.175,8.25,7.325,6.400000095,16.39999962,12.7,9,9.6,10.19999981,10.9143,11.6286,12.3429,13.0571,13.7714,14.4857,15.19999981,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,2.200000048,3.700000048,3.99,4.28,4.57,4.86,5.15,5.44,5.73,6.02,6.31,6.599999905,7.2333,7.8667,8.5,9.3333,10.1667,11,8.9,6.800000191,6.675,6.55,6.425,6.300000191,5.25,4.199999809,3.4,2.6,1.799999952,4.099999905,4.025,3.95,3.875,3.799999952,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30000019,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,7.699999809,8.4636,9.2273,9.9909,10.7545,11.5182,12.2818,13.0455,13.8091,14.5727,15.3364,16.10000038,18.89999962,20.35,21.79999924,19.7,17.6,15.5,13.39999962,13,12.6,12.2,11.8,11.4,11,10.6,10.19999981,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,14.30000019,15.8,17.3,18.8,20.3,21.8,23.3,24.8,26.3,27.79999924,24.76,21.72,18.68,15.64,12.60000038,13.14,13.68,14.22,14.76,15.30000019,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,19.10000038,18.25,17.39999962,15.95,14.5,13.05,11.6,10.15,8.699999809,10.35,12,13.65,15.30000019,15.0286,14.7571,14.4857,14.2143,13.9429,13.6714,13.39999962,8.100000381,10.0333,11.9667,13.89999962,11.60000038,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,18.29999924,18.04,17.78,17.52,17.26,17,16.74,16.48,16.22,15.96,15.69999981,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,7.400000095,6.099999905,6.4429,6.7857,7.1286,7.4714,7.8143,8.1571,8.5,5.4,2.299999952,2.2625,2.225,2.1875,2.15,2.1125,2.075,2.0375,2,1.9333,1.8667,1.8,1.7333,1.6667,1.600000024,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.800000191,5.2429,4.6857,4.1286,3.5714,3.0143,2.4571,1.899999976,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,2.299999952,2.5857,2.8714,3.1571,3.4429,3.7286,4.0143,4.300000191,7.099999905,5.475,3.85,2.225,0.600000024,2.700000048,2.52,2.34,2.16,1.98,1.799999952,1.5333,1.2667,1,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.199999809,4.025,3.85,3.675,3.5,3.325,3.15,2.975,2.799999952,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,3.900000095,3.64,3.38,3.12,2.86,2.599999905,3.02,3.44,3.86,4.28,4.699999809,5.7167,6.7333,7.75,8.7667,9.7833,10.80000019,9.7375,8.675,7.6125,6.55,5.4875,4.425,3.3625,2.299999952,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600000381,11.05,12.5,11.075,9.65,8.225,6.800000191,6.1,5.400000095,5.16,4.92,4.68,4.44,4.199999809,4.8333,5.4667,6.099999905,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,12.89999962,12.9286,12.9571,12.9857,13.0143,13.0429,13.0714,13.10000038,11.8667,10.6333,9.399999619,9.5333,9.6667,9.800000191,10.1,10.4,10.69999981,10.69999981,10.69999981,10.69999981,10.2333,9.7667,9.3,8.8333,8.3667,7.900000095,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600000381,9.65,9.7,9.75,9.8,9.85,9.9,9.95,10,9.6429,9.2857,8.9286,8.5714,8.2143,7.8571,7.5,7.4333,7.3667,7.3,7.2333,7.1667,7.099999905,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Nepal,,,,,,,,,,15.19999981,14.815,14.43,14.045,13.66,13.275,12.89,12.505,12.12,11.735,11.35,10.965,10.58,10.195,9.81,9.425,9.04,8.655,8.27,7.885,7.5,15.10000038,11.5,7.900000095,9.0333,10.1667,11.30000019,11.58,11.86,12.14,12.42,12.69999981,12.4,12.1,11.8,11.5,11.19999981,11.2333,11.2667,11.30000019,,
Netherlands,,,,,,,,,,,,,,,2.700000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,0.699999988,0.8545,1.0091,1.1636,1.3182,1.4727,1.6273,1.7818,1.9364,2.0909,2.2455,2.400000095,2.58,2.76,2.94,3.12,3.299999952,2.9667,2.6333,2.299999952,1.6333,0.9667,0.300000012,0.9,1.5,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,25.29999924,24.3857,23.4714,22.5571,21.6429,20.7286,19.8143,18.89999962,20,21.1,22.2,23.3,24.4,25.5,20.85,16.20000076,15.5667,14.9333,14.3,13.6667,13.0333,12.39999962,13.45,14.5,15.55,16.6,17.65,18.70000076,,,,
Nigeria,,,,,,,,,,,,,,,,,,22.70000076,21.1429,19.5857,18.0286,16.4714,14.9143,13.3571,11.80000019,14.7333,17.6667,20.60000038,20.1,19.6,19.1,18.6,18.1,17.60000038,16,14.4,12.8,11.19999981,11.75,12.3,12.85,13.39999962,14.39999962,13,11.6,10.19999981,14.15,18.10000038,7.900000095,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,8.800000191,8.2,7.6,7,7.06,7.12,7.18,7.24,7.300000191,7.28,7.26,7.24,7.22,7.2,7.18,7.16,7.14,7.12,7.099999905,7.18,7.26,7.34,7.42,7.5,,
