Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Pakistan,2.28350107,2.301264434,2.29428462,2.269217907,2.276545351,2.381116718,2.251318242,2.226338083,2.323605933
Panama,1.841466488,2.012490468,2.045599184,2.20388312,2.123888467,2.041131789,2.246345561,2.407010883,2.395322817
Paraguay,1.251575138,1.286004384,1.289312624,1.473099953,1.677779004,1.633252711,1.57895771,1.547686571,1.421839484
Peru,1.407589185,1.672134894,2.007792709,2.065825708,1.900049857,1.851727047,1.85963817,1.953103643,1.893630068
Philippines,1.548016308,1.654447844,1.549441695,1.558673929,1.635656707,1.844516423,2.363566433,2.501093705,2.625846216
Poland,2.296708543,2.262309685,1.879225097,2.077823746,2.486949677,2.503388549,2.412072911,2.350903679,2.395904329
Portugal,3.453296703,3.333154346,3.25430761,3.408915396,3.157111384,2.738626569,2.823689791,2.824669284,3.040766891
"Puerto Rico",,2.271186441,2.468626647,2.68182434,2.531939917,2.388230553,2.708563604,3.017314605,3.186443801
Qatar,4.885127983,5.265813282,5.59603527,5.96115938,6.068819052,5.976181,6.119307671,6.139156323,6.110122915
Romania,1.77858409,1.745157368,1.965837722,1.959079596,1.966382162,1.938752334,1.752790155,1.797502913,2.316593515
Russia,1.681745775,1.873529431,1.913452669,2.316747348,2.895382523,2.678578607,2.488257334,2.696462023,2.983382656
Rwanda,,,,,5.442502,5.533054214,5.600266,5.416886007,5.311347
"Saudi Arabia",,4.168421053,4.619995339,4.922643222,5.441032797,5.794261,5.645143462,5.300736992,5.149217608
Senegal,,1.721518987,2.201268454,2.195164718,2.114311383,2.020429379,1.957332634,2.614127553,3.083712847
Serbia,,1.941860465,1.941293685,2.106691621,2.145132692,2.049042412,2.04834015,2.115134382,2.132904696
Seychelles,,,,,,,3.605287,3.839013705,3.449937741
"Sierra Leone",,,,,,,2.644668,2.77138745,2.64547186
Singapore,6.375362505,6.352552947,6.475069017,6.445982229,6.415900209,6.396833466,6.255103545,6.187127168,6.166626478
Slovakia,1.944680817,2.078937729,1.875471876,1.740414604,1.68048168,1.744712693,1.733563329,1.846560615,2.073980532
Slovenia,2.92042298,3.271510333,3.225076609,3.363230938,2.89405163,2.281254,2.065333513,1.929430533,1.884510958
"South Africa",3.048946886,3.008829767,3.16495855,2.842606139,2.374506059,2.3992381,2.443831679,2.360224828,2.579297716
Spain,3.083058378,3.131890499,3.559889702,3.247522841,2.645203821,2.646764184,2.602188185,2.34830434,2.160106106
"Sri Lanka",1.800088366,2.358188436,2.403085876,2.276267527,2.650796329,2.474881386,2.133049,2.468412173,2.692939678
Suriname,,,,,,2.132706,2.141261318,2.129865091,1.980316754
Swaziland,,,,,2.781958,2.472089968,2.378466251,3.034274819,3.25101045
Sweden,4.302205882,5.075178253,5.733742069,5.803184686,5.818509453,5.789985148,5.467058728,5.551174315,5.306617755
Switzerland,5.323603495,5.505308967,5.749118583,5.6337197,5.204154831,5.058153101,5.166358454,5.177085,5.323175638
Syria,,2.854166667,3.177028657,3.337788707,3.334023906,3.433434789,,,
