Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Reunion,2.85,2.83,2.81,2.79,2.77,2.75,2.744,2.738,2.732,2.726,2.72,2.746,2.772,2.798,2.824,2.85,2.984,3.118,3.252,3.386,3.52,3.684,3.848,4.012,4.176,4.34,4.49,4.64,4.79,4.94,5.09,5.21,5.33,5.45,5.57,5.69,5.794,5.898,6.002,6.106,6.21,6.302,6.394,6.486,6.578,6.67,6.752,6.834,6.916,6.998,7.08,7.154,7.228,7.302,7.376,7.45,7.54,7.63,7.72,7.81,7.9
Romania,4.38,4.442,4.504,4.566,4.628,4.69,4.788,4.886,4.984,5.082,5.18,5.262,5.344,5.426,5.508,5.59,5.812,6.034,6.256,6.478,6.7,6.892,7.084,7.276,7.468,7.66,7.77,7.88,7.99,8.1,8.21,8.324,8.438,8.552,8.666,8.78,8.888,8.996,9.104,9.212,9.32,9.396,9.472,9.548,9.624,9.7,9.768,9.836,9.904,9.972,10.04,10.094,10.148,10.202,10.256,10.31,10.382,10.454,10.526,10.598,10.67
Russia,3.83,3.946,4.062,4.178,4.294,4.41,4.462,4.514,4.566,4.618,4.67,4.804,4.938,5.072,5.206,5.34,5.46,5.58,5.7,5.82,5.94,6.09,6.24,6.39,6.54,6.69,6.87,7.05,7.23,7.41,7.59,7.786,7.982,8.178,8.374,8.57,8.748,8.926,9.104,9.282,9.46,9.556,9.652,9.748,9.844,9.94,10.132,10.324,10.516,10.708,10.9,10.96,11.02,11.08,11.14,11.2,11.266,11.332,11.398,11.464,11.53
Rwanda,0.32,0.346,0.372,0.398,0.424,0.45,0.518,0.586,0.654,0.722,0.79,0.82,0.85,0.88,0.91,0.94,0.984,1.028,1.072,1.116,1.16,1.216,1.272,1.328,1.384,1.44,1.49,1.54,1.59,1.64,1.69,1.728,1.766,1.804,1.842,1.88,1.94,2,2.06,2.12,2.18,2.276,2.372,2.468,2.564,2.66,2.774,2.888,3.002,3.116,3.23,3.35,3.47,3.59,3.71,3.83,3.936,4.042,4.148,4.254,4.36
"Saudi Arabia",2.31,2.35,2.39,2.43,2.47,2.51,2.55,2.59,2.63,2.67,2.71,2.778,2.846,2.914,2.982,3.05,3.084,3.118,3.152,3.186,3.22,3.322,3.424,3.526,3.628,3.73,3.836,3.942,4.048,4.154,4.26,4.442,4.624,4.806,4.988,5.17,5.304,5.438,5.572,5.706,5.84,5.94,6.04,6.14,6.24,6.34,6.488,6.636,6.784,6.932,7.08,7.202,7.324,7.446,7.568,7.69,7.858,8.026,8.194,8.362,8.53
Senegal,1.76,1.776,1.792,1.808,1.824,1.84,1.888,1.936,1.984,2.032,2.08,2.086,2.092,2.098,2.104,2.11,2.146,2.182,2.218,2.254,2.29,2.322,2.354,2.386,2.418,2.45,2.458,2.466,2.474,2.482,2.49,2.478,2.466,2.454,2.442,2.43,2.41,2.39,2.37,2.35,2.33,2.304,2.278,2.252,2.226,2.2,2.144,2.088,2.032,1.976,1.92,1.85,1.78,1.71,1.64,1.57,1.804,2.038,2.272,2.506,2.74
Serbia,4.32,4.416,4.512,4.608,4.704,4.8,4.836,4.872,4.908,4.944,4.98,5.04,5.1,5.16,5.22,5.28,5.386,5.492,5.598,5.704,5.81,5.95,6.09,6.23,6.37,6.51,6.62,6.73,6.84,6.95,7.06,7.178,7.296,7.414,7.532,7.65,7.698,7.746,7.794,7.842,7.89,8.026,8.162,8.298,8.434,8.57,8.656,8.742,8.828,8.914,9,9.212,9.424,9.636,9.848,10.06,10.218,10.376,10.534,10.692,10.85
"Sierra Leone",0.41,0.42,0.43,0.44,0.45,0.46,0.468,0.476,0.484,0.492,0.5,0.534,0.568,0.602,0.636,0.67,0.704,0.738,0.772,0.806,0.84,0.892,0.944,0.996,1.048,1.1,1.16,1.22,1.28,1.34,1.4,1.47,1.54,1.61,1.68,1.75,1.818,1.886,1.954,2.022,2.09,2.164,2.238,2.312,2.386,2.46,2.524,2.588,2.652,2.716,2.78,2.868,2.956,3.044,3.132,3.22,3.422,3.624,3.826,4.028,4.23
Singapore,2.71,2.788,2.866,2.944,3.022,3.1,3.22,3.34,3.46,3.58,3.7,3.832,3.964,4.096,4.228,4.36,4.528,4.696,4.864,5.032,5.2,5.174,5.148,5.122,5.096,5.07,5.108,5.146,5.184,5.222,5.26,5.402,5.544,5.686,5.828,5.97,6.108,6.246,6.384,6.522,6.66,6.924,7.188,7.452,7.716,7.98,8.214,8.448,8.682,8.916,9.15,9.086,9.022,8.958,8.894,8.83,9.226,9.622,10.018,10.414,10.81
Slovakia,8.13,8.16,8.19,8.22,8.25,8.28,8.304,8.328,8.352,8.376,8.4,8.52,8.64,8.76,8.88,9,9.1,9.2,9.3,9.4,9.5,9.574,9.648,9.722,9.796,9.87,9.924,9.978,10.032,10.086,10.14,10.174,10.208,10.242,10.276,10.31,10.386,10.462,10.538,10.614,10.69,10.8,10.91,11.02,11.13,11.24,11.232,11.224,11.216,11.208,11.2,11.404,11.608,11.812,12.016,12.22,12.34,12.46,12.58,12.7,12.82
Slovenia,5.86,5.942,6.024,6.106,6.188,6.27,6.302,6.334,6.366,6.398,6.43,6.58,6.73,6.88,7.03,7.18,7.31,7.44,7.57,7.7,7.83,7.982,8.134,8.286,8.438,8.59,8.686,8.782,8.878,8.974,9.07,9.27,9.47,9.67,9.87,10.07,10.21,10.35,10.49,10.63,10.77,10.826,10.882,10.938,10.994,11.05,11.11,11.17,11.23,11.29,11.35,11.398,11.446,11.494,11.542,11.59,11.65,11.71,11.77,11.83,11.89
"South Africa",4.03,4.088,4.146,4.204,4.262,4.32,4.334,4.348,4.362,4.376,4.39,4.402,4.414,4.426,4.438,4.45,4.482,4.514,4.546,4.578,4.61,4.654,4.698,4.742,4.786,4.83,4.886,4.942,4.998,5.054,5.11,5.11,5.11,5.11,5.11,5.11,5.45,5.79,6.13,6.47,6.81,7.106,7.402,7.698,7.994,8.29,8.168,8.046,7.924,7.802,7.68,7.874,8.068,8.262,8.456,8.65,8.858,9.066,9.274,9.482,9.69
Spain,3.83,3.83,3.83,3.83,3.83,3.83,3.9,3.97,4.04,4.11,4.18,4.24,4.3,4.36,4.42,4.48,4.702,4.924,5.146,5.368,5.59,5.654,5.718,5.782,5.846,5.91,6.09,6.27,6.45,6.63,6.81,6.826,6.842,6.858,6.874,6.89,6.916,6.942,6.968,6.994,7.02,7.238,7.456,7.674,7.892,8.11,8.274,8.438,8.602,8.766,8.93,9.168,9.406,9.644,9.882,10.12,10.15,10.18,10.21,10.24,10.27
"Sri Lanka",3.4,3.46,3.52,3.58,3.64,3.7,3.756,3.812,3.868,3.924,3.98,4.05,4.12,4.19,4.26,4.33,4.74,5.15,5.56,5.97,6.38,6.448,6.516,6.584,6.652,6.72,6.768,6.816,6.864,6.912,6.96,7.092,7.224,7.356,7.488,7.62,7.798,7.976,8.154,8.332,8.51,8.678,8.846,9.014,9.182,9.35,9.528,9.706,9.884,10.062,10.24,10.254,10.268,10.282,10.296,10.31,10.26,10.21,10.16,10.11,10.06
Sudan,0.32,0.336,0.352,0.368,0.384,0.4,0.416,0.432,0.448,0.464,0.48,0.502,0.524,0.546,0.568,0.59,0.618,0.646,0.674,0.702,0.73,0.776,0.822,0.868,0.914,0.96,1.022,1.084,1.146,1.208,1.27,1.358,1.446,1.534,1.622,1.71,1.798,1.886,1.974,2.062,2.15,2.224,2.298,2.372,2.446,2.52,2.58,2.64,2.7,2.76,2.82,2.886,2.952,3.018,3.084,3.15,3.162,3.174,3.186,3.198,3.21
Swaziland,1.23,1.28,1.33,1.38,1.43,1.48,1.528,1.576,1.624,1.672,1.72,1.788,1.856,1.924,1.992,2.06,2.226,2.392,2.558,2.724,2.89,3.074,3.258,3.442,3.626,3.81,3.936,4.062,4.188,4.314,4.44,4.568,4.696,4.824,4.952,5.08,5.082,5.084,5.086,5.088,5.09,5.072,5.054,5.036,5.018,5,4.888,4.776,4.664,4.552,4.44,4.15,3.86,3.57,3.28,2.99,3.404,3.818,4.232,4.646,5.06
Sweden,6.75,6.804,6.858,6.912,6.966,7.02,7.128,7.236,7.344,7.452,7.56,7.64,7.72,7.8,7.88,7.96,8.058,8.156,8.254,8.352,8.45,8.608,8.766,8.924,9.082,9.24,9.364,9.488,9.612,9.736,9.86,9.928,9.996,10.064,10.132,10.2,10.276,10.352,10.428,10.504,10.58,10.7,10.82,10.94,11.06,11.18,11.22,11.26,11.3,11.34,11.38,11.466,11.552,11.638,11.724,11.81,11.776,11.742,11.708,11.674,11.64
Switzerland,8.84,8.864,8.888,8.912,8.936,8.96,8.976,8.992,9.008,9.024,9.04,9.104,9.168,9.232,9.296,9.36,9.432,9.504,9.576,9.648,9.72,9.844,9.968,10.092,10.216,10.34,10.484,10.628,10.772,10.916,11.06,10.91,10.76,10.61,10.46,10.31,10.25,10.19,10.13,10.07,10.01,9.974,9.938,9.902,9.866,9.83,9.82,9.81,9.8,9.79,9.78,9.934,10.088,10.242,10.396,10.55,11.044,11.538,12.032,12.526,13.02
Syria,0.85,0.876,0.902,0.928,0.954,0.98,1.026,1.072,1.118,1.164,1.21,1.274,1.338,1.402,1.466,1.53,1.632,1.734,1.836,1.938,2.04,2.172,2.304,2.436,2.568,2.7,2.832,2.964,3.096,3.228,3.36,3.502,3.644,3.786,3.928,4.07,4.15,4.23,4.31,4.39,4.47,4.488,4.506,4.524,4.542,4.56,4.564,4.568,4.572,4.576,4.58,4.844,5.108,5.372,5.636,5.9,6.06,6.22,6.38,6.54,6.7
Taiwan,3.03,3.09,3.15,3.21,3.27,3.33,3.406,3.482,3.558,3.634,3.71,3.79,3.87,3.95,4.03,4.11,4.272,4.434,4.596,4.758,4.92,5.098,5.276,5.454,5.632,5.81,5.996,6.182,6.368,6.554,6.74,6.872,7.004,7.136,7.268,7.4,7.534,7.668,7.802,7.936,8.07,8.21,8.35,8.49,8.63,8.77,8.932,9.094,9.256,9.418,9.58,9.772,9.964,10.156,10.348,10.54,10.65,10.76,10.87,10.98,11.09
Tajikistan,4.13,4.22,4.31,4.4,4.49,4.58,4.714,4.848,4.982,5.116,5.25,5.356,5.462,5.568,5.674,5.78,5.958,6.136,6.314,6.492,6.67,6.872,7.074,7.276,7.478,7.68,7.884,8.088,8.292,8.496,8.7,8.848,8.996,9.144,9.292,9.44,9.536,9.632,9.728,9.824,9.92,10.03,10.14,10.25,10.36,10.47,10.502,10.534,10.566,10.598,10.63,10.58,10.53,10.48,10.43,10.38,10.364,10.348,10.332,10.316,10.3
Thailand,2.04,2.094,2.148,2.202,2.256,2.31,2.358,2.406,2.454,2.502,2.55,2.496,2.442,2.388,2.334,2.28,2.326,2.372,2.418,2.464,2.51,2.61,2.71,2.81,2.91,3.01,3.136,3.262,3.388,3.514,3.64,3.742,3.844,3.946,4.048,4.15,4.29,4.43,4.57,4.71,4.85,4.98,5.11,5.24,5.37,5.5,5.53,5.56,5.59,5.62,5.65,5.926,6.202,6.478,6.754,7.03,7.222,7.414,7.606,7.798,7.99
Togo,0.34,0.352,0.364,0.376,0.388,0.4,0.418,0.436,0.454,0.472,0.49,0.514,0.538,0.562,0.586,0.61,0.658,0.706,0.754,0.802,0.85,1.044,1.238,1.432,1.626,1.82,2.016,2.212,2.408,2.604,2.8,2.924,3.048,3.172,3.296,3.42,3.534,3.648,3.762,3.876,3.99,4.054,4.118,4.182,4.246,4.31,4.398,4.486,4.574,4.662,4.75,4.832,4.914,4.996,5.078,5.16,5.226,5.292,5.358,5.424,5.49
Tonga,5.94,5.974,6.008,6.042,6.076,6.11,6.158,6.206,6.254,6.302,6.35,6.418,6.486,6.554,6.622,6.69,6.77,6.85,6.93,7.01,7.09,7.206,7.322,7.438,7.554,7.67,7.738,7.806,7.874,7.942,8.01,8.004,7.998,7.992,7.986,7.98,8.138,8.296,8.454,8.612,8.77,8.882,8.994,9.106,9.218,9.33,9.338,9.346,9.354,9.362,9.37,9.362,9.354,9.346,9.338,9.33,9.628,9.926,10.224,10.522,10.82
"Trinidad and Tobago",5,5.064,5.128,5.192,5.256,5.32,5.386,5.452,5.518,5.584,5.65,5.716,5.782,5.848,5.914,5.98,6.064,6.148,6.232,6.316,6.4,6.506,6.612,6.718,6.824,6.93,7.04,7.15,7.26,7.37,7.48,7.58,7.68,7.78,7.88,7.98,8.076,8.172,8.268,8.364,8.46,8.568,8.676,8.784,8.892,9,9.102,9.204,9.306,9.408,9.51,9.624,9.738,9.852,9.966,10.08,10.19,10.3,10.41,10.52,10.63
Tunisia,0.65,0.676,0.702,0.728,0.754,0.78,0.808,0.836,0.864,0.892,0.92,0.996,1.072,1.148,1.224,1.3,1.398,1.496,1.594,1.692,1.79,1.922,2.054,2.186,2.318,2.45,2.61,2.77,2.93,3.09,3.25,3.34,3.43,3.52,3.61,3.7,3.838,3.976,4.114,4.252,4.39,4.526,4.662,4.798,4.934,5.07,5.236,5.402,5.568,5.734,5.9,6.076,6.252,6.428,6.604,6.78,6.92,7.06,7.2,7.34,7.48
Turkey,1.11,1.164,1.218,1.272,1.326,1.38,1.456,1.532,1.608,1.684,1.76,1.824,1.888,1.952,2.016,2.08,2.154,2.228,2.302,2.376,2.45,2.544,2.638,2.732,2.826,2.92,3.046,3.172,3.298,3.424,3.55,3.756,3.962,4.168,4.374,4.58,4.666,4.752,4.838,4.924,5.01,5.096,5.182,5.268,5.354,5.44,5.572,5.704,5.836,5.968,6.1,6.174,6.248,6.322,6.396,6.47,6.586,6.702,6.818,6.934,7.05
Uganda,0.89,0.916,0.942,0.968,0.994,1.02,1.048,1.076,1.104,1.132,1.16,1.176,1.192,1.208,1.224,1.24,1.296,1.352,1.408,1.464,1.52,1.602,1.684,1.766,1.848,1.93,2.002,2.074,2.146,2.218,2.29,2.404,2.518,2.632,2.746,2.86,2.984,3.108,3.232,3.356,3.48,3.578,3.676,3.774,3.872,3.97,4.042,4.114,4.186,4.258,4.33,4.458,4.586,4.714,4.842,4.97,5.116,5.262,5.408,5.554,5.7
Ukraine,4.37,4.484,4.598,4.712,4.826,4.94,5.03,5.12,5.21,5.3,5.39,5.486,5.582,5.678,5.774,5.87,5.948,6.026,6.104,6.182,6.26,6.412,6.564,6.716,6.868,7.02,7.178,7.336,7.494,7.652,7.81,8.012,8.214,8.416,8.618,8.82,8.962,9.104,9.246,9.388,9.53,9.654,9.778,9.902,10.026,10.15,10.21,10.27,10.33,10.39,10.45,10.554,10.658,10.762,10.866,10.97,11.006,11.042,11.078,11.114,11.15
"United Arab Emirates",0.79,0.86,0.93,1,1.07,1.14,1.214,1.288,1.362,1.436,1.51,1.628,1.746,1.864,1.982,2.1,2.188,2.276,2.364,2.452,2.54,2.63,2.72,2.81,2.9,2.99,3.17,3.35,3.53,3.71,3.89,4.092,4.294,4.496,4.698,4.9,5.142,5.384,5.626,5.868,6.11,6.39,6.67,6.95,7.23,7.51,7.694,7.878,8.062,8.246,8.43,8.522,8.614,8.706,8.798,8.89,8.926,8.962,8.998,9.034,9.07
"United Kingdom",6.39,6.434,6.478,6.522,6.566,6.61,6.66,6.71,6.76,6.81,6.86,6.98,7.1,7.22,7.34,7.46,7.55,7.64,7.73,7.82,7.91,7.978,8.046,8.114,8.182,8.25,8.282,8.314,8.346,8.378,8.41,8.464,8.518,8.572,8.626,8.68,8.764,8.848,8.932,9.016,9.1,9.168,9.236,9.304,9.372,9.44,9.536,9.632,9.728,9.824,9.92,10.156,10.392,10.628,10.864,11.1,11.328,11.556,11.784,12.012,12.24
Tanzania,1.21,1.222,1.234,1.246,1.258,1.27,1.346,1.422,1.498,1.574,1.65,1.686,1.722,1.758,1.794,1.83,1.918,2.006,2.094,2.182,2.27,2.328,2.386,2.444,2.502,2.56,2.696,2.832,2.968,3.104,3.24,3.326,3.412,3.498,3.584,3.67,3.754,3.838,3.922,4.006,4.09,4.148,4.206,4.264,4.322,4.38,4.45,4.52,4.59,4.66,4.73,4.806,4.882,4.958,5.034,5.11,5.25,5.39,5.53,5.67,5.81
"United States",8.4,8.47,8.54,8.61,8.68,8.75,8.834,8.918,9.002,9.086,9.17,9.342,9.514,9.686,9.858,10.03,10.18,10.33,10.48,10.63,10.78,10.916,11.052,11.188,11.324,11.46,11.574,11.688,11.802,11.916,12.03,12.04,12.05,12.06,12.07,12.08,12.104,12.128,12.152,12.176,12.2,12.278,12.356,12.434,12.512,12.59,12.6,12.61,12.62,12.63,12.64,12.684,12.728,12.772,12.816,12.86,12.924,12.988,13.052,13.116,13.18
Uruguay,4.34,4.392,4.444,4.496,4.548,4.6,4.654,4.708,4.762,4.816,4.87,4.936,5.002,5.068,5.134,5.2,5.3,5.4,5.5,5.6,5.7,5.792,5.884,5.976,6.068,6.16,6.268,6.376,6.484,6.592,6.7,6.808,6.916,7.024,7.132,7.24,7.282,7.324,7.366,7.408,7.45,7.474,7.498,7.522,7.546,7.57,7.67,7.77,7.87,7.97,8.07,8.048,8.026,8.004,7.982,7.96,8.002,8.044,8.086,8.128,8.17
Venezuela,1.63,1.7,1.77,1.84,1.91,1.98,2.06,2.14,2.22,2.3,2.38,2.436,2.492,2.548,2.604,2.66,2.784,2.908,3.032,3.156,3.28,3.486,3.692,3.898,4.104,4.31,4.502,4.694,4.886,5.078,5.27,5.24,5.21,5.18,5.15,5.12,5.09,5.06,5.03,5,4.97,5.148,5.326,5.504,5.682,5.86,6.03,6.2,6.37,6.54,6.71,6.87,7.03,7.19,7.35,7.51,7.69,7.87,8.05,8.23,8.41
Vietnam,2.47,2.472,2.474,2.476,2.478,2.48,2.56,2.64,2.72,2.8,2.88,2.976,3.072,3.168,3.264,3.36,3.482,3.604,3.726,3.848,3.97,4.088,4.206,4.324,4.442,4.56,4.68,4.8,4.92,5.04,5.16,5.056,4.952,4.848,4.744,4.64,4.532,4.424,4.316,4.208,4.1,4.25,4.4,4.55,4.7,4.85,5.008,5.166,5.324,5.482,5.64,5.796,5.952,6.108,6.264,6.42,6.566,6.712,6.858,7.004,7.15
Yemen,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.054,0.056,0.058,0.06,0.066,0.072,0.078,0.084,0.09,0.118,0.146,0.174,0.202,0.23,0.306,0.382,0.458,0.534,0.61,0.728,0.846,0.964,1.082,1.2,1.294,1.388,1.482,1.576,1.67,1.804,1.938,2.072,2.206,2.34,2.472,2.604,2.736,2.868,3,3.136,3.272,3.408,3.544,3.68
Zambia,1.77,1.808,1.846,1.884,1.922,1.96,2.02,2.08,2.14,2.2,2.26,2.322,2.384,2.446,2.508,2.57,2.652,2.734,2.816,2.898,2.98,3.114,3.248,3.382,3.516,3.65,3.754,3.858,3.962,4.066,4.17,4.258,4.346,4.434,4.522,4.61,4.666,4.722,4.778,4.834,4.89,5.114,5.338,5.562,5.786,6.01,6.04,6.07,6.1,6.13,6.16,6.212,6.264,6.316,6.368,6.42,6.6,6.78,6.96,7.14,7.32
Zimbabwe,1.58,1.64,1.7,1.76,1.82,1.88,1.952,2.024,2.096,2.168,2.24,2.294,2.348,2.402,2.456,2.51,2.61,2.71,2.81,2.91,3.01,3.098,3.186,3.274,3.362,3.45,3.538,3.626,3.714,3.802,3.89,4.046,4.202,4.358,4.514,4.67,4.882,5.094,5.306,5.518,5.73,5.924,6.118,6.312,6.506,6.7,6.76,6.82,6.88,6.94,7,7.094,7.188,7.282,7.376,7.47,7.498,7.526,7.554,7.582,7.61
