Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cameroon,0.7,0.736,0.772,0.808,0.844,0.88,0.92,0.96,1,1.04,1.08,1.15,1.22,1.29,1.36,1.43,1.506,1.582,1.658,1.734,1.81,1.932,2.054,2.176,2.298,2.42,2.544,2.668,2.792,2.916,3.04,3.172,3.304,3.436,3.568,3.7,3.834,3.968,4.102,4.236,4.37,4.496,4.622,4.748,4.874,5,5.092,5.184,5.276,5.368,5.46,5.522,5.584,5.646,5.708,5.77,5.846,5.922,5.998,6.074,6.15
Canada,7.6,7.666,7.732,7.798,7.864,7.93,8.012,8.094,8.176,8.258,8.34,8.402,8.464,8.526,8.588,8.65,8.748,8.846,8.944,9.042,9.14,9.252,9.364,9.476,9.588,9.7,9.79,9.88,9.97,10.06,10.15,10.108,10.066,10.024,9.982,9.94,10.018,10.096,10.174,10.252,10.33,10.406,10.482,10.558,10.634,10.71,10.758,10.806,10.854,10.902,10.95,11.166,11.382,11.598,11.814,12.03,12.088,12.146,12.204,12.262,12.32
"Central African Republic",0.39,0.4,0.41,0.42,0.43,0.44,0.452,0.464,0.476,0.488,0.5,0.52,0.54,0.56,0.58,0.6,0.644,0.688,0.732,0.776,0.82,0.886,0.952,1.018,1.084,1.15,1.252,1.354,1.456,1.558,1.66,1.74,1.82,1.9,1.98,2.06,2.182,2.304,2.426,2.548,2.67,2.734,2.798,2.862,2.926,2.99,3.05,3.11,3.17,3.23,3.29,3.342,3.394,3.446,3.498,3.55,3.592,3.634,3.676,3.718,3.76
Chile,4.81,4.844,4.878,4.912,4.946,4.98,5.028,5.076,5.124,5.172,5.22,5.308,5.396,5.484,5.572,5.66,5.746,5.832,5.918,6.004,6.09,6.186,6.282,6.378,6.474,6.57,6.646,6.722,6.798,6.874,6.95,7.09,7.23,7.37,7.51,7.65,7.792,7.934,8.076,8.218,8.36,8.444,8.528,8.612,8.696,8.78,8.838,8.896,8.954,9.012,9.07,9.19,9.31,9.43,9.55,9.67,9.692,9.714,9.736,9.758,9.78
China,1.61,1.68,1.75,1.82,1.89,1.96,2.07,2.18,2.29,2.4,2.51,2.63,2.75,2.87,2.99,3.11,3.252,3.394,3.536,3.678,3.82,3.952,4.084,4.216,4.348,4.48,4.646,4.812,4.978,5.144,5.31,5.392,5.474,5.556,5.638,5.72,5.784,5.848,5.912,5.976,6.04,6.19,6.34,6.49,6.64,6.79,6.908,7.026,7.144,7.262,7.38,7.442,7.504,7.566,7.628,7.69,7.742,7.794,7.846,7.898,7.95
"Hong Kong",4.36,4.416,4.472,4.528,4.584,4.64,4.69,4.74,4.79,4.84,4.89,5.054,5.218,5.382,5.546,5.71,5.828,5.946,6.064,6.182,6.3,6.422,6.544,6.666,6.788,6.91,7.122,7.334,7.546,7.758,7.97,8.116,8.262,8.408,8.554,8.7,8.838,8.976,9.114,9.252,9.39,9.394,9.398,9.402,9.406,9.41,9.39,9.37,9.35,9.33,9.31,9.684,10.058,10.432,10.806,11.18,11.22,11.26,11.3,11.34,11.38
Macau,3.28,3.294,3.308,3.322,3.336,3.35,3.376,3.402,3.428,3.454,3.48,3.526,3.572,3.618,3.664,3.71,3.78,3.85,3.92,3.99,4.06,4.156,4.252,4.348,4.444,4.54,4.602,4.664,4.726,4.788,4.85,4.95,5.05,5.15,5.25,5.35,5.414,5.478,5.542,5.606,5.67,5.77,5.87,5.97,6.07,6.17,6.272,6.374,6.476,6.578,6.68,6.844,7.008,7.172,7.336,7.5,7.708,7.916,8.124,8.332,8.54
Colombia,2.33,2.4,2.47,2.54,2.61,2.68,2.754,2.828,2.902,2.976,3.05,3.124,3.198,3.272,3.346,3.42,3.518,3.616,3.714,3.812,3.91,4,4.09,4.18,4.27,4.36,4.466,4.572,4.678,4.784,4.89,5.01,5.13,5.25,5.37,5.49,5.59,5.69,5.79,5.89,5.99,6.086,6.182,6.278,6.374,6.47,6.556,6.642,6.728,6.814,6.9,6.932,6.964,6.996,7.028,7.06,7.438,7.816,8.194,8.572,8.95
"Congo (Brazzaville)",0.79,0.826,0.862,0.898,0.934,0.97,1.004,1.038,1.072,1.106,1.14,1.226,1.312,1.398,1.484,1.57,1.674,1.778,1.882,1.986,2.09,2.328,2.566,2.804,3.042,3.28,3.458,3.636,3.814,3.992,4.17,4.33,4.49,4.65,4.81,4.97,5.05,5.13,5.21,5.29,5.37,5.42,5.47,5.52,5.57,5.62,5.63,5.64,5.65,5.66,5.67,5.69,5.71,5.73,5.75,5.77,5.804,5.838,5.872,5.906,5.94
"Costa Rica",3.55,3.592,3.634,3.676,3.718,3.76,3.786,3.812,3.838,3.864,3.89,3.936,3.982,4.028,4.074,4.12,4.084,4.048,4.012,3.976,3.94,4.182,4.424,4.666,4.908,5.15,5.342,5.534,5.726,5.918,6.11,6.228,6.346,6.464,6.582,6.7,6.782,6.864,6.946,7.028,7.11,7.172,7.234,7.296,7.358,7.42,7.476,7.532,7.588,7.644,7.7,7.784,7.868,7.952,8.036,8.12,8.09,8.06,8.03,8,7.97
