Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Georgia,,,,,,,,,,,,,29.9,,,,,,,,,,
Ghana,,,,,,,,,,5.9,19.9333,33.9667,48,44.7798,41.5597,38.3395,35.1193,31.8992,28.67899,,,,
Guinea,49.5,49.2,48.9,48.6,48.3,48,47.7,47.4,47.1,46.8,46.5,46.2,45.9,45.6,45.3,45,44.7,40.3,35.9,,,,
Gambia,,,,,,,25.27115,30.6769,36.0827,41.4885,46.8942,52.3,46.3,40.3,34.3,32.4343,30.5686,28.7029,26.8371,24.9714,23.1057,21.24,
"Guinea Bissau",,,,,,,67.5,64.2667,61.0333,57.8,54.5667,51.3333,48.1,49.8949,51.6898,53.4848,55.2797,57.0746,58.8695,60.6644,62.4593338755161,,
Guatemala,,,,,,,,,,16,10.5,11.1,11.7,11.65,11.6,11.55,11.5,11.45,11.4,8.8619,6.323827,4.24633155138556,
Honduras,,,,,,,,,,,3.2,3.5,3.8,4.1,3.825,3.55,3.275,3,3.4,3.8,5.753953,,
Haiti,,,,,,,,,,,,,29.6,30.5333,31.4667,32.4,33.3333,34.2667,35.2,,,,
Indonesia,,,,,,,9.101751,8.7793,8.4569,8.1345,7.8121,7.4897,7.1673,6.8448,6.5224,6.2,3.2,,,,,,
India,,,,,,,5.1,4.92,4.74,4.56,4.38,4.2,13.1,10.35,7.6,4.85,2.1,1.85,1.6,,,,
Iraq,,,,,,,9.674926,9.9458,10.2166,10.4875,10.7583,11.0292,11.3,9.9,8.5,7.1,5.7,4.3,,,,,
Jamaica,,,,,,,,,0.6,3.1667,5.7333,8.3,7.9167,7.5333,7.15,6.7667,6.3833,6,,,,,
Jordan,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Kazakhstan,,,29.1,26.47,23.84,21.21,18.58,15.95,13.32,10.69,8.06,5.43,2.8,,,,,,,,,,
Kenya,,,,,,6.4,35.2,35.0579,34.9159,34.7738,34.6318,34.4897,34.3476,34.2056,34.0635,33.9214473789197,,,,,,,
Kyrgyzstan,,,,,7.6,7.225,6.85,6.475,6.1,5.725,5.35,4.975,4.6,35.6,35.329,35.058,34.7871,34.5161,34.2451,33.9741,33.7031322400892,,
Cambodia,,,,,,,,52.1,50.7667,49.4333,48.1,45.26,42.42,39.58,36.74,33.9,26.6333,19.3667,12.1,,,,
Laos,,,,,,,,,,,,,19.2,16.825,14.45,12.075,9.7,,,,,,
Liberia,,,,,,,,,,,,,,37.1,29.7333,22.3667,15,,,,,,
"Sri Lanka",,,,,,13.4,12.91,12.42,11.93,11.44,10.95,10.46,9.97,9.48,8.99,8.5,,,,,,,
Lesotho,,,,,,,27.52267,14.4113,1.3,,,,,,,,,,,,,,
Morocco,,,,,,12.8,10.84,8.88,6.92,4.96,3,,,,,,,,,,,,
Moldova,,,,,,,32.8,31.7111,30.6222,29.5333,28.4444,27.3556,26.2667,25.1778,24.0889,23,,,,,,,
Madagascar,,,,,,,,25.13218,24.9768,24.8215,24.6661,24.5107,24.3554,24.2,,,,,,,,,
Mexico,,,,,,,,,,,5.6,5.6,5.6,5.6,6.6,7.6,4.7,4.4,4.0978,3.795669,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,8.6,10.72,12.84,14.96,17.08,19.2,,,,,
Mali,,,,,,,,,,,,39.4,44.1,21.6,22.5,23.4,24.3,25.2,26.1,27,,,
Mongolia,,,,,,,20.59043,18.6123,16.6343,14.6562,12.6781,10.7,9.65,8.6,9.98,11.36,12.74,14.12,15.5,12.176944811783,,,
Mozambique,,,1.7,3.8667,6.0333,8.2,10.3667,12.5333,14.7,16.8667,19.0333,21.2,23.3667,25.5333,27.7,,,,,,,,
Mauritania,,,,,,,,,,,,,,18.6,17.1444,15.6889,14.2333,12.77774,,,,,
Malawi,,,,,,,,,,,40.3,39.85,39.4,36.28,33.16,30.04,26.92,23.8,30.6499,37.4998,44.3497,47,
Namibia,,,,,,14.6857321465481,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,45,51.35,57.7,54.0333,50.3667,46.7,,,,
Nigeria,,,,,,,,,,,,,,40.1,32.9667,25.8333,18.7,36.04485,,,,,
Nicaragua,,,,,,,,6.4996287654,5.8497,5.1998,4.5499,3.9,7.36,10.82,14.28,17.74,21.2,30.0791,38.95829,,,,
Nepal,,,,,,52.4,51.6222,50.8444,50.0667,49.2889,48.5111,47.7333,46.9556,46.1778,45.4,45.1819,44.9638,44.7457,44.5276,44.3095,44.0913556662385,,
Pakistan,,,,,,,,,,,,,,,16.2,15.3,14.4,13.5,,,,,
Panama,,,,,,,,,,2.2,2.84,3.48,4.12,4.76,5.4,4.25,3.1,3.3,3.5,3.8169,4.133818,,
Peru,,,,,,,22.3,24.7429,27.1857,29.6286,32.0714,34.5143,36.9571,39.4,34.4,29.4,24.4,19.4,21.1995,22.999,24.79848,21.9941019785013,
Philippines,,,,,,,,10.04384,9.7595,9.4751,9.1907,8.9063,8.6219,8.3375,8.0532,7.7688,7.4844,7.2,,,,,
Portugal,,,,,,,,2.63149165339076,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,7.7,7.3707,7.0414,6.7121,6.3827,6.0534,5.7241,5.3948,5.0655,4.736176,,
Romania,,,,,,,1.1,,,,,,,,,,,,,,,,
Rwanda,,,,,,,30.3,27.3875,24.475,21.5625,18.65,15.7375,12.825,9.9125,7,13.4,19.8,5.009021,5.2393,5.4697,5.7,,
Sudan,,,,,,,16.78005,15.87,14.96,14.05,13.14,12.23,11.32,10.41,9.5,12.3946,15.2892,18.1837,21.0783,23.9729,26.8674516848202,,
Senegal,,,,,,,,,,,,12.6,11.95,11.3,10.65,10,9.35,8.7,9.7883,10.8766,11.965,13.0532759871257,
"Sierra Leone",,,,,,,65.4,64.68,63.96,63.24,62.52,61.8,38.35,14.9,52.5,45.8,39.1,45.2333,51.3667,57.5,,,
"El Salvador",,,,,,,,,,8.1127204865,7.0345,5.9564,4.8782,3.8,3.95,4.1,4.2287,4.357373,4,4.569547,,,
Somalia,,,,,,,,,,,,,41.5,,,,,,,,,,
Serbia,,,,,,,,,,,,6.6,7.2987,7.9973,8.696,9.3947,10.0933,10.792,11.4907,12.1894,12.88802,,
"South Sudan",,,,,,,,,,,,,,,45.7,,,,,,,,
Swaziland,,,,,,,10.9,11.02,11.14,11.26,11.38,11.5,11.62,11.74,11.86,11.98,12.1,,,,,,
Syria,,,,,,,,,,,,,4.3,,,,,,,,,,
Chad,,,,,,,,,,,56.2,52.5333,48.8667,45.2,41.5333,37.8667,34.2,38.3779,42.5558,46.7336,50.9115,55.0893846020297,
Togo,,,,,,,,,,,,,37.4305,39.8229,42.2153,44.6076,47,43.518,40.036,36.554,33.0719731364292,,
Thailand,,,,,,,,,,,,14.4,14.4,,,,,,,,,,
Tajikistan,,,,,,6.8,7.1833,7.5667,7.95,8.3333,8.7167,9.1,,,,,,,,,,,
"Timor Leste",,,,,,,,8.1,9.7,11.3,12.9,14.5,16.1,17.7,,,,,,,,,
"Trinidad and Tobago",,,,,,,2.8,2.7833,2.7667,2.75,2.7333,2.7167,2.7,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,2.7,,,,
Turkey,,,,,,3.8463579373,3.554,3.2617,2.9693,2.677,2.3847,2.0923,1.8,,,,,,,,,,
Tanzania,,,,,,,,39.2195644612,36.7957,34.3717,31.9478,29.5239,27.1,27.3,27.5,27.7,27.9,28.1,30.1235,32.1469,34.17038,,
Uganda,,,,,,,,,,,,,36.49879,36.4657,36.4325,36.3994,36.3663,36.3331,36.3,,,,
Ukraine,,,,,,,,,,,,16.6,14.9429,13.2857,11.6286,9.9714,8.3143,6.6571,5,,,,
Uruguay,,,,,,,,,,,,,,,,5,,,,,,,
Uzbekistan,,,,,,,13.98417,12.1673,10.3505,8.5337,6.7168,4.9,4.9,,,,,,,,,,
Venezuela,,,,,,,,,,6.6,5.1,3.6,3.3,3.17,3.04,2.91,2.78,2.6499,2.5199,2.389926,,,
Vietnam,,,,,,,,,,,,,21.6,19.98,18.36,16.74,15.12,13.5,10.1,,,,
Yemen,,,,,,13.97018,14.2459,14.5216,14.7972,15.0729,15.3486,15.6243,15.9,15.675,15.45,15.225,15,,,,,,
"South Africa",,,,,,26.4,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,46.76866,42.2791,37.7896,33.3,,,,,,,,
Zimbabwe,,,,,,13.3,,,,,,,,,,,,,,,,,
