Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146.5,2074.59,2008.18,1957.76,1926.96,1912.78,1910.89,1914.13,1917.11,1918.93,1920.95,1922.6,1923.62,1923.74,1922.69,1919.97,1914.8,1906.31,1894.07,1877.45,1857.06,1835.37,1815.7,1800.46,1790.59,1785.31
Botswana,212.834,218.716,224.595,230.463,236.373,242.342,248.413,254.615,261,267.609,274.485,281.66,289.171,297.021,305.231,313.808,322.792,332.211,342.109,352.471,363.334,374.679,386.537,399.093,412.591,427.171,442.899,459.677,477.256,495.305,513.568,531.962,550.494,569.119,587.801,606.518,625.181,643.751,662.35,681.105,700.144,719.482,738.991,758.41,777.423,795.76,813.412,830.418,846.648,861.969,876.33,889.69,902.193,914.318,926.696,939.818,953.828,968.701,984.472,1001.14,1018.68,1037.14,1056.5,1076.55,1096.97,1117.56,1138.2,1158.9
Brazil,27198.7,28019.2,28859.3,29715.5,30586.1,31471.2,32373.2,33296.4,34246.9,35231.3,36255.5,37321.8,38427.7,39564.5,40719.9,41884.7,43056.9,44238.1,45427.6,46625.4,47832.2,49046.5,50269,51506,52765.8,54054.5,55372.2,56716.7,58088.9,59489.2,60916.2,62370.9,63849.1,65337.9,66820.2,68283.7,69723.4,71141,72538,73918.6,75286.4,76638.7,77974.8,79302.5,80632.1,81970.1,83319.3,84674.9,86026.6,87360.1,88664.3,89936.9,91178.9,92387.1,93558.8,94692.6,95785.5,96838.8,97861.9,98867.4,99864.4,100856,101840,102810,103758,104678,105570,106433
Brunei,23.304,24.692,26.105,27.557,29.073,30.67,32.334,34.075,35.875,37.71,39.565,41.432,43.342,45.304,47.38,49.594,51.951,54.447,57.071,59.851,62.756,65.827,69.033,72.269,75.397,78.332,81.004,83.465,85.834,88.242,90.825,93.608,96.562,99.653,102.785,105.929,109.085,112.255,115.498,118.835,122.315,125.907,129.62,133.472,137.534,141.825,146.379,151.132,155.886,160.397,164.492,168.101,171.281,174.059,176.532,178.762,180.717,182.432,184.083,185.887,187.995,190.485,193.318,196.372,199.454,202.446,205.299,208.068
Bulgaria,3626.99,3658.81,3691.06,3723.45,3755.77,3787.9,3819.87,3851.72,3883.64,3915.82,3948.43,3981.52,4014.93,4048.25,4080.94,4112.62,4143.05,4172.28,4200.48,4227.93,4254.79,4281.16,4306.88,4331.51,4354.54,4375.6,4394.26,4410.67,4425.72,4440.65,4456.25,4472.65,4489.11,4504.39,4516.68,4524.6,4528.17,4527.37,4520.76,4506.62,4483.97,4452.05,4411.93,4366.73,4320.77,4277.23,4237.29,4200.45,4166.09,4132.96,4100.11,4067.72,4036.26,4005.46,3975.02,3944.72,3914.35,3884.02,3854.29,3825.93,3799.45,3775.05,3752.4,3730.82,3709.37,3687.29,3664.35,3640.68
"Burkina Faso",2036.89,2064.31,2092.79,2122.65,2154.09,2187.18,2221.86,2257.93,2295.1,2333,2371.31,2409.9,2448.95,2488.94,2530.58,2574.39,2620.63,2669.18,2719.73,2771.77,2824.97,2879.39,2935.32,2993.07,3053.07,3115.7,3180.99,3249.13,3320.78,3396.79,3477.73,3563.97,3655.3,3751.07,3850.3,3952.26,4056.83,4164.26,4274.66,4388.27,4505.34,4625.89,4750.01,4878.02,5010.31,5147.24,5289.05,5435.87,5587.7,5744.5,5906.29,6073.09,6245.19,6423.21,6607.94,6799.93,6999.45,7206.34,7420.32,7640.86,7867.59,8100.46,8339.5,8584.55,8835.38,9091.84,9353.87,9621.45
Burundi,1203.3,1228.28,1250.4,1271.31,1292.27,1314.13,1337.37,1362.07,1387.94,1414.5,1441.21,1467.86,1494.74,1522.74,1553.11,1586.55,1623.95,1664.63,1705.88,1744,1776.55,1802.38,1822.91,1841.53,1863.07,1891.01,1926.51,1968.64,2016.31,2067.59,2121.05,2176.24,2233.58,2293.33,2355.99,2421.74,2490.52,2561.53,2633.29,2703.91,2771.9,2837.69,2901.45,2961.3,3014.89,3061.17,3098.84,3130.15,3161.81,3202.9,3260,3335.47,3427.61,3533.91,3650.06,3772.65,3901.63,4037.43,4177.79,4319.93,4461.97,4602.49,4742.06,4883.2,5029.63,5184,5347.06,5517.7
"Cape Verde",94.08,97.741,100.241,101.851,102.83,103.434,103.867,104.325,104.971,105.949,107.363,109.275,111.706,114.645,118.016,121.74,125.897,130.402,134.851,138.658,141.462,143.073,143.653,143.642,143.677,144.206,145.372,147.056,149.152,151.494,153.938,156.52,159.286,162.11,164.853,167.421,169.735,171.859,174.018,176.541,179.64,183.378,187.664,192.346,197.214,202.082,206.909,211.706,216.395,220.914,225.203,229.248,233.035,236.525,239.665,242.427,244.8,246.819,248.669,250.604,252.786,255.306,258.118,261.164,264.331,267.545,270.801,274.121
Cambodia,2216.46,2268.86,2328.55,2392.48,2458.37,2524.76,2591.02,2657.3,2724.44,2793.73,2866.29,2942.48,3021.24,3099.91,3174.89,3243.7,3303.74,3355.68,3404.14,3455.79,3514.6,3585.61,3665.48,3739.96,3789.38,3801.36,3768.72,3700.41,3619.9,3559.94,3543.9,3580.82,3663.3,3778.21,3904.91,4028.36,4144.48,4258.17,4373.98,4499.5,4639.75,4795.23,4962.13,5135.99,5310.69,5481.45,5646.85,5807.08,5960.92,6107.5,6246.28,6376.73,6498.96,6614.09,6723.83,6829.73,6931.84,7030.76,7129.3,7231.02,7338.38,7452.63,7573.05,7697.76,7823.85,7949.05,8072.93,8195.79
Cameroon,2196.19,2234.24,2273.09,2312.83,2353.57,2395.53,2438.9,2483.93,2530.92,2580.14,2631.89,2686.38,2743.7,2803.87,2866.77,2932.39,3000.85,3072.31,3146.94,3224.89,3306.35,3391.42,3480.29,3573.15,3670.24,3771.77,3877.82,3988.53,4104.19,4225.19,4351.76,4483.88,4621.4,4764.34,4912.69,5066.31,5225.18,5388.91,5556.37,5726.13,5897.1,6069.16,6242.4,6416.35,6590.46,6764.62,6938.58,7113.03,7289.9,7471.77,7660.63,7857.18,8061.39,8273.58,8493.86,8722.28,8959.11,9204.38,9457.61,9718.03,9985.02,10258.4,10538.2,10823.9,11114.8,11410.5,11710.7,12015.5
Canada,6768.15,6947.65,7137.63,7337.55,7546.31,7762.25,7983.14,8206.19,8428.17,8645.68,8855.8,9056.82,9248.86,9434.16,9616.25,9797.82,9979.1,10159.3,10338.8,10517.8,10696.4,10875.1,11053.6,11230.2,11402.2,11568,11727.6,11881.8,12030.9,12175.6,12316.9,12453.9,12587.7,12723.4,12867.8,13025.3,13198,13383.8,13577.4,13771.4,13960.2,14142.6,14319.6,14490.1,14653.5,14809.6,14957.6,15098.4,15234.9,15371.2,15510.7,15654.1,15801.2,15953.7,16113.5,16281.6,16458.7,16644.2,16834.9,17026.7,17216.4,17402.9,17586.6,17767,17943.9,18117.4,18286.9,18452.1
"Central African Republic",672.673,679.58,686.701,694.179,702.119,710.625,719.787,729.671,740.335,751.814,764.137,777.311,791.338,806.214,821.916,838.395,855.76,873.951,892.658,911.446,930.057,948.384,966.645,985.303,1005.05,1026.37,1049.27,1073.68,1099.98,1128.58,1159.69,1193.72,1230.34,1268.12,1305.11,1339.99,1372.02,1401.81,1430.96,1461.82,1496,1534.04,1575.23,1618.49,1662.2,1705.17,1747.04,1788.06,1828.29,1867.97,1907.22,1945.76,1983.32,2020.14,2056.66,2093.01,2129.93,2167.03,2201.97,2231.57,2253.89,2267.89,2275.22,2280.05,2288.17,2303.83,2328.44,2361.06
Chad,1267.3,1290.59,1315.49,1341.41,1367.95,1394.84,1421.95,1449.31,1477.07,1505.49,1534.79,1565.1,1596.33,1628.17,1660.13,1691.94,1723.31,1754.51,1786.53,1820.74,1858.02,1899.03,1943.29,1989.28,2034.8,2078.4,2119.7,2159.55,2199.25,2240.67,2285.32,2333.48,2385.2,2441.42,2503.16,2571.14,2646.02,2727.7,2814.95,2906.01,2999.67,3095.66,3194.61,3297.37,3405.19,3519.03,3638.81,3764.44,3896.94,4037.59,4187.08,4346.21,4514.26,4688.52,4865.28,5041.95,5217.26,5392.22,5569.18,5751.67,5942.19,6141.54,6348.69,6562.03,6779.13,6998.24,7218.86,7441.62
"Channel Islands",53.153,53.479,53.795,54.097,54.387,54.684,54.987,55.309,55.654,56.035,56.459,56.934,57.452,58.001,58.583,59.175,59.774,60.378,60.988,61.606,62.216,62.83,63.452,64.042,64.558,64.971,65.272,65.479,65.641,65.834,66.118,66.499,66.971,67.519,68.124,68.772,69.48,70.231,70.99,71.678,72.277,72.745,73.126,73.42,73.715,74.039,74.408,74.813,75.239,75.69,76.132,76.606,77.074,77.543,78.016,78.48,78.918,79.342,79.752,80.17,80.575,80.982,81.386,81.784,82.182,82.562,82.946,83.321
Chile,3137.82,3208.05,3279.48,3352.42,3427.18,3503.96,3582.85,3663.9,3747.07,3832.28,3919.39,4008.26,4098.79,4190.91,4284.53,4379.48,4475.77,4573.04,4670.36,4766.54,4860.72,4952.63,5042.47,5130.38,5216.7,5301.77,5385.64,5468.54,5551.28,5634.81,5719.98,5806.92,5895.73,5987.01,6081.44,6179.37,6281.07,6386.15,6493.54,6601.78,6709.68,6816.84,6923.24,7028.52,7132.35,7234.52,7334.78,7433,7529.29,7623.81,7716.71,7807.91,7897.43,7985.62,8072.98,8159.81,8246.31,8332.33,8417.48,8501.18,8583.04,8662.89,8740.86,8817.17,8892.19,8966.17,9039.14,9110.97
"Hong Kong",959.801,1004.39,1051.56,1101.73,1154.92,1210.75,1268.43,1326.74,1384.18,1439.03,1489.85,1535.87,1577.38,1615.92,1653.76,1692.61,1733.11,1774.81,1816.98,1858.4,1898.33,1936.4,1973.24,2010.37,2049.87,2093.12,2140.84,2192.34,2246.04,2299.55,2351.2,2400.28,2447.35,2493.47,2540.34,2589.06,2640.36,2693.64,2747.22,2798.73,2846.68,2889.68,2928.77,2967.56,3011.11,3062.71,3124.2,3193.55,3265.46,3332.45,3389.28,3433.94,3468.4,3496.2,3522.69,3551.81,3584.66,3620.11,3657.11,3693.84,3729.03,3762.33,3794.46,3826.59,3860.31,3896.65,3936.17,3978.12
Macau,96.13,99.185,100.495,100.27,98.774,96.336,93.347,90.267,87.586,85.804,85.339,86.418,88.986,92.67,96.898,101.203,105.543,109.925,113.998,117.303,119.569,120.658,120.694,119.937,118.789,117.601,116.376,115.195,114.462,114.648,116.105,118.967,123.157,128.407,134.343,140.626,147.229,154.128,161.086,167.791,174.043,179.712,184.856,189.583,194.16,198.75,203.355,207.953,212.669,217.641,222.968,228.743,234.923,241.272,247.484,253.316,258.673,263.638,268.493,273.615,279.284,285.594,292.418,299.463,306.327,312.692,318.463,323.743
China,266679,274196,280370,285644,290383,294878,299340,303905,308642,313567,318684,324031,329724,335964,343001,350982,359989,369901,380398,391035,401464,411604,421475,430958,439944,448371,456180,463418,470268,476995,483812,490706,497678,504958,512827,521448,530951,541177,551650,561705,570857,578945,586080,592381,598075,603341,608189,612590,616647,620483,624198,627844,631439,635005,638549,642079,645608,649150,652710,656286,659873,663470,667062,670599,674018,677269,680330,683197
Taiwan,3694.2,3828.86,3967.61,4111.5,4261.14,4416.85,4578.21,4744.48,4914.47,5086.77,5260.01,5433.35,5606.74,5781.1,5957.91,6137.98,6321.31,6506.69,6692.18,6875.22,7053.76,7227.69,7396.96,7559.69,7713.65,7857.62,7990.22,8112.79,8230.2,8349.19,8474.52,8607.98,8747.93,8891.69,9034.98,9174.62,9309.79,9441.14,9568.39,9691.53,9810.49,9925.42,10035.9,10140.9,10238.8,10328.8,10410.2,10483.9,10553.6,10624.3,10699.4,10780.3,10865.9,10953.7,11040.1,11122.3,11199.7,11273.1,11342.5,11408.4,11471,11530.1,11585.6,11638.2,11689.1,11738.9,11788,11836.1
