Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tunisia,,,,,,,43.4,42.76,42.12,41.48,40.84,40.2,40.5,40.8,41.1,41.4,41.7,41.52,41.34,41.16,40.98,40.8,40.18,39.56,38.94,38.32,37.7,37.32,36.94,36.56,36.18,35.8,,,,,,,
Turkey,,,,,,,,,43.5,43.1857,42.8714,42.5571,42.2429,41.9286,41.6143,41.3,41.3125,41.325,41.3375,41.35,41.3625,41.375,41.3875,41.4,42.2,41.3,42.6,39.7,38.4,39,39,38.8,40,40.2,40.2,41.2,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,,,,,
Tanzania,,,,,,,,,,,,,35.3,35.5222,35.7444,35.9667,36.1889,36.4111,36.6333,36.8556,37.0778,37.3,37.7286,38.1571,38.5857,39.0143,39.4429,39.8714,40.3,39.675,39.05,38.425,37.8,,,,,,
Uganda,,,,,,,,,,,44.4,43.4,42.4,41.4,40.8,40.2,39.6,39,40.3333,41.6667,43,43.7333,44.4667,45.2,44.4333,43.6667,42.9,43.225,43.55,43.875,44.2,43.1333,42.0667,41,,,,,
Ukraine,,,,,,,,,,,,,,,,,39.3,35.2,34.1667,33.1333,32.1,31.0667,30.0333,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.5,24.7,24.5,24.1,25.5,,
Uruguay,,,43.7,43.5375,43.375,43.2125,43.05,42.8875,42.725,42.5625,42.4,42.6824,42.9647,43.2471,43.5294,43.8118,44.0941,44.3765,44.6588,44.9412,45.2235,45.5059,45.7882,46.0706,46.3529,46.6353,46.9176,47.2,47.6,46.3,46.3,45.3,43.4,41.3,41.9,41.6,41.7,,
"United States",34.6,35.0143,35.4286,35.8429,36.2571,36.6714,37.0857,37.5,37.64,37.78,37.92,38.06,38.2,38.8667,39.5333,40.2,40.4,40.6,40.8,40.6667,40.5333,40.4,40.425,40.45,40.475,40.5,40.7,40.9,41.1,40.8667,40.6333,40.4,40.6,40.8,41,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,44.7,40.4,36.1,34.55,33,35.3,,,,,,,,,,,,,,
Venezuela,,,55.6,55.25,54.9,54.55,54.2,53.85,53.5,49.4,45.3,44.3667,43.4333,42.5,44.2667,46.0333,47.8,48.4667,49.1333,49.8,48.3,48.25,48.2,50.6,50.4,49.8,52.4,46.9,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,35.7,35.65,35.6,35.55,35.5,35.45,35.4,35.8,36.2,36.6,37,36.9,36.8,36.3,35.8,35.7,35.6,37.45,39.3,37.5,35.7,35.25,34.8,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,29,30.1,31.2,30.3,30.8,31.3,31.8,33.3,27.8,29.4,26.7,,,,
Yemen,,,,,,,,,,,,,,,,,,,,35,34.9571,34.9143,34.8714,34.8286,34.7857,34.7429,34.7,34.9222,35.1444,35.3667,35.5889,35.8111,36.0333,36.2556,36.4778,36.7,,,
"South Africa",,,,,,,,,,,,,,,59.3,59.7667,60.2333,60.7,59.975,59.25,58.525,57.8,58.9667,60.1333,61.3,62.4667,63.6333,64.8,63.9,63,63.1333,63.2667,63.4,,,,,,
Zambia,,,,,,,,,,,,,60.5,56.55,52.6,51.1667,49.7333,48.3,48.7,49.1,47.35,45.6,43.85,42.1,48.2,54.3,54.45,54.6,54.85,55.1,55.35,55.6,55.9,56.2,56.5,56.8,57.1,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,,
