Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16691,30.93874,29.71402,29.49461,28.36378,28.0408,27.7178,27.39477,28.01986,28.13867,27.26527,26.73107,25.75347,24.43074,23.45727,22.91984,22.73743,22.97645,22.86477,22.39432,21.83016,21.35309,21.23232,20.71696
Portugal,,,,,,,,,,,,,,,,,,,,34.56957,34.18367,35.18079,36.31078,35.12725,35.23612,34.726,34.2159,33.7057,33.1956,32.6855,32.1753,31.6652,31.1551,30.6449,30.1348,29.3903,30.58231,25.65972,26.3003,27.61687,27.90761,28.56592,28.85549,27.92027,26.76412,25.85894,27.40491,27.15975,27.15497,26.45079,25.81664,24.70049,24.79676,24.32768,24.03218,23.12376,21.5391,22.08715,21.94102,19.74586,18.42295,17.76298
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.967644,8.8237,9.6797,10.5358,11.3918,12.2478,13.1039,13.9599,14.8159,15.67198,15.5856,15.4992,15.4128,15.3264,15.2401,15.15367,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71755,21.16669,20.06849,19.67884,18.66353,18.0433,17.8794,17.99878,17.70754,17.50577,17.56882,16.82656,16.67844,16.39124,17.30339,17.8581,17.59121,17.28096,16.94023
Sweden,,,,,,,,,15.91033,15,14.16982,13.23332,13.09878,13.13888,12.50661,10.92372,10.18135,9.578048,9.229183,8.934881,8.54259,8.219178,8.026348,8.092345,8.062201,7.963138,7.954545,8.127962,7.883523,7.638073,7.304024,6.535489,9.383689,9.188571,9.36515,9.186176,9.144677,9.836065,10.79717,11.12525,11.18916,10.9513,10.75982,10.60568,10.64405,10.29094,10.82015,10.67144,10.41338,10.62406,10.78135,10.69997,10.59589,10.4072,10.68771,10.94569,10.41911,10.45065,10.59045,10.3324,10.25409,9.988493
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.72452,15.40233,15.30542,15.33138,15.26796,14.86647,15.05788
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.50432,52.80881,49.99243,49.03126,41.17281,42.94938,41.09618,39.53797,39.01024,39.97337,39.10165,38.28983,37.06765,35.92632,33.93937,32.86248,32.44656
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.30564,12.25839,12.31571,12.9374,13.0967,12.99267,13.2267,13.38564,13.33792,13.59319,13.98335,14.17804,14.61436,14.58038,15.22491,14.97865,15.42926
"United States",18.03272,17.49984,17.1365,16.99179,16.68425,16.11378,15.99655,15.2588,14.47696,14.1535,13.60284,12.71363,11.05664,10.6981,10.52096,10.2087,10.1781,9.911993,9.659681,9.603097,9.663685,9.277415,9.275443,9.205742,9.259686,9.419679,9.353834,9.60549,9.678323,9.41476,9.092875,8.896189,8.926505,8.982467,8.879545,8.801005,9.018986,8.69679,8.817617,8.798591,8.517237,8.419391,8.246505,7.94441,7.657622,7.417594,7.357595,7.240347,7.565941,7.574043,7.469145,7.402356,7.21961,7.018316,7.093349,7.045681,6.83138,6.765678,6.606714,6.454994,6.456212,6.400071
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.11788,37.19898,37.20444,36.55495,36.58573,35.81099,34.741,33.78785,33.27984,32.448,31.61625,31.22317,31.15304,32.27552,32.94103,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.90737,29.1417,29.447,30.44777,29.83529,30.22267,30.28431,31.49047,30.98666,30.37952,29.01267,28.05219,26.84841,27.67438,26.49048,26.37782,25.07678,25.42318,25.87232,25.64893,26.474
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.83667,50.19083,50.29911,50.94534,49.39332,47.37888,46.06005,50.67365,52.81166,53.7084,54.15244,53.45658,52.59061,51.7596,51.3138,51.33159
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.925515,7.520259,7.98374,8.609271,8.627858,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36068,15.79399,15.32535,14.95643,15.06398,14.17172,13.48002,13.49262,13.78676,13.14059,13.10297,13.14297,12.67283,12.66415,12.87047,12.75237,12.64952,12.69318,12.59251,12.51997,12.63739,12.77359
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85,10.07841,8.092457,7.773641,7.393361,7.493148,7.769612,7.528994,7.316354,7.308131,7.412342,6.829171,7.097907,6.915359,7.276261,7.213869,7.209467,7.492843
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87715,18.70802,19.22184,17.44166,16.31044,17.23827,15.82289,13.88966,15.47777,15.13603,16.19808,15.88764,14.11756,16.19334,17.25539,16.81132,16.23501,16.881,18.56932,16.50226,14.19399
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3309,16.90677,14.85769,15.21739,14.06405,12.90473,12.87545,11.47221,11.65943,10.96979,10.24954,11.52449,11.49088,11.3397,11.36902,11.55363,11.54129,,
