Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Peru,4.350575728,4.724626069,4.912224073,5.028628757,5.079578016,4.639644152,4.280091503,4.191594474,4.081764883,4.318630667,4.420368195
Philippines,4.566165165,4.249999024,4.186195505,4.297745703,4.213115206,4.255731167,4.396539003,4.502788442,4.517617912,4.480412324,4.437925339
Poland,4.3571656,4.670560262,4.827957141,4.839937232,4.578668326,4.201120768,4.191233714,4.388535815,4.346480012,4.559973524,4.563838005
Portugal,5.666666667,5.518911725,5.497148235,5.641308646,5.600670169,5.482163845,5.242307688,5.201005805,5.265746741,5.431028967,5.530182362
"Puerto Rico",5.111111111,4.864323914,4.759350108,4.770106417,4.655022922,4.892463364,4.826712084,4.699490953,,,
Qatar,5.758148465,5.472760728,6.193833265,6.445227419,6.016463,5.948428662,5.579658715,4.562886802,4.71177269,5.170659447,5.294329166
Romania,4.428235439,4.701864101,4.795361477,4.903363803,4.46956468,3.858803591,3.751671074,3.960255274,4.495978303,4.726782417,4.634696007
Russia,3.870595103,3.97924753,3.598309415,3.50440638,3.473906781,3.500872587,3.780170114,4.004601021,4.004601021,3.887603807,3.861079931
Rwanda,,,,3.595038,4.094759211,4.465674,4.46996274,4.472431,4.291700583,4.39729673,4.444182396
"Saudi Arabia",4.419354839,4.717720022,5.062930107,5.347098169,5.448651,5.172246323,4.714696589,4.435759178,4.468539735,4.571055817,4.508944511
Senegal,3.846153846,4.066924994,4.296019705,4.513643218,4.12078463,3.843405254,4.263302928,4.116220629,3.740550942,3.667958323,3.852791786
Serbia,4.255813953,4.245622645,4.336656253,4.419977567,4.209402785,3.83746625,3.968799246,4.261221319,4.195318201,4.00656575,3.996088743
Seychelles,,,,,,4.495588,4.413268254,4.422208535,4.422208535,4.5263,4.63043499
"Sierra Leone",,,,,,4.325086,4.61557785,4.649323422,3.982569318,3.727102203,3.717774868
Singapore,6.203686421,6.341113739,6.350322014,6.239778523,6.097483721,5.901019667,5.566201808,5.485548606,5.634653939,5.771882003,5.893171787
Slovakia,5.888278388,6.036668393,5.811738472,5.487636793,5.206609786,4.919929463,4.601762622,4.574316629,4.606611481,4.446526606,4.452243328
Slovenia,5.290044015,5.238695151,5.219231341,5.09868382,5.01605,4.784956276,4.544674218,4.564106567,4.484677429,4.624998783,4.625435352
"South Africa",5.038692886,4.969404547,4.733651104,4.67919056,4.6786039,4.658796603,4.69491907,4.750953384,4.603773137,4.706686906,4.386101723
Spain,4.964455653,4.884709441,4.935404909,5.023351277,5.097242329,4.93263251,4.69452506,4.40964236,4.17403844,4.49451899,4.709928036
"Sri Lanka",4.358654806,4.238977677,4.057528782,4.151812253,4.047347352,3.935286,4.001091124,4.067551825,4.138161281,4.336458421,4.283123493
Suriname,,,,,4.907136,4.764461969,4.822744759,4.937717095,,,
Swaziland,,,,3.75218,3.878698632,4.004473495,4.233049289,4.611173037,4.741346121,4.6519,4.5625
Sweden,6.162875696,6.153542394,6.003747034,6.16840744,6.133625614,5.322017075,4.91280597,4.557901759,4.650359895,5.244587761,5.112456322
Switzerland,4.305668984,4.313650732,4.234677475,4.246171973,4.237114302,4.074724164,3.926647777,4.040693918,4.149659928,4.502450593,4.835793495
Syria,3.670212766,4.00680267,4.146022191,3.868352382,3.781063548,,,,,,
Taiwan,4.939725505,4.759741277,4.759277399,4.685965891,4.640084147,4.531406475,4.750462136,4.812147647,4.840975969,4.936441517,4.858115196
Tajikistan,3.427774596,3.542108629,3.70385365,3.680106878,3.852231676,3.988517445,3.8522,3.715789557,3.96324593,4.1247833,4.124783039
Tanzania,4.222860811,4.449833158,4.45010045,4.208047541,4.074308361,3.713498317,3.656591926,3.91004422,4.007692182,4.097733286,3.89048481
Thailand,4.225849057,4.156274371,4.397776473,4.584476614,4.27263647,4.316839723,4.499244738,4.459931577,4.304765015,4.326576303,4.433047295
"Timor Leste",3.193703474,3.217936602,3.573079917,4.293814046,4.316491656,3.877226661,3.615527074,4.202883652,,,
"Trinidad and Tobago",4.675782407,4.852217731,4.985242872,4.894885917,4.63748389,4.315428334,4.546194019,4.997213157,4.786804158,4.859107791,5.024759293
Tunisia,4.727830977,4.750737088,4.709997053,4.712207618,4.461269111,4.2697,4.078054089,3.91436921,3.663064759,3.681054869,3.773048162
