Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nepal,,,,,,71.79341,69.26017,69.9632,70.6662,71.3692,72.07215,81.13069,91.65269,94.52578,93.09529,94.30302,97.23638,99.42066
"New Zealand",,,,,,,,,,,,,,,96.4783,98.59505,97.67943,
Nicaragua,,,,,,67.34543,68.5165,69.68751,72.34512,70.25608,72.8905,75.52496,,,,,,
Niger,,,,15.93986,15.99265,21.03136,19.7529,18.4745,17.19611,21.25639,25.47969,25.85267,28.90806,27.15318,28.87333,30.697,32.52062,
Nigeria,88.59432,89.91205,84.80577,84.74571,102.98175,87.25133,92.5694,97.88751,84.57216,74.64155,75.3559,,,,,,,
Niue,,,,,,,,,,,,,,,,,136.36364,
Norway,,,,,,,,,,,,,,,,97.41278,98.20209,
Oman,,,,,90.74725,90.311,89.87466,94.0655,98.25632,98.80018,96.53125,99.1587,101.78609,103.53351,102.21094,101.67968,108.30212,
Pakistan,,,,,,49.91503,52.21011,55.23085,55.32017,54.2966,53.26485,55.28927,57.77514,59.73706,60.99023,64.33412,62.37144,
"West Bank and Gaza",,,,,98.56435,91.32421,94.89381,91.776,88.65812,90.64764,93.9717,97.2957,92.76049,95.37251,94.68608,99.22871,93.51443,
Panama,,,,,91.37326,93.6942,83.85455,92.00317,94.83311,97.8337,95.6877,93.54167,98.32222,99.49378,103.54051,101.80966,,
"Papua New Guinea",,,,,,,,,,,,,,73.98104,,,,
Paraguay,,,,,,,,,,,,,,88.33733,,,,
Peru,,,,,,,,,,,,,,,93.87283,95.73795,100.13786,
Philippines,,,,,,,,,,,,,,,93.31273,,,
Poland,,,,,,,,,,,,,,,98.18879,98.40958,100.09852,
Portugal,,,,,,,,,,,,,,,101.78367,104.3357,106.88764,
"Puerto Rico",,,,,,,,,,,79.74035,74.4839,68.33198,66.01602,75.97251,76.32616,,
Qatar,,,,79.78675,79.1521,80.8376,82.5231,84.20866,95.9833,107.75801,101.80006,96.79571,92.43959,91.05173,87.87775,86.52431,87.27325,
"South Korea",,,,,,,,,,,,,,,109.89571,103.83065,,
Moldova,,,,,,,,,99.14906,99.14021,95.86702,96.29096,91.82965,92.29445,89.15064,92.34398,,
Romania,,,,,,,,,,,,,,,88.73936,88.86596,91.7862,
Rwanda,,,,,,,,,,,46.5008,52.25595,47.39121,49.29879,47.16607,53.61836,44.79193,
"Saint Kitts and Nevis",,,,,107.15835,105.20362,104.067,102.9304,101.79372,80.21739,99.36975,95.48255,96.11452,96.69421,97.7131,88.72651,87.60504,
"Saint Lucia",,,,,113.5506,110.62857,106.59404,102.9036,101.6662,100.4289,99.19154,103.44388,94.7199,92.64516,90.24707,86.12755,86.31229,
"Saint Vincent and Grenadines",,,,,,,142.93478,124.9609,106.987,89.01304,98.8743,99.5184,100.1624,100.80645,114.99483,118.66384,,
Samoa,,,,,,,,,,,93.19932,104.9335,126.6641,148.3947,170.1253,191.8559,213.5865,
"Saint Thomas and Principe",,,,,,53.89507,57.989,62.083,66.177,70.2709,74.3649,78.4589,82.5528,86.6468,90.7407,94.83471,78.45104,81.72849
"Saudi Arabia",,,,,,,,,98.42189,99.3409,100.26,101.179,102.098,103.0171,103.93609,104.2694,104.60261,
Senegal,,,,,,28.194,24.88877,30.0046,35.12048,34.716,34.3115,33.9071,33.5026,28.9625,24.42243,21.37009,25.88886,
Serbia,,,,,,,,,104.22724,104.48208,107.94193,100.43431,99.22929,96.72711,97.89545,97.1929,,
Seychelles,,,,,,,,,,,,,107.01493,110.309,113.603,116.89708,110.88957,
"Sierra Leone",,,,,,,,,,,,,,,,,50.27047,
Slovenia,,,,,,,,,,,,,,,97.5975,98.80435,96.10291,
"Solomon Islands",,,,,,,,,,,,,,,,,84.88436,
"South Sudan",,,,,,,,,,,,,,,,,32.77802,
Spain,,,,,,,,96.79216,97.71336,99.68974,,,,,,,,
"Sri Lanka",,,,,,,,,,,,,,,111.56573,,,
Sudan,,,,,,,,,,,,,,62.77382,,,,
Suriname,,,,,,,,83.70614,85.6329,87.55971,83.75152,77.9405,72.12952,64.3362,56.54281,56.27926,65.0706,
Swaziland,,,,,,,,,,,,,70.74052,69.86255,63.76665,76.57352,,
Syria,,,,116.4053,105.47735,105.1446,104.8118,104.4791,104.14632,98.74173,103.112,107.73091,95.335,82.9392,70.54331,,,
Tajikistan,,,,98.6278,97.28757,93.0644,96.8899,100.7154,104.54093,96.03378,92.41571,100.46988,103.74683,102.9801,102.2133,101.44651,95.81388,96.79465
Thailand,,,,,,,,,,,,101.99209,100.1577,98.3234,96.489,94.65467,96.33895,
"Timor Leste",,,,,,,,,,89.3265,95.90572,92.13549,,,,,,
Togo,,,,76.349,78.33146,83.73129,79.2859,74.84047,70.55821,68.9881,67.41806,71.39647,73.76573,72.38218,76.85554,73.02869,78.73454,
"Trinidad and Tobago",,,,,89.72507,94.64433,91.6931,88.7418,85.79052,90.4456,95.10067,96.72075,,,,,,
Tunisia,,,,,,,,,,90.62928,87.63224,89.2615,90.8907,92.52,94.14921,96.19475,93.94544,
Turkey,,,,,,,,,,,,,,,93.66002,90.76535,,
Turkmenistan,,,,,,,,,,,,,,,,81.46004,,
Tuvalu,,,,,,,,,,,,,,,,56.52174,,
Uganda,,,,,,,,,,49.41576,50.9573,52.49893,56.58065,57.2822,57.9838,58.6853,59.38686,
"United Arab Emirates",,,,,,89.78341,86.45633,84.70133,82.03837,82.3173,82.5963,82.87529,81.6436,89.65564,94.75871,100.87164,122.50996,
"United Kingdom",,,,,,,,,,,,,,,,,99.6212,
Tanzania,,,,,,,,,,,,,,,,61.55534,,
Uruguay,,,,,,,,,,,,,,,103.0617,102.5628,,
Uzbekistan,,,,,,,,108.13578,106.76913,104.74678,106.70798,97.45864,96.77507,100.28295,99.16462,101.749,97.92681,98.79161
Vanuatu,,,,,,,,,,,,49.53642,,,,,,
Venezuela,,,,,,,,85.91709,89.0915,90.38369,90.33243,90.0459,90.77714,95.47348,95.05883,96.31752,93.90744,
Vietnam,,,,,,,,,,,,,,,86.56889,110.76375,104.79727,
Yemen,,,,,,,,,,,,66.87623,67.05493,67.20552,,,,
Zambia,,,,,,,,,,,,108.79255,99.1686,89.54465,,,,
Zimbabwe,,,,,,,,,,,,,,,91.16948,,,
