Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Honduras,,0.097034954,0.237924963,0.230542466,0.126270443,0.11293903,0.10284818,0.003997721,-0.020098273,0.022095246,-0.089810885,0.087086849,0.080074072
"Hong Kong",,0.138663754,0.2088,0.278944165,0.290478438,0.31444189,0.216796279,0.204656839,0.2053,0.205851689,0.144,0.082167558,0.122934707
Hungary,,,-0.172360703,-0.1543,-0.13625887,-0.156258225,-0.100213021,-0.147043735,-0.124132216,-0.161259592,-0.209218666,-0.198393941,-0.150793031
Iceland,,,,0.263398528,0.256,0.2486,0.2412,0.233745292,0.297882915,0.2955,0.293037444,0.272110164,0.235478714
India,,,-0.058665279,-0.080014154,-0.034848623,0.047334414,-0.049570382,0.055292785,0.071944594,-0.038502187,-0.018222917,0.033288639,-0.0545028
Indonesia,,0.335626155,0.299370736,0.151883453,0.178230792,0.434676647,0.42478624,0.340603173,0.362211913,0.393875748,0.456970751,0.485145062,0.472973853
Iran,,,0.020775484,0.017593047,0.0669,0.1162,0.165459588,0.1734,0.181331903,0.206236124,0.141992077,0.150406659,0.182735115
Iraq,,,,-0.099929348,-0.237645656,-0.162882462,-0.108193077,-0.05977096,-0.089311756,-0.040665306,-0.022023709,-0.091289066,-0.038429033
Ireland,,0.233712003,0.2737,0.313648462,0.306951791,0.339643061,0.37303108,0.291833282,0.320522308,0.25219956,0.219868049,0.161003679,0.206801742
Israel,,,0.211717248,0.13101545,0.1638221,0.142100871,0.132999763,0.145161554,0.142626047,0.085945688,0.100288846,0.144781038,0.137158513
Italy,,,0.104488082,0.040432975,0.232119724,-0.067901894,-0.026122497,0.104592361,-0.110441908,-0.073058255,-0.072609469,-0.088797256,-0.043380704
"Ivory Coast",,,,,-0.13596426,-0.1054,-0.0748,-0.0443,-0.013695938,-0.063421518,-0.037086099,-0.027511623,-0.095353842
Jamaica,,-0.003755168,-0.0157,-0.0276,-0.0395,-0.0514,-0.063258566,-0.042,-0.020674154,-0.000494599,-0.0439,-0.0874,-0.130832732
Japan,,,-0.107196748,-0.15214093,-0.226642936,-0.157220587,-0.068781756,-0.1164,-0.164039567,-0.156489342,-0.172429249,-0.079771206,-0.223296791
Jordan,,,-0.112695694,-0.128196046,-0.076203778,-0.047238044,-0.143470779,-0.160638839,-0.117127448,-0.104411937,-0.045955718,-0.038151234,-0.151522875
