Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,,,96.58239,62.33261,44.72787,54.38651,54.28952,27.20611,52.4354,32.17638,24.80263,20.2475,15.69235,16.0453,16.3982,16.7511,17.104,17.45686,37.34218,32.26461,36.016,39.7673,28.32885,30.5605,32.7922,35.0239,37.2556,39.4872,41.7189,43.9506,46.18226,42.20877,35.38225,42.14485,37.24616,36.3539,35.46172,40.41065,30.88955,43.82206,49.27833,56.19794,50.96184,47.42957,55.43522,55.66984,56.7732,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.76745,55.94409,50.6042,45.2643,36.40744,44.98224,46.48249,43.0775,44.90865,45.51611,45.53651,43.2434,40.9502,38.65703,34.05144,35.7704,53.07779,39.7949,26.51195,23.75097,
Cameroon,,,44.56499,42.82099,36.64811,41.49223,46.61789,35.7034,37.53899,37.24281,31.64348,34.77339,30.8471,41.90299,31.37604,32.4725,28.00876,31.10323,34.2281,37.353,40.47781,38.6277,36.7775,34.9274,33.0772,31.227,29.3769,27.5267,25.6766,23.82644,26.524,29.2216,31.9192,34.6168,37.3144,40.012,42.70965,43.14498,31.16115,33.83784,42.91344,30.24518,31.5797,32.9143,34.24885,42.94114,58.78566,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55424,1.40553,,,,,,,,,,,,,,,,,,
"Cape Verde",,,,,,,,,86.98749,80.7772,76.87999,79.15623,85.85518,77.8792,69.90313,65.66029,60.10338,55.27274,51.9978,48.72287,45.577,42.4311,39.2852,36.1393,32.9934,29.8475,26.7016,23.5557,20.4098,17.2639,14.118,10.97208,16.01279,12.51128,14.92421,12.48759,13.87766,14.26096,16.74594,14.89134,10.69337,9.6464,8.59943,9.36316,11.01757,9.93861,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.987,12.328,16.6691,21.0101,25.35117,,,,,,,,,,,,,
"Central African Republic",,70.12568,62.917,55.70831,52.9055,50.1026,44.33512,48.034,51.7329,55.4318,59.13074,44.79068,52.01988,59.7303,67.4407,75.151,82.86142,41.39614,49.26088,60.4413,71.62177,83.63993,81.8703,80.1007,78.3311,76.5615,74.7919,73.0223,71.2527,69.4831,67.7135,65.9439,64.1743,62.4047,60.6351,58.8655,57.0959,55.3263,53.55675,53.10555,53.52718,53.44371,,,,,,
Chad,,,,,,,68.97092,68.9861,69.0012,69.0163,69.0315,69.0466,69.0617,69.0769,69.092,69.1072,69.1223,69.1374,69.15257,63.5273,57.90202,62.97,68.038,73.1059,78.17388,68.09443,47.59089,51.7254,55.85982,52.17482,53.10252,47.81717,49.88841,62.0311,74.17375,69.88021,70.4577,71.0353,71.6128,72.19033,50.66485,61.94134,49.01242,56.4885,63.9645,71.4406,,
Chile,22.71697,30.92635,28.50052,29.25728,32.17381,32.92073,27.15318,23.804,20.4548,17.1057,13.7565,10.4073,7.05817,6.6988,6.3394,5.98,5.6206,5.2612,4.9018,4.5424,4.183,3.8236,3.4642,3.1048,2.7454,2.386,2.02655,2.0294,2.0322,2.035,2.0378,2.0406,2.0434,2.0462,2.0491,2.0519,2.0547,2.0575,2.0603,2.0631,2.06593,1.33246,0.9007,0.46895,0.40069,0.58992,0.45466,
China,,,,,,,,,,,,,,,,,,,19.97667,19.38262,14.93546,13.9971,11.96916,11.94398,9.35421,7.84991,6.42906,,,,,,,,,,,,,,,,,,,,,
Colombia,59.80747,63.38515,58.66438,62.87511,62.8743,62.8735,62.8726,62.8718,62.871,62.8701,62.8693,62.86848,45.35915,44.98327,44.93268,44.16519,39.30978,43.95606,44.02022,47.82069,37.9267,28.03267,40.93155,37.15085,42.29241,28.48766,31.1802,33.8727,36.56527,33.43057,39.06865,30.59396,26.7718,22.9496,19.12737,19.16789,14.77709,15.27878,15.3732,15.46761,12.63904,15.28811,28.03349,16.50296,11.74179,10.01905,8.32137,
Comoros,,,,,,,,,,,,,,,,,67.48604,66.7103,65.9346,65.1588,64.3831,63.6073,62.83158,19.49914,27.3568,35.2144,43.072,50.9296,58.78726,55.9484,53.1096,50.2707,47.4319,44.59307,43.0439,41.4947,39.9454,38.3962,36.847,35.2978,33.7486,32.1994,30.6502,29.101,,,,
