Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,,,54.0864105224609,40.8976287841797,40.9413,40.985050201416,51.4461784362793,45.4113,39.3763885498047,45.4585494995117,42.7577209472656,42.5376281738281,45.2048988342285,47.5115013122559,54.3443298339844,48.7762985229492,60.7496795654297,67.5039215087891,72.8448333740234,76.0366,79.2283706665039,17.7277908325195,
Bermuda,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
Bolivia,,,,,,,,,,,,,,,,82.8497467041016,85.6224899291992,86.6096420288086,86.7164916992188,87.7996063232422,90.378776550293,,
Barbados,,,,,,,,73.2471084594727,71.8135,70.3799133300781,60.9540596008301,58.0584907531738,58.495979309082,55.4069786071777,59.8609,64.3148,68.7687683105469,65.8333282470703,69.0276870727539,79.8063583374023,76.470588684082,75.1072998046875,
Brunei,,,,,,,,84.4547119140625,84.6049423217773,82.8280029296875,84.2837295532227,84.14013671875,87.0893173217773,88.2672882080078,88.0386276245117,85.1905517578125,87.4375610351563,82.3208465576172,84.9080429077148,85.347038269043,86.4126281738281,86.6467437744141,
Bhutan,93.705940246582,100,94.8259201049805,91.584602355957,92.143,92.7015,93.2599,93.8182983398438,92.0068511962891,91.737,91.4671936035156,92.6862,93.9051,95.1241,96.3431,97.5621,98.781,100,100,100,100,100,100
Botswana,91.8311309814453,90.2426834106445,89.1553421020508,89.4826202392578,89.0750885009766,89.7223510742188,92.4746398925781,92.5877075195313,94.2898864746094,97.3900985717773,98.8501281738281,100,99.8443,99.6886,99.5328369140625,98.6365127563477,,,,,,,
"Ivory Coast",,,99.4398803710938,99.0568237304688,99.5284,100,100,100,100,100,100,100,100,100,99.3844299316406,82.8079376220703,84.9443817138672,100,100,100,100,100,
Cameroon,,,,,,68.057991027832,68.5339965820313,62.7408485412598,61.7700996398926,60.676,59.5818,58.4877,57.3935203552246,67.149543762207,78.7775115966797,79.27,79.7624,80.2549,80.7473,81.2397918701172,,,
"Congo (Kinshasa)",,,,,,,,,,96.0239791870117,93.267448425293,93.3934020996094,91.66748046875,89.8531112670898,91.4433,93.0334,94.6235275268555,93.9677,93.3118,92.6559,92.0000228881836,,
"Congo (Brazzaville)",,,64.5529403686523,62.0726,59.5922,57.1117897033691,62.1705894470215,75.5835,88.996452331543,88.4418,87.8871,87.3324,86.777717590332,79.3237533569336,80.3170623779297,,,,,,,,
Colombia,,,,,,,,,,100,100,100,100,100,100,97.2832717895508,98.2308807373047,94.0251388549805,94.8545532226563,94.7218780517578,,,
Comoros,,,,,,,,,,,57.4219818115234,56.6658,55.9097,55.1535301208496,,,,,,,,,
"Cape Verde",,,,,67.157958984375,69.3799667358398,72.7043228149414,77.8056411743164,81.4641723632813,82.9337463378906,84.7062606811523,86.4583282470703,90.0299072265625,92.0928726196289,94.5872802734375,95.3038,96.0202407836914,94.6378,93.2554321289063,93.4350128173828,98.5540618896484,,
