Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Ivory Coast",29.03,29.28,29.67,34.85,35.15,35.51,38.46,39.19,39.66,40.04,42.75,43.34,44.19,47.66,48.65,49.73,53.38,55.11,55.85,58.43,63.24,65.38,67.72,69.4,68.31,72.01,72.21,74.59,77.29,80.89,82.22,85.05,92.22,93.95,95.69,95.11,102.8,85.89,86.87,89.46,89.84,92.33,94.4,98.96,99.7,101.34,104.51,108.83,113.21,118.76,117.4,127.21,131.11,58.32
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.15,96.8,89.47,85.08,83.74,82.85,84.29,88.49,77.23,85.31,84.48,86.29,93.79,102.9,103.32,110.21,105.88,108.07,103.09,106.61,99.81,96.34,96.64
Cuba,98.01,103.89,108.92,116.88,122.64,127.07,133.97,161.68,161.24,156.4,152.4,154.05,146.42,137.31,130.28,147.7,161.55,162.17,161.38,165.76,176.54,170.75,177.26,182.03,184.53,187.33,184.64,186.5,189.11,185.89,152.86,120.51,114.01,119.53,118.29,121.81,111.03,118.89,125.9,124.83,118.14,109.37,107.32,103.16,95.76,101.08,125.08,135.32,136.89,136.04,139.95,137.85,143.96,140.41
Cyprus,16.41,17.18,18.28,18.91,21.28,25.63,28.21,31.01,36.23,39.23,44.6,46.85,49.1,37.9,26.34,30.23,32.49,36.59,37.81,38.25,41.07,44.83,48.37,53.24,55.41,58.81,62.42,65.15,68.55,69.71,70.01,72.51,81.15,86.06,90.98,93.42,99.22,97.02,100.49,103.78,105.9,109.23,107.11,105,101.04,93.96,95.88,101.54,97.12,95.78,97.95,95.15,89.77,94.02
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.09,110.66,113.49,112.38,108.43,109.47,106.06,102.15,104.65,103.21,100.29,103.54,99.66,96.8,96.92,98.49,95,91.56,90.98,87.85,85.13,90.61
Denmark,70.93,71.37,70.51,70.51,72.91,72.25,71.73,70.73,68.05,65.63,66.04,65.65,67.44,69.83,69.88,70.47,71.92,74.61,77.8,78.85,78.51,79.2,82.81,81.56,81.74,84.04,82.01,81.05,80.7,81.99,84.09,86.86,91.07,91.17,91.51,91.54,92.48,95.86,96.11,95.3,97.16,99.07,99.21,100.52,100.44,99.04,101.99,100.66,98.4,101.87,102.86,101.98,99.03,102.38
Djibouti,15.3,15.72,16.25,16.56,16.77,18.18,18.97,20.41,22,22.83,23.91,25.15,25.16,26.8,27.23,30.58,29.8,31.39,41.05,47.99,45.99,45.79,54.73,59.78,71.29,76.8,79.43,83.98,102.13,96.2,67.92,72.09,66.64,71.8,74.05,69.09,72.67,74.17,74.02,82.36,83.91,97.79,95.28,93.25,93.38,113.37,142.5,148.72,128.03,116.56,133.59,134.71,134.73,134.76
Dominica,30.48,30.25,29.65,29.83,29.42,29.22,30.09,30.17,31.76,31.75,32.12,32.54,33.67,34.48,37.45,40.79,43.92,46.22,48.92,51.85,54.04,57.21,59.74,61.28,68.45,76.36,87.03,87.49,92.29,92.13,90.39,91.53,93.38,94.97,93.86,97.33,97.44,98.48,99.82,100.23,99.93,101.46,101.23,101.58,100.24,98.18,101.19,102.3,103.71,105.37,106,108.31,107.54,107.65
"Dominican Republic",19.18,19.01,18.9,19.49,19.68,20.64,21.77,24.01,25.16,25.74,27.92,29.97,31.61,31.93,31.76,34.29,35.55,36.27,40.36,41.6,41.23,41.81,44.65,45.39,47.06,46.44,47.63,51.7,54.95,58.5,62.17,64.95,68.81,68.25,69.89,72.17,73.3,73.96,73.62,80.5,81.75,84.25,72.89,84.02,102.7,113.28,120.43,115.78,118.79,122.91,113.26,106.52,111.52,111.11
Ecuador,18.35,18.95,19.38,20.11,20.91,22.01,22.73,24.13,24.99,26.68,25.98,26.85,27.73,29.45,30.35,31.45,33.17,35.94,37.91,36.84,37.17,68.48,61.41,64.56,59.35,61.9,60.81,68.6,73.28,47.94,51.42,52.7,56,60.23,65.68,71.61,79.14,74.75,79.59,86.12,92.97,92.73,93.71,96.82,95.8,107.38,112.98,120.35,118.11,123.21,130.21,126.93,132.8,127.9
Egypt,12.87,13.31,13.01,13.2,13.44,13.83,14.33,16.73,17.07,17.47,18.02,18.37,18.56,18.9,19.08,19.68,19.77,20.1,20.29,20.41,21.66,23.67,25.45,26.73,27.58,28.01,28.3,29.49,29.21,50.71,54.05,55.82,57.98,59.57,62.12,69.04,77.32,78.83,78.99,81.7,78.69,83.65,95.61,94.26,98.23,107.52,118.93,124.25,123.55,125.61,127.39,131.83,131.06,131.03
"El Salvador",30.73,31.1,33.28,31.27,32.59,34.02,34.34,33.32,35.16,34.95,35.34,37.61,40.33,45.17,45.64,55.17,51.87,56.89,56.95,56.41,49.88,47.52,44.38,48.92,52.58,54.25,53.24,57.6,62.34,62.01,65.53,66.59,69.21,70.77,69.29,70.76,80.58,79.81,80.97,90.09,84.09,92.84,90.39,92.81,101.45,105.74,107.85,108.58,109.04,107.99,105.6,107.56,106.34,108.74
"Equatorial Guinea",36.09,38.4,38.39,39.62,41.83,41.13,41.48,41.81,45.42,46.18,46.94,49.32,49.86,50.18,52.88,53.3,53.74,55.41,55.63,56.04,58.91,60.88,61.18,62.45,63.82,65.07,66.58,68.09,69.59,71.94,73.44,74.95,76.46,78.41,80.28,82.03,83.91,86.2,88.64,90.99,93.72,94.7,95.92,97.48,101.38,101.15,102.45,103.94,103.29,104.77,107.09,107.9,111.43,110.73
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.54,69.76,70.65,77.87,78.55,85.31,86.57,87.49,88.85,89.37,96.34,99.74,99.93,100.33,117.79,119.09,119.25,120.43,121.79,122.92,123.53,123.53
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.63,131.06,115.16,106.83,97.22,97.6,101.03,93.39,88.6,95.82,96.15,93.31,98.78,97.64,103.58,103.87,104.29,109.87,109.67,116.06,115.25,120.4,124.42
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.46,53.94,54.89,60.14,61,62.33,64.68,64.06,65.55,95.93,95.92,98.12,96.57,105.31,108.59,120.94,113.51,139.02,127.75,126.29,124.01,112.91
