Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bulgaria,2661,2640.2,2619.4,2598.6,2577.8,2557,2541.2,2525.4,2509.6,2493.8,2478,2467,2456,2445,2434,2423,2416.2,2409.4,2402.6,2395.8,2389,2387.4,2385.8,2384.2,2382.6,2381,2397,2413,2429,2445,2461,2488.4,2515.8,2543.2,2570.6,2598,2619.8,2641.6,2663.4,2685.2,2707,2728.4,2749.8,2771.2,2792.6,2814,2834.4,2854.8,2875.2,2895.6,2916,2947.5,2979
"Burkina Faso",2722,2683,2644,2605,2566,2527,2485.2,2443.4,2401.6,2359.8,2318,2276.4,2234.8,2193.2,2151.6,2110,2065.2,2020.4,1975.6,1930.8,1886,1840.4,1794.8,1749.2,1703.6,1658,1616.8,1575.6,1534.4,1493.2,1452,1414.8,1377.6,1340.4,1303.2,1266,1232.4,1198.8,1165.2,1131.6,1098,1067.68,1037.36,1007.04,976.72,946.4,919.86,893.32,866.78,840.24,813.7,779.65,745.6
Burundi,4332,4240.8,4149.6,4058.4,3967.2,3876,3807.8,3739.6,3671.4,3603.2,3535,3483.6,3432.2,3380.8,3329.4,3278,3197.8,3117.6,3037.4,2957.2,2877,2792.4,2707.8,2623.2,2538.6,2454,2388.6,2323.2,2257.8,2192.4,2127,2092.2,2057.4,2022.6,1987.8,1953,1912.6,1872.2,1831.8,1791.4,1751,1695.4,1639.8,1584.2,1528.6,1473,1426.2,1379.4,1332.6,1285.8,1239,1180.5,1122
"Ivory Coast",22497,21663,20829,19995,19161,18327,17589.2,16851.4,16113.6,15375.8,14638,14035.6,13433.2,12830.8,12228.4,11626,11170.2,10714.4,10258.6,9802.8,9347,9015.8,8684.6,8353.4,8022.2,7691,7442.6,7194.2,6945.8,6697.4,6449,6259.4,6069.8,5880.2,5690.6,5501,5380,5259,5138,5017,4896,4809,4722,4635,4548,4461,4366.2,4271.4,4176.6,4081.8,3987,3846.5,3706
"Cape Verde",1422,1378.8,1335.6,1292.4,1249.2,1206,1184,1162,1140,1118,1096,1094.6,1093.2,1091.8,1090.4,1089,1073.8,1058.6,1043.4,1028.2,1013,995.58,978.16,960.74,943.32,925.9,908.08,890.26,872.44,854.62,836.8,815.86,794.92,773.98,753.04,732.1,717.44,702.78,688.12,673.46,658.8,651.7,644.6,637.5,630.4,623.3,618.42,613.54,608.66,603.78,598.9,587.65,576.4
Cambodia,78995,77418.6,75842.2,74265.8,72689.4,71113,69879,68645,67411,66177,64943,65139.2,65335.4,65531.6,65727.8,65924,66449.8,66975.6,67501.4,68027.2,68553,66415,64277,62139,60001,57863,56148.6,54434.2,52719.8,51005.4,49291,47830.4,46369.8,44909.2,43448.6,41988,41098.6,40209.2,39319.8,38430.4,37541,36968.4,36395.8,35823.2,35250.6,34678,34162.4,33646.8,33131.2,32615.6,32100,31331,30562
Cameroon,50608,49500.8,48393.6,47286.4,46179.2,45072,43994.2,42916.4,41838.6,40760.8,39683,38661.4,37639.8,36618.2,35596.6,34575,33632,32689,31746,30803,29860,29020.4,28180.8,27341.2,26501.6,25662,24954,24246,23538,22830,22122,21546.6,20971.2,20395.8,19820.4,19245,18770.4,18295.8,17821.2,17346.6,16872,16465.4,16058.8,15652.2,15245.6,14839,14485.4,14131.8,13778.2,13424.6,13071,12599,12127
Canada,155520,152882.4,150244.8,147607.2,144969.6,142332,140078.2,137824.4,135570.6,133316.8,131063,129315,127567,125819,124071,122323,121057.6,119792.2,118526.8,117261.4,115996,114664,113332,112000,110668,109336,107938.6,106541.2,105143.8,103746.4,102349,101309.4,100269.8,99230.2,98190.6,97151,96270.4,95389.8,94509.2,93628.6,92748,91795.8,90843.6,89891.4,88939.2,87987,87035.2,86083.4,85131.6,84179.8,83228,81987,80746
"Central African Republic",90559,88852,87145,85438,83731,82024,80453.4,78882.8,77312.2,75741.6,74171,72714.4,71257.8,69801.2,68344.6,66888,65202,63516,61830,60144,58458,57017.2,55576.4,54135.6,52694.8,51254,50132.4,49010.8,47889.2,46767.6,45646,44578.6,43511.2,42443.8,41376.4,40309,39552.8,38796.6,38040.4,37284.2,36528,35933.4,35338.8,34744.2,34149.6,33555,32947.8,32340.6,31733.4,31126.2,30519,29647.5,28776
Chad,14638,14370.4,14102.8,13835.2,13567.6,13300,13035.2,12770.4,12505.6,12240.8,11976,11728.8,11481.6,11234.4,10987.2,10740,10530,10320,10110,9900,9690,9441.8,9193.6,8945.4,8697.2,8449,8198.6,7948.2,7697.8,7447.4,7197,6977.2,6757.4,6537.6,6317.8,6098,5893.8,5689.6,5485.4,5281.2,5077,4909.4,4741.8,4574.2,4406.6,4239,4110,3981,3852,3723,3594,3425,3256
Chile,114614,112216,109818,107420,105022,102624,100715.8,98807.6,96899.4,94991.2,93083,91646.8,90210.6,88774.4,87338.2,85902,84679.8,83457.6,82235.4,81013.2,79791,78594.2,77397.4,76200.6,75003.8,73807,72653.6,71500.2,70346.8,69193.4,68040,67082.4,66124.8,65167.2,64209.6,63252,62478,61704,60930,60156,59382,58719.8,58057.6,57395.4,56733.2,56071,55474.4,54877.8,54281.2,53684.6,53088,52260,51432
China,4175,4085.6,3996.2,3906.8,3817.4,3728,3635.8,3543.6,3451.4,3359.2,3267,3206.4,3145.8,3085.2,3024.6,2964,2923,2882,2841,2800,2759,2715.2,2671.4,2627.6,2583.8,2540,2499.4,2458.8,2418.2,2377.6,2337,2314.8,2292.6,2270.4,2248.2,2226,2213,2200,2187,2174,2161,2149.6,2138.2,2126.8,2115.4,2104,2093,2082,2071,2060,2049,2033.5,2018
Colombia,134857,131124.2,127391.4,123658.6,119925.8,116193,113345.8,110498.6,107651.4,104804.2,101957,99786,97615,95444,93273,91102,89142.4,87182.8,85223.2,83263.6,81304,79645.4,77986.8,76328.2,74669.6,73011,71682.6,70354.2,69025.8,67697.4,66369,65309,64249,63189,62129,61069,60209,59349,58489,57629,56769,56051.8,55334.6,54617.4,53900.2,53183,52614.4,52045.8,51477.2,50908.6,50340,49636.5,48933
Comoros,6154,6044.6,5935.2,5825.8,5716.4,5607,5494.8,5382.6,5270.4,5158.2,5046,4908,4770,4632,4494,4356,4215.6,4075.2,3934.8,3794.4,3654,3555.4,3456.8,3358.2,3259.6,3161,3074,2987,2900,2813,2726,2654.6,2583.2,2511.8,2440.4,2369,2312.4,2255.8,2199.2,2142.6,2086,2038.4,1990.8,1943.2,1895.6,1848,1805.6,1763.2,1720.8,1678.4,1636,1579,1522
"Congo (Brazzaville)",779026,759168.6,739311.2,719453.8,699596.4,679739,661056.8,642374.6,623692.4,605010.2,586328,569849.8,553371.6,536893.4,520415.2,503937,490224.4,476511.8,462799.2,449086.6,435374,423866.8,412359.6,400852.4,389345.2,377838,368433.4,359028.8,349624.2,340219.6,330815,322550.4,314285.8,306021.2,297756.6,289492,282683.6,275875.2,269066.8,262258.4,255450,249139.4,242828.8,236518.2,230207.6,223897,217941.6,211986.2,206030.8,200075.4,194120,187103.5,180087
