Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Montserrat,70,71,72,73,74,75,76,77,78,79,80,81,82,83,83,83,83,83,,,,,,,,
Morocco,52,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,77,77
Mozambique,10,10,11,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17,18,18,19,19,20,20,20,21
"Burma (Myanmar)",,54,54,54,54,54,56,57,59,60,62,63,65,66,68,69,71,72,74,75,77,78,79,80,80,80
Namibia,24,24,25,25,25,26,26,26,27,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34
Nauru,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Nepal,5,6,8,10,11,13,15,17,18,20,22,23,25,27,28,30,32,33,35,36,38,40,41,43,44,46
Netherlands,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
"New Caledonia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nicaragua,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,66,67,68,68,68
Niger,4,4,4,5,5,5,6,6,6,6,7,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
Nigeria,38,38,37,37,36,36,36,35,35,34,34,34,33,33,33,32,32,32,31,31,31,30,30,30,29,29
Niue,,69,69,69,69,69,71,73,75,77,79,81,84,86,88,90,92,94,96,99,100,100,100,100,100,100
"Northern Mariana Islands",69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,80,80
Norway,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Oman,82,82,83,84,84,85,86,87,87,88,89,90,91,92,92,93,94,95,96,97,97,97,97,97,97,97
Pakistan,24,24,24,24,26,28,30,31,33,35,37,39,41,42,44,46,48,49,51,53,55,57,58,60,62,64
Palau,47,50,54,57,61,65,68,71,74,78,81,85,89,92,96,98,99,100,100,100,100,100,100,100,100,100
Panama,59,60,61,62,62,63,64,65,65,66,67,67,68,69,69,70,70,71,71,72,72,73,73,74,75,75
"Papua New Guinea",20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Paraguay,52,54,56,57,59,61,62,64,65,67,69,70,72,73,74,76,77,79,80,81,83,84,85,87,88,89
Peru,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,69,70,71,72,73,74,75,75,76
Philippines,57,58,58,59,60,61,61,62,63,63,64,65,65,66,66,67,68,68,69,70,71,71,72,73,73,74
Poland,,,,,,,87,87,87,87,87,88,89,89,90,91,91,92,93,94,94,95,96,97,97,97
Portugal,93,93,94,94,94,95,95,95,96,96,96,97,97,97,97,98,98,98,99,99,99,99,100,100,100,100
"Puerto Rico",99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Qatar,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98
Moldova,,,72,72,72,72,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,76,76,76,76,76
Reunion,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Romania,70,71,71,72,72,72,73,73,73,74,74,74,74,75,75,76,76,76,77,77,78,78,78,79,79,79
Russia,73,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
Rwanda,33,35,36,37,39,40,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
"Saint Kitts and Nevis",,,,,,87,87,87,87,87,87,87,87,87,87,87,87,87,,,,,,,,
"Saint Lucia",78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,89,89,90,90,91,91
"Saint Vincent and Grenadines",63,64,65,66,67,68,69,70,71,72,73,74,75,76,76,76,76,76,,,,,,,,
Samoa,93,93,93,93,93,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
"Saint Thomas and Principe",,,,,18,18,18,18,19,20,21,22,23,25,26,27,28,29,31,32,33,34,34,35,35,35
"Saudi Arabia",92,92,92,93,93,94,94,95,96,96,97,97,98,99,99,100,100,100,100,100,100,100,100,100,100,100
Senegal,36,36,37,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48
Serbia,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96
Seychelles,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
"Sierra Leone",10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13
Singapore,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Slovakia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Slovenia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Solomon Islands",,,,,,,,,,,26,26,26,26,27,27,27,27,28,28,28,29,29,29,30,30
Somalia,,,,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,24,,,,
"South Africa",51,52,52,52,53,54,55,55,56,57,57,58,59,59,60,60,61,62,62,63,64,64,65,65,66,66
"South Sudan",,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
