Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,23,22.16,21.32,20.48,19.64,18.8,18.5,18.2,17.9,17.6,17.3,,
Liberia,,48.4,47.9,47.4,46.9,46.4,45.9,45.4,44.9,44.4,43.9,43.4,42.9,42.4,41.9,41.4,40.9,40.4,39.9,39.4,38.9,38.4,37.9,37.5667,37.2333,36.9,36.5667,36.2333,35.9,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,3.6,4.15,4.7,5.25,5.8,6.35,6.9,,,,,
Madagascar,,,,,,,,36.9,37.6,38.3,39,39.7,40.4,40.1714,39.9429,39.7143,39.4857,39.2571,39.0286,38.8,40.68,42.56,44.44,46.32,48.2,46.45,44.7,42.95,41.2,,,
Malawi,,,,,,,,54.9,53.9,52.9,51.9,50.9,49.9,48.9,47.9,46.9,47.4,47.9,48.4,48.9,49.55,50.2,50.05,49.9,49.75,49.6,48.775,47.95,47.125,46.3,44.2,42.1
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,
Mali,,,78.1,77.1889,76.2778,75.3667,74.4556,73.5444,72.6333,71.7222,70.8111,69.9,69,68.1,67.2,66.3,65.4,66.44,67.48,68.52,69.56,70.6,66.7,62.8,58.9,55,56.5333,58.0667,59.6,,,
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,37.2,36.9,36.6,36.3,36,35.7,35.4,35.125,34.85,34.575,34.3,,,,,
Mexico,,,27.6,27.3421,27.0842,26.8263,26.5684,26.3105,26.0526,25.7947,25.5368,25.2789,25.0211,24.7632,24.5053,24.2474,23.9895,23.7316,23.4737,23.2158,22.9579,22.7,22.7667,22.8333,22.9,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,18.9,17.9429,16.9857,16.0286,15.0714,14.1143,13.1571,12.2,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,9,6.45,3.9,4.3,4.7,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,4.8,4.8,4.7571,4.7143,4.6714,4.6286,4.5857,4.5429,4.5,,,
Morocco,,,24,22.88,21.76,20.64,19.52,18.4,18.1917,17.9833,17.775,17.5667,17.3583,17.15,16.9417,16.7333,16.525,16.3167,16.1083,15.9,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,56.6,56.4833,56.3667,56.25,56.1333,56.0167,55.9,55.08,54.26,53.44,52.62,51.8,56.2,52.2,48.2,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Namibia,,,,,,,,11.4,11.2,11,10.8,10.6,10.4,10.2,10,9.8,9.6286,9.4571,9.2857,9.1143,8.9429,8.7714,8.6,8.3167,8.0333,7.75,7.4667,7.1833,6.9,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,
Nepal,,,,,,,,,,,,60.3,59.46,58.62,57.78,56.94,56.1,55.16,54.22,53.28,52.34,51.4,49.26,47.12,44.98,42.84,40.7,39.3333,37.9667,36.6,,
Nicaragua,,,,,,,,,,,,,,50.3,47.9667,45.6333,43.3,42.76,42.22,41.68,41.14,40.6,40.6,,,,,,,,,
Niger,,,,,,,,83.5,82.35,81.2,80.05,78.9,77.75,76.6,76.3375,76.075,75.8125,75.55,75.2875,75.025,74.7625,74.5,74.8,75.1,75.4,75.7,76,76.3,,,,
Nigeria,,,,,,51.9,50.5333,49.1667,47.8,46.4333,45.0667,43.7,42.3333,40.9667,39.6,40.525,41.45,42.375,43.3,42.52,41.74,40.96,40.18,39.4,39.2667,39.1333,39,40.9,42.8,,,
Pakistan,,,,,,,31.6,31.125,30.65,30.175,29.7,29.225,28.75,28.275,27.8,27.325,26.85,26.375,25.9,25.425,24.95,24.475,24,23.5,23,22.5,22,21.5,21,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,
"Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,
Paraguay,,,,,,24.2,23.75,23.3,22.85,22.4,21.95,21.5,21.05,20.6,20.15,19.7,19.25,18.8,18.35,17.9,,,,,,,,,,,,
Peru,,19.9,19.5333,19.1667,18.8,18.4333,18.0667,17.7,18.6,19.5,20.4,21.3,20.65,20,19.35,18.7,18.5,18.3,18.1,17.9,17.7,17.5,17.5,17.5,19,20.1,18.8,19.1,18.85,18.6,,
Philippines,,,,,,,,,14.2,14.28,14.36,14.44,14.52,14.6,14.48,14.36,14.24,14.12,14,14.04,14.08,14.12,14.16,14.2,14.36,14.52,14.68,14.84,15,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,
Rwanda,,,,,,,,14.8,15.3875,15.975,16.5625,17.15,17.7375,18.325,18.9125,19.5,18.26,17.02,15.78,14.54,13.3,12.26,11.22,10.18,9.14,8.1,7.84,7.58,7.32,7.06,6.8,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,33.4,33.7333,34.0667,34.4,,,,,,,
Senegal,,58.8,57.2143,55.6286,54.0429,52.4571,50.8714,49.2857,47.7,44.8,41.9,39,36.1,36.4625,36.825,37.1875,37.55,37.9125,38.275,38.6375,39,37.9833,36.9667,35.95,34.9333,33.9167,32.9,31.35,29.8,32.3,,
Serbia,,,,,,,,,,,,,,,,,,,,,,5.8,5.6,5.4,5.2,5,4.4,3.8,3.2,,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,,,55.6,53.0333,50.4667,47.9,45.8,43.7,42.1,40.5,38.9,,,
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,
"South Africa",,,,,,,,,,,,,,7.9,7.44,6.98,6.52,6.06,5.6,,,,,,,,,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,
"Sri Lanka",,,13.7,13.605,13.51,13.415,13.32,13.225,13.13,13.035,12.94,12.845,12.75,12.655,12.56,12.465,12.37,12.275,12.18,12.085,11.99,11.895,11.8,,,,,,,,,
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,
Sudan,,,,,,26.9,27.3438,27.7875,28.2313,28.675,29.1188,29.5625,30.0063,30.45,30.8938,31.3375,31.7813,32.225,32.6688,33.1125,33.5563,34,33.725,33.45,33.175,32.9,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,19.1,19.025,18.95,18.875,18.8,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,5,5.5,6,6.5,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,12.7,12.5429,12.3857,12.2286,12.0714,11.9143,11.7571,11.6,,,,
Tanzania,,,,,,,,36.6,37.95,39.3,38.7,38.1,38.5,38.9,39.3,38.5,37.7,36.9,36.1,35.3,41.1,40,38.9,37.8,37.35,36.9,34,31.1,30.95,30.8,30.65,30.5
Thailand,,,20.5,20.4526,20.4053,20.3579,20.3105,20.2632,20.2158,20.1684,20.1211,20.0737,20.0263,19.9789,19.9316,19.8842,19.8368,19.7895,19.7421,19.6947,19.6474,19.6,20.0167,20.4333,20.85,21.2667,21.6833,22.1,,,,
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,
Togo,,,,43.6,42.29,40.98,39.67,38.36,37.05,35.74,34.43,33.12,31.81,30.5,29.725,28.95,28.175,27.4,26.625,25.85,25.075,24.3,24.525,24.75,24.975,25.2,24.35,23.5,22.65,21.8,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,
"Trinidad and Tobago",,,34.4,33.0158,31.6316,30.2474,28.8632,27.4789,26.0947,24.7105,23.3263,21.9421,20.5579,19.1737,17.7895,16.4053,15.0211,13.6368,12.2526,10.8684,9.4842,8.1,,,,,,,,,,
Tunisia,,,,9.7,9.3625,9.025,8.6875,8.35,8.0125,7.675,7.3375,7,6.6625,6.325,5.9875,5.65,5.3125,4.975,4.6375,4.3,3.9625,3.625,3.2875,2.95,2.6125,2.275,1.9375,1.6,,,,
Turkey,,,,,,,,,23.3,23.24,23.18,23.12,23.06,23,22.08,21.16,20.24,19.32,18.4,17.52,16.64,15.76,14.88,14,14.14,14.28,14.42,14.56,14.7,,,
Turkmenistan,,,,,,,,,,,,,,,,9.1,8.8,8.5,8.2,7.9,7.6,7.3,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,
Uganda,,,,,52.6,52.85,53.1,53.35,53.6,53.85,54.1,54.0667,54.0333,54,53.9667,53.9333,53.9,53.275,52.65,52.025,51.4,46.3,44.98,43.66,42.34,41.02,39.7,,,,,
Ukraine,,,,,,,,,,,,,,,14.2,12.9,11.6,10.3,9,7.7,6.4,8.15,9.9,9.74,9.58,9.42,9.26,9.1,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,
Uzbekistan,,,,,,,,,,,,15.3,14.9,14.5,14.1,13.7,13.3,12.9,11.475,10.05,8.625,7.2,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,27.1,26.15,25.2,24.25,23.3,22.35,21.4,,,
Vietnam,,,,,,,,,,,,,12.4,12.14,11.88,11.62,11.36,11.1,10.8,10.5,10.2,10.4,10.18,9.96,9.74,9.52,9.3,9.7333,10.1667,10.6,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,18.9,19.1833,19.4667,19.75,20.0333,20.3167,20.6,19.275,17.95,16.625,15.3,,
Yemen,,,,,,,,49.2,49.04,48.88,48.72,48.56,48.4,46.6111,44.8222,43.0333,41.2444,39.4556,37.6667,35.8778,34.0889,32.3,32.3,32.3,32.3,32.3,32.3,32.3,31.9,,,
Zambia,,,,,,,,43.3,43.525,43.75,43.975,44.2,43.85,43.5,43.15,42.8,42.45,42.1,42,41.9,41.8,41.7,41.6,40.1429,38.6857,37.2286,35.7714,34.3143,32.8571,31.4,,
Zimbabwe,,,,33.1,32.75,32.4,32.05,31.7,31.35,31,30.54,30.08,29.62,29.16,28.7,29.4,30.1,30.8,31.5,32.2,32.9,33.6,32.4333,31.2667,30.1,30.3,30.5,31.5,32.5,33.5,32.4,
