Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sudan,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,
Tanzania,,,,,,,,29,28.275,27.55,26.825,26.1,25.5667,25.0333,24.5,24.75,25,25.25,25.5,25.75,26,21.6333,17.2667,12.9,17.85,22.8,18.25,13.7,16.95,20.2,23.45,26.7
Thailand,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,
Togo,,,,26.5,25.79,25.08,24.37,23.66,22.95,22.24,21.53,20.82,20.11,19.4,19.2188,19.0375,18.8563,18.675,18.4938,18.3125,18.1313,17.95,17.7688,17.5875,17.4063,17.225,17.0438,16.8625,16.6813,16.5,,
"Trinidad and Tobago",,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,9.3,9.48,9.66,9.84,10.02,10.2,9.66,9.12,8.58,8.04,7.5,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,
Uganda,,,,,37.2,38.15,39.1,40.05,41,41.95,42.9,40.9833,39.0667,37.15,35.2333,33.3167,31.4,30.1,28.8,27.5,26.2,24.9,23.7,22.5,21.3,22.55,23.8,23.875,23.95,24.025,24.1,
Ukraine,,,,,,,,,,,,,,,7.6,7.175,6.75,6.325,5.9,5.475,5.05,4.625,4.2,,,,,,,,,
Uzbekistan,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,5.7,5.24,4.78,4.32,3.86,3.4,,,,,,,,,,,,,,
Yemen,,,,,,,,14.1,14.38,14.66,14.94,15.22,15.5,15.2,14.9,14.6,14.3,14,13.7,13.4,13.1,12.8,12.5,12.2,11.9,11.6,11.3,11,10.7,,,
Zambia,,,,,,,,33.8,33.025,32.25,31.475,30.7,30.85,31,31.15,31.3,31.45,31.6,30.86,30.12,29.38,28.64,27.9,27.9857,28.0714,28.1571,28.2429,28.3286,28.4143,28.5,,
Zimbabwe,,,,20.7,20.5333,20.3667,20.2,20.0333,19.8667,19.7,19.86,20.02,20.18,20.34,20.5,20.6,20.7,20.8,20.9,21,21.1,21.2,21.66,22.12,22.58,23.04,23.5,23.025,22.55,22.075,21.6,
