Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Croatia,,,,,,,,,,,,,,,,,,,,,,96.70155,96.8461,96.9906,97.1351,97.2796,97.4241,97.5686,97.7131,97.8577,98.0022,98.14668,98.2445,98.3424,98.4403,98.5382,98.636,98.7339,98.8318,98.9296,99.0275,99.12536,,,,,
Cuba,,,,,,,,,,,,97.84665,97.9396,98.0326,98.1256,98.2185,98.3115,98.4045,98.4975,98.5904,98.6834,98.7764,98.8693,98.9623,99.0553,99.1483,99.2412,99.3342,99.4272,99.5202,99.6131,99.7061,99.79907,99.7944,99.7898,99.7851,99.7805,99.7758,99.7711,99.7665,99.7618,99.7572,99.75253,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,94.36247,94.6337,94.905,95.1762,95.4474,95.7187,95.9899,96.2612,96.5324,96.80363,96.9911,97.1786,97.3661,97.5536,97.741,97.9285,98.116,98.3035,98.491,98.67843,,,,,
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99819,,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.17299,66.1784,65.1838,64.1893,63.1947,62.2001,61.20555,63.9679,66.7302,69.4925,72.2549,75.01719,75.5236,76.0299,76.5363,77.04268
"Dominican Republic",,,,,,,,,,,,73.06457,73.728,74.3914,75.0548,75.7183,76.3817,77.0451,77.7085,78.372,79.0354,79.6988,80.3622,81.0257,81.6891,82.3525,83.0159,83.6794,84.3428,85.0062,85.6696,86.333,86.99647,87.2461,87.4957,87.7453,87.9949,88.24446,88.6759,89.1073,89.53873,90.10638,90.15518,90.85815,91.76376,91.99121,
Ecuador,,,,,,,,,,,,,83.55269,84.1459,84.7392,85.3325,85.9257,86.519,87.1122,87.7055,88.29876,88.5429,88.787,89.0311,89.2752,89.5193,89.7635,90.0076,90.2517,90.4958,90.7399,90.98403,89.8521,88.7203,87.5884,86.4565,85.3246,84.19272,84.1998,84.20696,91.85404,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023
Egypt,,,,,,,38.19676,38.8195,39.4422,40.0649,40.6877,41.3104,41.9331,42.5558,43.1785,43.8013,44.42399,45.5403,46.6566,47.7729,48.8892,50.0055,51.1218,52.2381,53.3544,54.4707,55.587,57.345,59.103,60.861,62.6189,64.3769,66.1349,67.8929,69.6509,71.40886,66.36991,67.7894,69.2089,70.6284,72.04785,72.9567,73.86559,75.06073,,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,74.14316,74.8158,75.4883,76.1609,76.8335,77.5061,78.1787,78.8513,79.5239,80.1965,80.8691,81.5417,82.2143,82.8869,83.55946,82.02863,83.9513,84.10289,84.49272,85.49399,86.1308,86.76758,87.3687,87.96985,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3083,,,,,,,,,,,,,,,,
