Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"Ivory Coast",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Jamaica,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Japan,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
Jordan,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Kazakhstan,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
Kenya,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
Kuwait,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kyrgyzstan,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laos,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,
Latvia,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
Lesotho,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
Liberia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1.5,2,1,2
Liechtenstein,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,2,2
Lithuania,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2
Madagascar,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,,,
Malawi,,,,,,,,,,,,,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1.5,2,2,1
Malaysia,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,2,1.6667,1.3333,1,1,1,1,1,1,1,1
Mali,,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1.6667,1.3333,1,1
Malta,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Mauritania,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.6667,1.3333,1,1
Mauritius,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
Micronesia,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Moldova,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Mongolia,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,1
Morocco,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Mozambique,,,,,,,,,,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Namibia,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2
Nauru,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Nepal,,,,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Netherlands,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"New Zealand",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nicaragua,1,1.1111,1.2222,1.3333,1.4444,1.5556,1.6667,1.7778,1.8889,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.5,1.25,1
Niger,,,,,,,,,,1,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1,1,1,,,,
Nigeria,1,2,2,1.8571,1.7143,1.5714,1.4286,1.2857,1.1429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Norway,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Oman,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
Pakistan,,,1,1.3333,1.6667,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Palau,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Panama,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"Papua New Guinea",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Paraguay,,,,,,,,,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2
Peru,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1
Philippines,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2
Poland,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
Portugal,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Romania,,,,,,,,,,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1
Russia,,,,,,,,,,,,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,,,,
Rwanda,,,,,,,,,1,1,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Saint Kitts and Nevis",,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,2,2
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,2,1.5,1,2,2,2,2,2,2,2,2
"Saint Vincent and Grenadines",,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Samoa,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
"San Marino",,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Senegal,2,2,2,2,1,1,1,1,1,1,1,1,1,1.5,2,2,1,1,1,1,1,2,2,2,1.5,1,1,1,1,1,1
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1
"Serbia and Montenegro",,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,1,1,1,1,1,1
"Sierra Leone",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.8,1.6,1.4,1.2,1,2,2,2,2,2,1,1,1,2,1
Singapore,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovakia,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
Slovenia,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,2,1.5,1,1,1,1,2,1,2,2,2
"South Africa",,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2
"South Korea",,,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Soviet Union",,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Spain,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Sri Lanka",1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,
Sudan,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Swaziland,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Switzerland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Syria,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Taiwan,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1
Tajikistan,,,,,,,,,,,,2,1.8333,1.6667,1.5,1.3333,1.1667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanzania,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.6667,1.3333,1,1
Thailand,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1
"Timor Leste",,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,2,2,2,2
Togo,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Tonga,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2
"Trinidad and Tobago",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tunisia,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turkey,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Turkmenistan,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2
Uganda,1,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Ukraine,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
"United Kingdom",2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2
"United States",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Uruguay,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Uzbekistan,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vanuatu,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,2,2,2,2,2
Venezuela,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Yemen,,,,,,,,,,,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,,,,
Yugoslavia,,,1,1.0556,1.1111,1.1667,1.2222,1.2778,1.3333,1.3889,1.4444,1.5,1.5556,1.6111,1.6667,1.7222,1.7778,1.8333,1.8889,1.9444,2,2,,,,,,,,,
Zambia,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Zimbabwe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,
