Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,25,28,27,25,23,19,29,32,35.11906,34,28,29,28,26,30
Georgia,NA,NA,NA,NA,23,NA,NA,24,18,20,23,28,34,39,41,38,41.32969,52,49,52,52,57,56
Germany,81,83,82,79,80,76,74,73,77,82,82,80,78,79,80,79,80.46144,79,78,79,81,81,81
Ghana,NA,NA,NA,33,33,35,34,39,33,36,35,33,37,39,39,41,38.5076,45,46,48,47,43,40
Greece,40,50,54,49,49,49,42,42,43,43,43,44,46,47,38,35,33.88967,36,40,43,46,44,48
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,34,NA,NA,NA,NA,NA,NA,NA,NA,56,52
Guatemala,NA,NA,NA,31,32,NA,29,25,24,22,25,26,28,31,34,32,27.27781,33,29,32,28,28,28
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,16,18,20,21.10293,24,24,25,25,27,27
"Guinea Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,19,19,21,22.01865,25,19,19,17,16,17
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,26,26,26,27,24.87627,28,27,30,29,34,38
Haiti,NA,NA,NA,NA,NA,NA,NA,22,15,15,18,18,16,14,18,22,17.99883,19,19,19,17,20,22
Honduras,NA,NA,NA,17,18,NA,27,27,23,23,26,25,25,26,25,24,25.91903,28,26,29,31,30,29
"Hong Kong",71,70,73,78,77,77,79,82,80,80,83,83,83,81,82,84,83.89815,77,75,74,75,77,77
Hungary,42,49,52,50,52,52,53,49,48,48,50,52,53,51,51,47,45.55448,55,54,54,51,48,45
Iceland,NA,NA,NA,93,92,91,92,94,96,95,97,96,92,89,87,85,82.74027,82,78,79,79,78,77
India,28,26,28,29,29,28,27,27,28,28,29,33,35,34,34,33,30.99087,36,36,38,38,40,40
Indonesia,19,27,27,20,17,17,19,19,19,20,22,24,23,26,28,28,30.3,32,32,34,36,37,37
Iran,NA,NA,NA,NA,NA,NA,NA,NA,30,29,29,27,25,23,18,22,27.20371,28,25,27,27,29,30
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,22,21,22,19,15,13,15,15,18.04128,18,16,16,16,17,18
Ireland,86,85,83,82,77,72,75,69,75,75,74,74,75,77,80,80,75.36039,69,72,74,75,73,74
Israel,NA,77,80,71,68,66,76,73,70,64,63,59,61,60,61,61,58.0688,60,61,60,61,64,62
Italy,30,34,50,46,47,46,55,52,53,48,50,49,52,48,43,39,39.06913,42,43,43,44,47,50
Jamaica,NA,NA,NA,38,38,NA,NA,40,38,33,36,37,33,31,30,33,33.41237,38,38,38,41,39,44
Japan,67,60,66,58,60,64,71,71,70,69,73,76,75,73,77,78,80.409,74,74,76,75,72,73
Jordan,NA,NA,NA,47,44,46,49,45,46,53,57,53,47,51,50,47,44.85752,48,45,49,53,48,48
Kazakhstan,NA,NA,NA,NA,23,30,27,23,24,22,26,26,21,22,27,29,26.93975,28,26,29,28,29,31
Kenya,NA,NA,NA,25,20,21,20,19,19,21,21,22,21,21,22,21,22.4349,27,27,25,25,26,28
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,33,31,28,32,30.80074,NA,NA,NA,NA,NA,
Kosovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28.51413,34,33,33,33,36,39
Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,53,46,NA,48,43,43,41,45,46.16031,44,43,44,49,41,39
Kyrgyzstan,NA,NA,NA,NA,22,NA,NA,NA,21,22,23,22,21,18,19,20,21.19878,24,24,27,28,28,29
Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,26,19,20,20,21,22.13967,21,26,25,25,30,29
Latvia,NA,NA,NA,27,34,34,34,37,38,40,42,47,48,50,45,43,41.943,49,53,55,55,57,58
Lebanon,NA,NA,NA,NA,NA,NA,NA,NA,30,27,31,36,30,30,25,25,24.86844,30,28,27,28,28,28
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,32,33,32,33,35,35.2,45,49,49,44,39,42
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,21,24,31,33,31.88795,41,38,37,37,37,31
Libya,NA,NA,NA,NA,NA,NA,NA,NA,21,25,25,27,25,26,25,22,20.1449,21,15,18,16,14,17
Lithuania,NA,NA,NA,NA,38,41,48,48,47,46,48,48,48,46,49,50,47.51965,54,57,58,61,59,59
Luxembourg,NA,NA,86,87,88,96,87,90,87,84,85,86,84,83,82,85,85.1,80,80,82,81,81,82
Macau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,57,54,53,50,51.1,NA,NA,NA,NA,NA,
"Macedonia (F.Y.R.O.M.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,38,41,39.42666,NA,35,45,42,37,35
Madagascar,NA,NA,NA,NA,NA,NA,NA,17,26,31,28,31,32,34,30,26,30.40804,32,28,28,28,26,24
Malawi,NA,NA,NA,41,41,41,32,29,28,28,28,27,27,28,33,34,30.02285,37,37,33,31,31,31
Malaysia,53,53,50,53,51,48,50,49,52,50,51,50,51,51,45,44,43.07416,49,50,52,50,49,47
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,28,25,23,24.70782,NA,NA,NA,NA,36,33
Mali,NA,NA,NA,NA,NA,NA,NA,NA,30,32,29,28,27,31,28,27,27.58701,34,28,32,35,32,31
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,66,64,58,58,52,56,55.92464,57,56,55,56,55,56
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,26,28,25,23,24.27348,31,30,30,31,27,28
Mauritius,NA,NA,NA,50,49,47,45,45,44,41,42,51,47,55,54,54,50.67148,57,52,54,53,54,50
Mexico,32,33,27,33,34,33,37,36,36,36,35,33,35,36,33,31,29.70855,34,34,35,35,30,29
Moldova,NA,NA,NA,NA,26,26,31,21,24,23,29,32,28,29,33,29,28.78946,36,35,35,33,30,31
Mongolia,NA,NA,NA,NA,43,NA,NA,NA,NA,30,30,28,30,30,27,27,26.8,36,38,39,39,38,36
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,34,39,37,39.69978,41,44,42,44,45,46
Morocco,NA,NA,NA,37,41,47,NA,37,33,32,32,32,35,35,33,34,34.43408,37,37,39,36,37,40
Mozambique,NA,NA,NA,NA,35,22,NA,NA,27,28,28,28,28,26,25,27,26.9,31,30,31,31,27,25
Namibia,NA,NA,NA,53,53,54,54,57,47,41,43,41,45,45,45,44,44.2965,48,48,49,53,52,51
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,25,25,25,27,23,22,22.1,27,31,29,27,29,31
Netherlands,87,87,90,90,90,89,88,90,89,87,86,87,90,89,89,88,88.94497,84,83,83,87,83,82
"New Zealand",95,94,92,94,94,94,94,95,95,96,96,96,94,93,94,93,94.62681,90,91,91,88,90,89
Nicaragua,NA,NA,NA,30,31,NA,24,25,26,27,26,26,26,25,25,25,25.29546,29,28,28,27,26,26
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,24,23,26,28,29,26,25.40459,33,34,35,34,35,33
Nigeria,NA,7,18,19,16,12,10,16,14,16,19,22,22,27,25,24,24.49336,27,25,27,26,28,27
"North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09626,8,8,8,8,12,17
Norway,86,89,89,90,89,91,86,85,88,89,89,88,87,79,86,86,89.89854,85,86,86,87,85,85
Oman,NA,NA,NA,NA,NA,NA,NA,NA,63,61,63,54,47,55,55,53,48.34576,47,47,45,45,45,44
Pakistan,23,10,25,27,22,NA,23,26,25,21,21,22,24,25,24,23,24.67952,27,28,29,30,32,32
"West Bank and Gaza",NA,NA,NA,NA,NA,NA,NA,NA,30,25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Panama,NA,NA,NA,NA,NA,NA,37,30,34,37,35,31,32,34,34,36,32.7,38,35,37,39,38,37
"Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,21,26,23,24,20,20,21,21,21.65489,25,25,25,25,28,29
Paraguay,NA,NA,NA,15,20,NA,NA,17,16,19,21,26,24,24,21,22,22.17671,25,24,24,27,30,29
Peru,NA,NA,NA,45,45,44,41,40,37,35,35,33,35,36,37,35,33.85607,38,38,38,36,35,37
Philippines,28,27,30,33,36,28,29,26,25,26,25,25,25,23,24,24,26.44299,34,36,38,35,35,34
Poland,NA,56,51,46,42,41,41,40,36,35,34,37,42,46,50,53,54.82418,58,60,61,62,62,60
Portugal,56,65,70,65,67,64,63,63,66,63,65,66,65,61,58,60,60.97609,63,62,63,63,62,63
"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58,55.86649,63,62,63,NA,NA,
Qatar,NA,NA,NA,NA,NA,NA,NA,NA,56,52,59,60,60,65,70,77,71.55269,68,68,69,71,61,63
Romania,NA,NA,34,30,33,29,28,26,28,29,30,31,37,38,38,37,36.12146,44,43,43,46,48,48
Russia,NA,26,23,24,24,21,23,27,27,28,24,25,23,21,22,21,24.48757,28,28,27,29,29,29
Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,25,28,30,33,40,49.83419,53,53,49,54,54,55
"Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,71,70,41,70.18194,71,71,NA,NA,60,55
"Saint Thomas and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,28,30,29.86329,42,42,42,42,46,46
"Saint Vincent and Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,65,64,NA,57.61158,62,62,67,NA,60,58
Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,44,45,NA,38.79217,NA,NA,52,NA,NA,
"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,45,34,34,33,34,35,43,47,43.86654,44,46,49,52,46,49
Senegal,NA,NA,NA,33,34,35,29,31,32,30,32,33,36,34,30,29,28.70529,36,41,43,44,45,45
Serbia,NA,NA,NA,NA,NA,NA,NA,NA,23,27,28,30,34,34,35,35,33.1,39,42,41,40,42,41
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,40,36,45,48,48,48,48.2171,52,54,55,55,NA,60
"Sierra Leone",NA,NA,NA,NA,NA,NA,NA,NA,22,23,24,22,21,19,22,24,24.60909,31,30,31,29,30,30
Singapore,93,88,87,91,91,91,92,93,94,93,94,94,93,92,92,93,91.66839,87,86,84,85,84,84
Slovakia,NA,NA,NA,39,37,35,37,37,37,40,43,47,49,50,45,43,39.71617,46,47,50,51,51,50
Slovenia,NA,NA,NA,NA,60,55,52,60,59,60,61,64,66,67,66,64,58.7,61,57,58,60,61,61
"Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,29,28,28,27.06382,NA,NA,NA,NA,42,39
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,14,10,11,11,9.834057,8,8,8,8,10,9
"South Africa",56,57,50,52,50,50,48,48,44,46,45,46,51,49,47,45,40.80277,43,42,44,44,45,43
"South Korea",43,50,43,42,38,40,42,45,43,45,50,51,51,56,55,54,53.56394,56,55,55,56,53,54
"South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,15,11,12
Spain,44,43,59,61,66,70,70,71,69,71,70,68,67,65,61,61,62.296,65,59,60,58,58,57
"Sri Lanka",NA,NA,NA,NA,NA,NA,NA,37,34,35,32,31,32,32,31,32,32.95176,40,37,38,37,36,38
Sudan,NA,NA,NA,NA,NA,NA,NA,NA,23,22,21,20,18,16,15,16,15.63758,13,11,11,12,14,16
Suriname,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,32,30,35,36,37,NA,30.286,37,36,36,36,45,41
Swaziland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,25,33,36,36,32,30.8,37,39,43,NA,NA,39
Sweden,89,91,94,95,94,94,90,93,93,92,92,92,93,93,92,92,92.98488,88,89,87,89,88,84
Switzerland,88,88,86,89,89,86,84,85,88,91,91,91,90,90,90,87,88.01674,86,85,86,86,86,85
Syria,NA,NA,NA,NA,NA,NA,NA,NA,34,34,34,29,24,21,26,25,25.57818,26,17,20,18,13,14
Taiwan,51,50,50,53,56,55,59,56,57,56,59,59,57,57,56,58,61.36312,61,61,61,62,61,63
Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,18,20,21,22,21,20,20,21,22.71689,22,22,23,26,25,21
Tanzania,NA,NA,NA,19,19,NA,22,27,25,28,29,29,32,30,26,27,29.5,35,33,31,30,32,36
Thailand,28,33,30,30,32,32,32,32,33,36,38,36,33,35,34,35,33.81004,37,NA,38,38,35,37
"Timor Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,22,22,25,23.76135,33,30,29,28,35,38
Togo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,23,27,28,24,23.82138,30,29,38,32,32,32
Tonga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,24,30,30,31.39194,NA,NA,NA,NA,NA,
"Trinidad and Tobago",NA,NA,NA,NA,NA,NA,53,49,46,42,38,32,34,36,36,36,31.70273,39,38,40,39,35,41
Tunisia,NA,NA,NA,50,50,52,53,48,49,50,49,46,42,44,42,43,37.6,41,41,45,38,41,42
Turkey,41,35,32,34,36,38,36,32,31,32,35,38,41,46,44,44,42.06861,49,50,17,42,41,40
Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18,22,20,18,18,16,16,17,17,26,18,22,19
Uganda,NA,NA,NA,26,22,23,19,21,22,26,25,27,28,26,25,25,24.33897,29,26,26,25,25,26
Ukraine,NA,NA,NA,28,26,15,21,24,23,22,26,28,27,25,22,24,22.96875,26,25,26,27,29,30
"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,52,61,62,62,57,59,65,63,68.22888,68,69,78,70,66,71
"United Kingdom",86,84,82,87,86,87,83,87,87,86,86,86,84,77,77,76,77.75084,74,76,74,81,81,82
"United States",78,77,76,75,75,78,76,77,75,75,76,73,72,73,75,71,71,73,73,74,76,74,75
Uruguay,NA,NA,41,43,44,NA,51,51,55,62,59,64,67,69,67,69,70.4,72,73,73,74,71,70
Uzbekistan,NA,NA,NA,NA,18,24,27,29,24,23,22,21,17,18,17,16,16.24563,17,17,18,19,21,22
Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,29,32,36,35.3,NA,NA,NA,NA,NA,43
Venezuela,27,25,28,23,26,27,28,25,24,23,23,23,20,19,19,20,18.89497,19,20,19,17,17,18
Vietnam,NA,NA,28,25,26,25,26,24,24,26,26,26,26,27,27,27,28.64383,31,31,31,31,33,35
Yemen,NA,NA,NA,NA,NA,NA,NA,NA,26,24,27,26,25,23,21,22,20.8,23,18,19,18,14,16
Yugoslavia,NA,NA,NA,30,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Zambia,NA,NA,NA,35,35,34,26,26,25,26,26,26,26,28,30,30,32,37,38,38,38,38,37
Zimbabwe,NA,NA,NA,42,41,30,29,27,23,23,26,24,21,18,22,24,22.3,20,21,21,21,22,22
