Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,,,,,,,,,,,,,,14.4,14.14,13.88,13.62,13.36,13.1,12.54,11.98,11.42,10.86,10.3,9.74,9.18,8.62,8.06,7.5,8.66,9.82,10.98,12.14,13.3,12.9167,12.5333,12.15,11.7667,11.3833,11
Sweden,4,4.05,4.1,4.15,4.2,4.25,4.3,4.35,4.4,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,4.9,4.78,4.66,4.54,4.42,4.3,4.18,4.06,3.94,3.82,3.7,4.02,4.34,4.66,4.98,5.3,5.45,5.6,5.75,5.9,6.05,6.2
Switzerland,,,,,,,,,,,,,,5.5,5.46,5.42,5.38,5.34,5.3,5.36,5.42,5.48,5.54,5.6,5.66,5.72,5.78,5.84,5.9,5.9455,5.9909,6.0364,6.0818,6.1273,6.1727,6.2182,6.2636,6.3091,6.3545,6.4
Taiwan,,,,,,,,,,,,,,,,,,,8.8,9.4,10,10.6,11.2,11.8,12.4,13,13.6,14.2,14.8,13.66,12.52,11.38,10.24,9.1,9.1333,9.1667,9.2,9.2333,9.2667,9.3
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,7.22,7.14,7.06,6.98,6.9,8.45,10,11.55,13.1,14.65,16.2
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,13.04,12.78,12.52,12.26,12,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,20.9667,21.4333,21.9,22.3667,22.8333,23.3
Turkey,,,,,,,,,,,,,,18.5,17.1,15.7,14.3,12.9,11.5,11.72,11.94,12.16,12.38,12.6,12.82,13.04,13.26,13.48,13.7,14.1,14.5,14.9,15.3,15.7,15.5333,15.3667,15.2,15.0333,14.8667,14.7
Ukraine,,,,,,,,,,,,,,,,,,,49.3,46.63,43.96,41.29,38.62,35.95,33.28,30.61,27.94,25.27,22.6,23.44,24.28,25.12,25.96,26.8,,,,,,
"United Kingdom",,,,,,,,,,,,,,,,,,,9.2,8.92,8.64,8.36,8.08,7.8,7.52,7.24,6.96,6.68,6.4,6.4091,6.4182,6.4273,6.4364,6.4455,6.4545,6.4636,6.4727,6.4818,6.4909,6.5
"United States",8,7.8778,7.7556,7.6333,7.5111,7.3889,7.2667,7.1444,7.0222,6.9,6.7778,6.6556,6.5333,6.4111,6.2889,6.1667,6.0444,5.9222,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,7.44,8.08,8.72,9.36,10,10.2667,10.5333,10.8,11.0667,11.3333,11.6
Uruguay,,,,,,,,,,,,,,,,,,,20,19.36,18.72,18.08,17.44,16.8,16.16,15.52,14.88,14.24,13.6,13.58,13.56,13.54,13.52,13.5,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.1545,6.7091,6.2636,5.8182,5.3727,4.9273,4.4818,4.0364,3.5909,3.1455,2.7
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,25.65,30.1,34.55,39,43.45,47.9
