Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Fiji,5.7,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3,2.9,2.7,2.6,2.5,2.3,2.9,3.7,4.2,4.2
Finland,2.5,1.6,1.8,1.6,1.5,1.8,2.1,1.5,1.1,1.3,1.6,1,1.1,0.9,0.6,0.7,0.4,0.5,0.5,0.5,0.3,0.4,0.4,0.3
France,1.8,1.7,1.5,1.7,1.5,1.4,1.3,1.3,1.4,1.3,1.1,1.1,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5
"French Polynesia",3.7,1,5.9,3.3,4.9,3.8,3.1,4.2,7.4,5.4,1.2,1,2.4,1,2.7,3.1,4.4,3.5,1,1.7,0.6,3.9,1.4,1.8
Gabon,60,64,67,72,78,86,97,110,122,134,143,150,153,154,152,146,137,123,109,96,83,72,63,55
Gambia,33,29,27,24,23,22,22,22,22,23,24,24,24,24,24,24,23,23,22,22,21,21,21,20
Georgia,8.9,8.2,7.4,7.4,7.4,8.2,7.5,8.7,7.5,7.6,7.7,6.9,6.9,6.9,7,3.8,4.1,3.7,4.2,4.7,5.4,6.2,7.1,7
Germany,1.3,1.1,1.1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Ghana,45,43,42,41,39,38,37,35,33,32,30,28,26,24,22,20,18,16,14,12,9.6,7.7,6,4.4
Greece,1.6,2,2.2,1.8,1.2,1.2,1.1,0.9,0.8,0.9,0.8,1,0.8,1.1,0.7,0.9,0.8,0.9,0.8,0.9,0.7,0.7,0.7,0.7
Greenland,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,16,16,33,33,5.2,15
Grenada,,1.8,1.7364,1.6727,1.6091,1.5455,1.4818,1.4182,1.3545,1.2909,1.2273,1.1636,1.1,1.1,1,2,1,1,1,2,1,1,1,1.1
Guam,4.5,3,1.8,4.2,12,8.4,5.9,4.2,3,2.5,2.8,7,3.9,0.9,3.6,6.3,1.2,1.5,10,14,13,6.7,2.6,1.3
Guatemala,9.7,11,10,8.4,8.4,6.3,6.7,6.1,5.5,5.2,5.1,4.8,4.1,3.7,3.4,3.3,3,2.8,2.9,3.1,2.5,2.1,1.7,1.6
Guinea,91,90,89,87,85,83,79,75,71,67,63,59,56,53,50,47,44,41,37,35,33,31,29,27
"Guinea Bissau",60,57,56,55,55,56,57,58,59,61,62,63,63,63,63,63,63,63,63,64,64,65,68,71
Guyana,7.5,8.6,7.5,7.1,7.3,9.1,15,16,16,12,13,14,21,19,26,16,16,16,15,12,16,16,16,16
Haiti,50,55,59,62,64,66,68,69,70,69,67,65,64,61,59,56,53,49,45,40,36,32,29,26
Honduras,6.4,6.5,6.5,6.4,6.4,6.2,6,5.8,5.5,5.3,5,4.7,4.5,4.2,4,3.8,3.7,3.5,3.4,3.2,3.1,3,2.9,2.9
Hungary,5.3,5.3,5.9,5.8,5.6,5.5,5.1,4.7,4.4,4.4,3.5,3.2,2.8,2.3,2.6,1.9,1.3,1.4,1.2,1.2,1.1,0.8,0.9,0.8
Iceland,0.4,0.8,1.6,0.8,1.6,0.8,0.8,0.7,0.8,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
India,38,38,38,38,38,38,38,39,39,39,39,39,39,38,37,36,34,33,31,29,27,24,22,19
Indonesia,70,72,75,77,79,80,80,80,78,75,71,66,60,54,48,43,39,35,32,30,29,27,26,25
Iran,5,5.1,5.1,5.2,5.2,5.1,4.9,4.7,4.4,4.1,3.8,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.9,2.9,3,3.1,3.2
Iraq,5.7,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.6,3.4,3.3,3.2,3.1,2.9,2.8,2.7,2.6,2.5,2.4,2.3
Ireland,1.5,1.5,1.1,1.7,1.2,1,0.9,1,1.2,0.9,1,0.7,0.7,0.6,0.6,0.4,0.5,0.8,0.4,0.6,0.6,0.5,0.4,0.4
Israel,0.5,0.4,0.6,0.6,0.9,1.1,0.8,1.2,0.9,0.6,0.6,0.3,0.5,0.4,0.2,0.4,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2
Italy,1.1,1.1,1,1,1,1.2,1.1,1.1,1,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5
Jamaica,0.9,1.2,1.2,1.1,1,1,0.9,0.8,0.8,0.7,0.7,0.5,0.7,1.2,0.6,0.7,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Japan,3.1,2.8,2.8,2.7,2.6,2.6,2.4,2.3,2.3,2.4,2.2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7
Jordan,1.2,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5
Kazakhstan,13,13,15,17,23,33,45,47,50,38,33,30,31,29,27,28,24,21,20,16,13,12,11,9.5
Kenya,37,32,27,22,18,16,15,15,15,16,18,19,20,21,21,22,21,20,19,18,18,18,19,20
Kiribati,29,44,14,40,45,38,15,34,41,18,15,14,29,29,29,29,29,29,29,29,29,29,29,29
"South Korea",11,11,11,10,10,10,9.3,9.2,9.1,8.7,8.6,7.9,8,8,7.2,7.1,6.6,5.6,5.5,5.3,5.4,5.4,5.6,5.2
Kuwait,1,1,1,1.1,0.8,1.4,0.8,1.3,0.5,1.2,0.8,0.9,1.2,0.8,0.9,1,0.8,1.1,0.8,1.2,1.2,0.6,1,1
Kyrgyzstan,9.1,10,11,12,16,16,16,19,21,22,25,29,24,22,21,16,17,14,13,12,12,12,11,11
Laos,194,188,181,174,167,160,152,145,137,129,121,114,107,100,94,88,82,77,72,68,64,60,56,53
Latvia,7.2,5.8,7.3,9.8,13,14,12,13,14,13,13,12,8.7,9.3,7.9,8.1,8.5,5.9,5.3,4.5,4,3.3,2.8,2.1
Lebanon,1.9,1.7,1.6,1.4,1.3,1.1,0.9,1.2,1.1,0.9,0.8,0.6,0.5,0.5,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,0.9
Lesotho,68,62,56,53,51,53,57,62,66,68,71,72,74,76,77,76,75,69,69,63,63,61,53,46
Liberia,38,42,46,49,52,55,57,57,57,56,55,53,52,51,50,48,48,48,47,47,48,48,49,49
