Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mali,4500,5500,6500,7600,8700,9700,11000,12000,13000,13000,14000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,16000,16000,16000,16000
"Burma (Myanmar)",100,200,500,1000,1000,1100,1500,1900,2400,3000,3700,4500,5300,6100,6900,7600,8300,8900,9300,9700,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000
Mozambique,6400,9000,12000,17000,23000,29000,37000,45000,55000,65000,75000,86000,96000,110000,120000,130000,130000,140000,140000,150000,160000,160000,160000,160000,160000,160000,160000,160000,150000,150000
Mauritania,100,100,100,100,200,200,200,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500
Mauritius,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,100,100,100,100,100,100,100,100
Malawi,34000,42000,50000,57000,65000,73000,81000,90000,98000,110000,110000,120000,120000,130000,130000,130000,130000,130000,130000,120000,120000,110000,110000,100000,97000,91000,85000,78000,71000,65000
Malaysia,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Namibia,1000,1300,1900,2700,3700,4800,6100,7500,8900,10000,11000,13000,14000,14000,15000,16000,16000,16000,16000,17000,17000,17000,17000,16000,16000,15000,14000,13000,12000,10000
Niger,1000,1000,1100,1300,1600,2000,2300,2700,3100,3500,3900,4300,4600,4900,5100,5300,5400,5500,5500,5300,5000,4700,4500,4300,4000,3800,3400,3300,3200,3000
Nigeria,20000,26000,33000,41000,50000,59000,70000,80000,90000,100000,110000,120000,130000,140000,140000,150000,160000,160000,160000,160000,170000,170000,160000,160000,160000,150000,150000,150000,150000,150000
Nicaragua,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nepal,100,100,100,100,100,100,100,200,500,500,1000,1000,1000,1100,1200,1400,1500,1600,1600,1700,1700,1700,1700,1600,1600,1500,1400,1300,1200,1200
Pakistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500,1000,1000,1100,1500,1800,2200,2600,3000,3500,4000,4500,5000,5500,6100
Peru,1000,1000,1000,1000,1100,1200,1300,1400,1500,1600,1700,1700,1800,1800,1800,1800,1800,1800,1700,1700,1700,1700,1700,1600,1600,1600,1600,1500,1400,1400
Philippines,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500,500
"Papua New Guinea",100,100,100,100,100,100,200,200,500,500,1000,1000,1000,1300,1500,1700,1900,2100,2300,2400,2600,2800,2900,3000,3100,3200,3200,3200,3200,3200
Paraguay,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Romania,1300,1400,1400,1500,1700,1900,2100,2300,2400,2500,2600,2700,2600,2600,2400,2100,1900,1700,1500,1300,1100,1000,1000,500,500,200,200,100,100,100
Rwanda,6900,8400,9700,11000,12000,13000,15000,18000,21000,23000,26000,27000,28000,29000,29000,30000,30000,29000,29000,28000,27000,26000,25000,23000,22000,20000,18000,17000,15000,14000
Sudan,200,500,500,500,500,1000,1000,1000,1200,1400,1600,1900,2100,2400,2600,2900,3100,3200,3400,3500,3700,3800,3900,4000,4000,4100,4100,4100,4100,4000
Senegal,500,1000,1000,1000,1100,1400,1800,2100,2500,2900,3300,3700,4100,4400,4800,5100,5300,5500,5500,5500,5500,5500,5400,5200,5000,4800,4500,4300,4000,3800
"Sierra Leone",1500,1800,2200,2700,3100,3600,4200,4700,5300,5900,6600,7300,8000,8700,9300,9900,10000,11000,11000,11000,11000,11000,11000,11000,11000,10000,10000,9800,9400,9100
"El Salvador",100,100,100,200,200,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Somalia,500,500,500,500,500,1000,1000,1000,1000,1000,1100,1300,1400,1500,1600,1600,1700,1700,1700,1700,1700,1700,1600,1600,1500,1400,1300,1300,1200,1100
