Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kenya,,,,,204,507.5,811,1068,341,517,387,1280,1305,473,610,454.5,299,651,422,331,14,24,66
Kuwait,,,146,87,81.5,76,70.5,65,75,65.2,55.4,45.6,35.8,26,38,13,4,12,1,1,1,1.5,2
Kyrgyzstan,,,385,176,2328,274,5,7,1,11,3,4,14,2,3,6,12,24,100,3,4,8,4
Laos,,,,,,,,,,,1,45,124,31,169,78,83,2,45,40,10,15,14
Latvia,,,91,62,358,2578,309,52,35,12,7,9,7,4.5,2,8,4.5,1,1.5,2,2.5,3,3
Lebanon,,,5,5,1,11,6,120,13,16,32,18,21,5,4,3,27,18,9,10,10,13,29
Lesotho,,,,,,,84,57.3333,30.6667,4,37.6,71.2,104.8,138.4,172,68,516,296,129,11,8,236,464
Liberia,,,,,,,,,,,3,40,30,33,36,39,79,119,159,199,239,82,140
Libya,,,,,26,217,123.5,30,10,1,1,1,3,2.3333,1.6667,1,3,5,5.6667,6.3333,7,21,59
Lithuania,,,,1304,458,277,170,93,118,110,13,9.3333,5.6667,2,2,2,2,1.8,1.6,1.4,1.2,1,
Luxembourg,,,,,,,,,,,,,,,,1,,,,,,,
Madagascar,,,,,,,,,,127,68,73,193,157,196,110,131,162,89,204,223,53,122
Malawi,,,,,19,6,6,59,51,93.5,136,105,53,28,267,56,23,433,99,33,26,6,7
Malaysia,,,,,,,,,,,,,,104,374,789,1138,230,34,68,116,96,111
Maldives,,,,,,,81,42,3,3.2,3.4,3.6,3.8,4,1,1.5,2,2.5,3,2,1,1.5,2
Mali,,,,,,,6,1,18,9,6,33,8,64,125,19,19,19,172,81,19,112,19
Malta,,,8,6,4,2,4,5,6,1,2,3,2.3333,1.6667,1,,,,,,,,
Mauritania,,,,,,,,,,,,10,20.2,30.4,40.6,50.8,61,49,5,3.6667,2.3333,1,
Mauritius,,,,,,,,,3,3,6,3,2,2,4,9,10,6,5,,,,
Mexico,38042,51846,17180,11751,4843,3685,35,699,38,74,102,46,35,24,13,2,2,2,2,2,2,2,
Monaco,,,,,,,5,,,,,,,,,,,,,,,,
Mongolia,,,3,1550,1869,148,13,36,6,1229,6363,167,3,11,13,240,8,1,28,48,11,1,5
Montenegro,,,,,,,,,,,,,,3,,,,,,,,,
Morocco,,,,,,,,,,,,,,5,8,3,59,32.5,6,6.6667,7.3333,8,
Mozambique,,,,,,,,,,,,166,69,70,143,428,127,210,174,138,102,117,74
"Burma (Myanmar)",,,,,,,,,,,2,5,13,11,103,21,23,30,34,10,6,13,28
Namibia,,,,,1272,1100,209,874,103,9,15,21,27,22,140,42,40,357,625,37,29,5,8
Nepal,,,,,,,,,,,227,781,1275,510,1175,801,755,704,626,656,21,34,44
Netherlands,,,3,12,7.5,3,1,46,364,11,1,2,8,5,2,1,58,2,1,,,,
"New Zealand",,,37,26,26,33,28,25,13,8,10,6,2,2,22,4,1,4,3.5,3,2,1,2
Nicaragua,267,255,393,326,219,133,5,6,47,,,,,,,,,,,,,,
Niger,,,,,,,,131,70.5,10,10,55,11,5,19,77,6,8,33,24,10,21,7
Nigeria,,,,,,,,,,,466,422,234,450,3691,239,88,102,419,503,543,4772,1644
Niue,,,,,,,40,,,,,,,,,,,,,,,,
Norway,,,,4,2.5,1,1,2,1,2,1.5,1,1.3333,1.6667,2,1,3,3,2.6,2.2,1.8,1.4,1
Oman,,,5,3,58,3,1,9,22,11,16,4,19,2,1,13,11.25,9.5,7.75,6,2,,
Pakistan,,,,,,,,,,,,,,,189,483,1113,320,282,648,389,328,1370
Panama,1458,1783,941,580,322,127,,,,,,,,,,,,,,,,,
"Papua New Guinea",,,,,,,,,,,4,4,19,5,19,33,5,84,4,1,1,3,5
Paraguay,5,73,32,96,9,1,11,1,2,,,,,,,,,,,,,,
Peru,1851,712,88,607,1126,420,328,1759,3672,727,,,,,,,,,,,,,
Philippines,,,21,866.5,1712,1149.6667,587.3333,25,88.75,152.5,216.25,280,578,752,926,100,254,264,154,179,2111,129,198
Poland,,,30958,46181,84419,40518,10588,4857,7946,20668,22890,15238,7586,4196,5229.5,6263,38546,26065.6667,13585.3333,1105,476,437,292
Portugal,,,57,58,43.5,29,14,8,227,9,6,4,3,3,3,3,4,5,6,7,4,1,3
Qatar,,,,16,17,21,35,35.5,36,34,26,20,14,23,16,20,58,20,7,20,2,1.5,1
"South Korea",,,,153,131,12,8,15,12,18,35,31,37,21,53,27,17,11,3,11,4,6,8
Moldova,,,6474,2803,4508,7311,508,170,32,14,3,1,1,1.6667,2.3333,3,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,120,87,74,61,52,33,31,28,19,14,11,3,8,4,3,2,1,,,,
Romania,,,7076,5125,5076,11079,120377,47444,6801,3563,2958,1746,343,350,3494,20812,145,30,8,13,9,9,10
Russia,,,585063,457378,574901,341345,125187,146220,144985,133289,30846,9618,1602,547,349,1003,233,72,25,38,5,5,34
Rwanda,,,,,,,10,20.5,31,25,14,35,34,36,62,172,50,15,1,15,22,11,19
Samoa,,,,,,,1909,1670.5,1432,1193.5,955,716.5,478,239.5,1,1.1667,1.3333,1.5,1.6667,1.8333,2,,
"San Marino",,,,11,8.5,6,3.5,1,1,3,5,48,,,,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,3,,,,
"Saudi Arabia",,,299,168.5,38,12,22,22,18,23,32,15,12,35,26.5,18,1164,23,4,32.5,61,53,62
Senegal,,,,,,,29,242,12,24,81,161,55,50,141,44,44,101,15,135,7,8,22
Serbia,,,1498,2188,1333,626,332,303,153,77,41,23,27,14,14,14,11,2,10,5,5,5,
"Sierra Leone",,,,,,,4,1,3.5,6,9,44,23,2,54,43,32,21,10,97,358,16,32
Singapore,,,432,312,242,152,88,141,139,90,83,181,178,158,110,64,48,39.75,31.5,23.25,15,17,7
Slovakia,,,61,11,2,7,1,3,1,2,2,,,,,,,,,,,,
Slovenia,,,,,8,3,8,1,1,1,1,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,1,,,,,
"South Africa",,,,541,374.5,208,2089,612,428,750,1072,2023.5,2975,3120.5,3266,2298,103,10,54,819,1876,1213,1370
"South Sudan",,,,,,,,,,,,,,,,20,29,38,47,59.5,72,106,149
Spain,,,534,345,244,143,115,353.5,592,87,69,70,20,9,30,64,2,5,3,2,1,12,3
"Sri Lanka",,,110,29,104,69,34,6,16,2,5,79,143,68,416,54,24,10,9,5,1,,
Sudan,,,,,,,,,,255,163,150,338,345,237,191,291,817,1052,996,259,349,281
Suriname,5,90,8,1,,,,,,,,,,,,,,,,,,,
Sweden,,,,1,3,1,1.25,1.5,1.75,2,2,1.5,1,3,4,50,,,,,,,
Switzerland,,,1400,1300,1200,1030.2857,860.5714,690.8571,521.1429,351.4286,181.7143,12,35,12,9,10,6,4,3,2,1,2,
Syria,,,648,2,11,1,112,47,4,30,17.5,5,2,20,7,1,1,5,3,1,1,6,4
Tajikistan,,,385,111,54,654,681,567,1231,46,705,124,179,6,3.5,1,1,1,1,2,3,20,37
Thailand,,,856,1136,879,667,490,379,382,498,341,621,594,387,517,493,539,152,240,7,34,64,142
"Timor Leste",,,,,,,,,,,,,2,4,6,8,4.5,1,5,8,3,8,21
Togo,,,,,,334,295,142,86,46.5,7,136,87,80,69,33,38,16,146,276,37,41,2
"Trinidad and Tobago",41,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,1012,679.6667,347.3333,15,11,5,51,156,98,164,1075,615,15,17,25,19,11,22,302
Turkey,,,,,,,,,2245,1058,644,139,97,64,1734,43,81,31,16,7,1,22,44
Turkmenistan,,,581,129,32,29,18,26,498,256.5,15,,,,,,,,,,,,
Uganda,,,,,,60,125,428,285,445,605,1281.75,1958.5,2635.25,3312,2027,7878,291,1055,289,259,470,342
Ukraine,,,105137,37931,79373,162927,20201,31606,22248,15106,5822,3495,2914,2333,3667,1952,1384,816,248,150,160,235,138
"United Arab Emirates",,,92,52,59,29,60,10,43,52,61,70,52,34,32,30,22,14,177,132,38,12,116
"United Kingdom",,,,75,43,72,34,17,35,30,31,31,22,31,5,70,13,1,3,2,15,3,3
Tanzania,,,,,,175,109,234,151,87,95.5,104,112.5,121,18,55,116,529,45,24,28,34,65
"United States",181,364,267,176,23,18,7,10,11,11,12,16,3,5,4,9,9,6,5,1,7,4,
Uruguay,8,3,3,2,1,,,,,,,,,,,,,,,,,,
Uzbekistan,,,2447,454,595,1196,1810,498,440,304,202,24,6,1,23,20.25,17.5,14.75,12,9.25,6.5,3.75,1
Venezuela,30707,30353,11391,13927,9014,3662,36,96,823,188,62,,,,,,,,,,,,
Vietnam,,,,,,,,,3012,3403,3530,873,1573,2300,7259,185,54,59,798,413,77,112,78
Yemen,,,,,,,,,230,302,165,187,225,187,337,199,706,1598,162,56,41,712,282
Zambia,,,,,,,,157,165,129,93,257,135,13,1124,134,183,74,94,34,16,2,
Zimbabwe,,,,,,,,,,,242,63,28,237.5,447,20,130,1130,566,2,4,3,35
